dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
anneal,RealMLP_GPU,598,300,5,0.02552285398302084,0.089695848264546,0.06314036250114441,0.9900000095367432,0.034015268087387085
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.0691252138833246,0.17702213436071787,0.0045674885623157024,0.9648985862731934,0.06590794026851654
maternal_health_risk,RealMLP_GPU,676,338,3,0.22303324962858342,0.4133213478212798,0.09115337580442429,0.860946774482727,0.035478316247463226
splice,RealMLP_GPU,2126,1064,3,0.04005497161852347,0.09023320897973065,0.023486634716391563,0.972744345664978,0.12834346294403076
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31612489268159794,0.5607142653478293,0.024316005408763885,0.7789830565452576,0.1069752685725689
website_phishing,RealMLP_GPU,902,451,3,0.12183938973971607,0.21859370596102956,0.030698928982019424,0.9246119856834412,0.053164105862379074
MIC,BetaTabPFN_GPU,1132,567,8,0.1829776404952649,0.4663085039023952,0.03757047280669212,0.8888888955116272,0.19492777809500694
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04790563964163913,0.09616178343569912,0.003928809426724911,0.9712122082710266,9.524482551962137
anneal,BetaTabPFN_GPU,598,300,5,0.02313890205343887,0.08598833622537196,0.05295335128903389,0.9900000095367432,0.08086755499243736
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06863514486060932,0.17490566399525986,0.003372499253600836,0.9648985862731934,0.043730221688747406
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.2935749224707664,0.5120589051055335,0.09095819294452667,0.8136094808578491,0.026320088654756546
splice,BetaTabPFN_GPU,2126,1064,3,0.04216148000656369,0.09155795309196946,0.02159818261861801,0.9746240377426147,0.12239101901650429
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.32117444438409976,0.5699029887717468,0.028509896248579025,0.7667796611785889,0.09673693031072617
website_phishing,BetaTabPFN_GPU,902,451,3,0.12995934616930707,0.23505784388269046,0.03368869051337242,0.9223946928977966,0.05035014823079109
MIC,ModernNCA_GPU,1132,567,8,0.1865325761052296,0.47310473464230607,0.07119281589984894,0.8906525373458862,0.16331132501363754
SDSS17,ModernNCA_GPU,52035,26018,3,0.038202177373283526,0.0757693522022185,0.003396752756088972,0.9762471914291382,7.910597190260887
anneal,ModernNCA_GPU,598,300,5,0.029841266308607648,0.09920522502809719,0.07587133347988129,0.996666669845581,0.04741542041301727
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06883218033678541,0.17674016235403037,0.007788550574332476,0.9648985862731934,0.08213327452540398
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21939764210747803,0.39338606930538567,0.04815131053328514,0.8520709872245789,0.03312377631664276
splice,ModernNCA_GPU,2126,1064,3,0.047759984197587424,0.10608557541469739,0.03624566271901131,0.9755638837814331,0.10576421394944191
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32461981459670974,0.5744083175380794,0.02605319768190384,0.7749152779579163,0.09373318403959274
website_phishing,ModernNCA_GPU,902,451,3,0.13162726660706098,0.2363643393306953,0.039066728204488754,0.9201774001121521,0.05437689274549484
MIC,Mitra_GPU,1132,567,8,0.18535683817189316,0.4719074156398945,0.05074962228536606,0.8941798806190491,0.1910681277513504
anneal,Mitra_GPU,598,300,5,0.02737896218420727,0.09222955096568121,0.07011186331510544,0.996666669845581,0.08379267528653145
maternal_health_risk,Mitra_GPU,676,338,3,0.20037872891982814,0.38832239755720843,0.08330965042114258,0.8875739574432373,0.029451783746480942
splice,Mitra_GPU,2126,1064,3,0.0425658336417476,0.09472887923662213,0.027167463675141335,0.9736841917037964,0.10965901613235474
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3158331978759128,0.5598663681207915,0.01968826726078987,0.7701694965362549,0.09474273771047592
website_phishing,Mitra_GPU,902,451,3,0.12006164312961289,0.21899035338085943,0.03620942682027817,0.9223946928977966,0.052880316972732544
MIC,TabDPT_GPU,1132,567,8,0.1954780655500081,0.4994849522780745,0.04239876568317413,0.8835979104042053,0.19792328402400017
SDSS17,TabDPT_GPU,52035,26018,3,0.04071323904011522,0.0807003504223586,0.001223095809109509,0.9750941395759583,9.58893908932805
anneal,TabDPT_GPU,598,300,5,0.01755323025150106,0.05846320903956206,0.0407886877655983,0.9933333396911621,0.08534331992268562
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06970115112692744,0.18017196412309236,0.005758688785135746,0.9648985862731934,0.0485946461558342
maternal_health_risk,TabDPT_GPU,676,338,3,0.17905647091880939,0.3458024489567068,0.03884971886873245,0.8786982297897339,0.031724464148283005
splice,TabDPT_GPU,2126,1064,3,0.09966006628812155,0.18309301611523615,0.01347060315310955,0.9332706928253174,0.08224271610379219
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32491012883859355,0.5719789567475911,0.009688709862530231,0.7593220472335815,0.09318311512470245
website_phishing,TabDPT_GPU,902,451,3,0.11580311877694585,0.21052283063502047,0.02131355181336403,0.9290465712547302,0.04963596537709236
