dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
anneal,Mitra_GPU,598,300,5,0.011341575533151627,0.11417815089225769,0.007430032826960087,0.9933333396911621,0.019355022348463535
maternal_health_risk,Mitra_GPU,676,338,3,0.19462889432907104,0.3845404386520386,0.06956302374601364,0.8905325531959534,0.010294466279447079
splice,Mitra_GPU,2126,1064,3,0.0416078083217144,0.08952783048152924,0.01954386942088604,0.972744345664978,0.010712538845837116
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3129701316356659,0.5546301603317261,0.025628870353102684,0.7742372751235962,0.01770673878490925
website_phishing,Mitra_GPU,902,451,3,0.1172524243593216,0.21632780134677887,0.035821545869112015,0.9312638640403748,0.010526524856686592
MIC,TabDPT_GPU,1132,567,8,0.1903771013021469,0.48654690384864807,0.026479635387659073,0.8888888955116272,0.049524616450071335
SDSS17,TabDPT_GPU,52035,26018,3,0.040732722729444504,0.0817570611834526,0.0032169371843338013,0.9751325845718384,0.12460428290069103
anneal,TabDPT_GPU,598,300,5,0.013293903321027756,0.06944620609283447,0.004861105233430862,0.9933333396911621,0.008758878335356712
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06843817979097366,0.17434293031692505,0.0006452404777519405,0.9648985862731934,0.12852193042635918
maternal_health_risk,TabDPT_GPU,676,338,3,0.17905651032924652,0.36014655232429504,0.03861641883850098,0.8846153616905212,0.010956419631838799
splice,TabDPT_GPU,2126,1064,3,0.0980900302529335,0.17831933498382568,0.014935776591300964,0.9379699230194092,0.01077114138752222
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3236503005027771,0.5705701112747192,0.0194565262645483,0.7640677690505981,0.017011038959026337
website_phishing,TabDPT_GPU,902,451,3,0.11589633673429489,0.20915496349334717,0.03779580444097519,0.9290465712547302,0.01127183809876442
