dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
splice,Mitra_GPU,2126,1064,3,0.04167588926989042,0.09322503859770293,0.022754142060875893,0.972744345664978,1.7734366916120052
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3125700567488545,0.5526199356304788,0.03125292435288429,0.7742372751235962,1.7032941961660981
website_phishing,Mitra_GPU,902,451,3,0.11660920666398057,0.21514708557449777,0.026650719344615936,0.9312638640403748,0.8816894879564643
MIC,TabDPT_GPU,1132,567,8,0.189656762855236,0.49185646746913053,0.031325213611125946,0.8888888955116272,1.6769446143880486
SDSS17,TabDPT_GPU,52035,26018,3,0.04073321809286719,0.08114079579370008,0.0016319985734298825,0.9750941395759583,29.361782322637737
anneal,TabDPT_GPU,598,300,5,0.011657848508862785,0.04403685453341396,0.007552537135779858,0.9933333396911621,0.8600424965843558
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06829513865103767,0.1743179268465232,0.0005170193617232144,0.9648985862731934,0.6665626391768456
maternal_health_risk,TabDPT_GPU,676,338,3,0.17671012408563444,0.3548424530557731,0.027035769075155258,0.8786982297897339,0.8384052235633135
splice,TabDPT_GPU,2126,1064,3,0.09821644255653313,0.17942769157176078,0.021606985479593277,0.9360902309417725,1.3646832704544067
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32342271235299347,0.5684955736267184,0.020184138789772987,0.7606779932975769,1.2867040187120438
website_phishing,TabDPT_GPU,902,451,3,0.1140608912576927,0.2186098670966466,0.015936899930238724,0.9312638640403748,0.9246141342446208
