dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.033066775649785995,0.27275151014328003,0.022875068709254265,0.982758641242981,0.23940051067620516
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.05004660785198212,0.3144347071647644,0.04732721298933029,0.982758641242981,0.016412578523159027
UMIST_Faces_Cropped,RandomForest,517,58,20,0.08305800706148148,0.2693156599998474,0.19000059366226196,0.982758641242981,0.5852601556107402
UMIST_Faces_Cropped,XGBoost,517,58,20,0.08268658816814423,0.257953405380249,0.08144591748714447,0.9137930870056152,0.2806376898661256
analcatdata_authorship,CatBoost,756,85,4,0.049854569137096405,2.059950113296509,0.02758464217185974,0.9764705896377563,0.026985375210642815
analcatdata_authorship,ExtraTrees,756,85,4,0.03695514798164368,0.0906030461192131,0.01752288267016411,0.9764705896377563,0.13495911937206984
analcatdata_authorship,LightGBM,756,85,4,0.02342270128428936,0.07162249833345413,0.0117378830909729,0.9882352948188782,0.026200727559626102
analcatdata_authorship,LinearModel,756,85,4,0.023529373109340668,0.16544294357299805,0.011764585971832275,0.9882352948188782,0.019547248259186745
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.02025897055864334,0.03779765963554382,0.022022318094968796,0.9882352948188782,0.0008892267942428589
analcatdata_authorship,NeuralNetTorch,756,85,4,0.023618442937731743,0.04430893063545227,0.027390431612730026,0.9882352948188782,0.003413878381252289
analcatdata_authorship,RandomForest,756,85,4,0.041267771273851395,0.07434158027172089,0.015286796726286411,0.9764705896377563,0.07203136570751667
analcatdata_authorship,XGBoost,756,85,4,0.04052020236849785,0.6891308426856995,0.026219895109534264,0.9764705896377563,0.09551416244357824
analcatdata_dmft,CatBoost,717,80,6,0.8177726864814758,1.7391273975372314,0.00944233126938343,0.23749999701976776,0.036239977926015854
analcatdata_dmft,ExtraTrees,717,80,6,0.8215896487236023,1.751121163368225,0.05074938014149666,0.21250000596046448,0.10094793606549501
analcatdata_dmft,LightGBM,717,80,6,0.8119754791259766,1.7183929681777954,0.03907463699579239,0.20000000298023224,0.04740558657795191
analcatdata_dmft,LinearModel,717,80,6,0.8172698020935059,1.7398713827133179,0.05586055666208267,0.1875,0.06973363738507032
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8158168792724609,1.7353578805923462,0.03377910703420639,0.20000000298023224,0.08441735059022903
analcatdata_dmft,NeuralNetTorch,717,80,6,0.812319278717041,1.7256813049316406,0.0699763372540474,0.1875,0.08404600527137518
analcatdata_dmft,RandomForest,717,80,6,0.8321925401687622,1.7802536487579346,0.08678831160068512,0.16249999403953552,0.1073988014832139
analcatdata_dmft,XGBoost,717,80,6,0.8151487112045288,1.740708351135254,0.02722836658358574,0.26249998807907104,0.06852043978869915
artificial-characters,CatBoost,9196,1022,10,0.07284066826105118,0.1675090491771698,0.03682602941989899,0.9579256176948547,0.8712453097105026
artificial-characters,ExtraTrees,9196,1022,10,0.08388840407133102,0.2010079175233841,0.033141523599624634,0.9559686779975891,1.7799231577664614
artificial-characters,LightGBM,9196,1022,10,0.06109728291630745,0.1432681679725647,0.04195306450128555,0.9618395566940308,0.9882765654474497
artificial-characters,LinearModel,9196,1022,10,0.7300273776054382,1.6317436695098877,0.043759603053331375,0.3659491240978241,1.4109371863305569
artificial-characters,NeuralNetFastAI,9196,1022,10,0.357313334941864,0.594028651714325,0.03525351360440254,0.7084148526191711,0.8954342696815729
artificial-characters,NeuralNetTorch,9196,1022,10,0.34692642092704773,0.5824822187423706,0.05296075716614723,0.718199610710144,0.8691735537722707
artificial-characters,RandomForest,9196,1022,10,0.08305559307336807,0.2013237178325653,0.04370008036494255,0.9559686779975891,1.6703649600967765
artificial-characters,XGBoost,9196,1022,10,0.07003531605005264,0.160756453871727,0.04161931574344635,0.9628180265426636,1.60077796690166
autoUniv-au6-750,CatBoost,675,75,8,0.8377901911735535,1.9690451622009277,0.11708833277225494,0.25333333015441895,0.09010226000100374
autoUniv-au6-750,ExtraTrees,675,75,8,0.8341540694236755,1.9593517780303955,0.1742643117904663,0.2933333218097687,0.03954955283552408
