dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
artificial-characters,NeuralNetFastAI,9196,1022,10,0.35809374893974305,0.5964008843111898,0.04873182997107506,0.7074363827705383,0.5238028587773442
artificial-characters,NeuralNetTorch,9196,1022,10,0.34657056563384825,0.5837342666543384,0.05497622862458229,0.7123287916183472,0.6303663561120629
artificial-characters,RandomForest,9196,1022,10,0.08030436984715475,0.20527448944576737,0.03468995913863182,0.9559686779975891,0.5080917254090309
artificial-characters,XGBoost,9196,1022,10,0.06850077480423732,0.15967011380505547,0.044090818613767624,0.9608610272407532,0.45572545006871223
autoUniv-au6-750,CatBoost,675,75,8,0.8421568861868807,1.9768900645305063,0.10312533378601074,0.23999999463558197,0.048184435814619064
autoUniv-au6-750,ExtraTrees,675,75,8,0.8397553928076315,1.9676408994186358,0.09104979783296585,0.2666666805744171,0.04996015876531601
autoUniv-au6-750,LightGBM,675,75,8,0.8124968282447879,1.895584739504809,0.10203288495540619,0.36000001430511475,0.045478666201233864
autoUniv-au6-750,LinearModel,675,75,8,0.8556970413952238,2.0136959637051652,0.021152375265955925,0.20000000298023224,0.04225962236523628
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8537053260075563,1.9988218365638029,0.017277710139751434,0.2133333384990692,0.045554193668067455
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8513985980619315,1.99070904883585,0.03856890648603439,0.18666666746139526,0.04039633460342884
autoUniv-au6-750,RandomForest,675,75,8,0.7814312873767971,1.8256834818242937,0.09398851543664932,0.3733333349227905,0.04809829406440258
autoUniv-au6-750,XGBoost,675,75,8,0.8155028883092804,1.9155697423114861,0.12646152079105377,0.36000001430511475,0.049389611929655075
autoUniv-au7-1100,CatBoost,990,110,5,0.7338933502684037,1.4175058631625703,0.16326016187667847,0.4363636374473572,0.07498300168663263
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7513134767056248,1.4674788533145444,0.12271400541067123,0.41818180680274963,0.061262224800884724
autoUniv-au7-1100,LightGBM,990,110,5,0.7323328196525092,1.4187851347134177,0.14052221179008484,0.41818180680274963,0.06547567062079906
autoUniv-au7-1100,LinearModel,990,110,5,0.774996939313973,1.5315390179081776,0.07697765529155731,0.34545454382896423,0.06826428510248661
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7426896878458998,1.440444381283829,0.0435289666056633,0.37272727489471436,0.06571015156805515
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7280407964294886,1.4146999265358453,0.09559392184019089,0.38181817531585693,0.05460910405963659
