dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
led24,NeuralNetTorch,2880,320,10,0.3943973481655121,0.8628659248352051,0.0823606327176094,0.734375,0.2367849238216877
led24,RandomForest,2880,320,10,0.40860995650291443,0.9011324644088745,0.07016944885253906,0.699999988079071,0.2416321076452732
led24,XGBoost,2880,320,10,0.4060019552707672,0.9079683423042297,0.08816658705472946,0.7093750238418579,0.24698077514767647
letter,CatBoost,18000,2000,26,0.033067770302295685,0.09748523682355881,0.03336876630783081,0.9789999723434448,2.1498573757708073
letter,ExtraTrees,18000,2000,26,0.0454116016626358,0.12244561314582825,0.03280922770500183,0.9704999923706055,2.0889533385634422
letter,LightGBM,18000,2000,26,0.03466420620679855,0.10282416641712189,0.03368380665779114,0.9804999828338623,2.2143128402531147
letter,LinearModel,18000,2000,26,0.24304929375648499,0.6217115521430969,0.06492341309785843,0.8339999914169312,2.4727818593382835
letter,NeuralNetFastAI,18000,2000,26,0.02359682135283947,0.07615525275468826,0.030861657112836838,0.984000027179718,1.490137804299593
letter,NeuralNetTorch,18000,2000,26,0.02696854993700981,0.08243726938962936,0.033041466027498245,0.9829999804496765,1.4435597322881222
letter,RandomForest,18000,2000,26,0.05817032232880592,0.15752212703227997,0.03619002923369408,0.9645000100135803,2.1115872636437416
letter,XGBoost,18000,2000,26,0.04146287590265274,0.11612927168607712,0.0357365757226944,0.9735000133514404,2.243516433984041
mfeat-factors,CatBoost,1800,200,10,0.050399236381053925,0.1646062135696411,0.06370865553617477,0.9750000238418579,0.18027672916650772
mfeat-factors,ExtraTrees,1800,200,10,0.0516616627573967,0.1754462867975235,0.059765223413705826,0.9750000238418579,0.13897129893302917
mfeat-factors,LightGBM,1800,200,10,0.04392821341753006,0.15588244795799255,0.05793140083551407,0.9750000238418579,0.16860755160450935
mfeat-factors,LinearModel,1800,200,10,0.03565229848027229,0.13418594002723694,0.07458075881004333,0.9800000190734863,0.15029190108180046
mfeat-factors,NeuralNetFastAI,1800,200,10,0.02924075350165367,0.11243113875389099,0.07239669561386108,0.9800000190734863,0.1739141196012497
mfeat-factors,NeuralNetTorch,1800,200,10,0.03512823209166527,0.14051200449466705,0.061447806656360626,0.9850000143051147,0.17218885198235512
mfeat-factors,RandomForest,1800,200,10,0.05243654176592827,0.16543760895729065,0.07198269665241241,0.9750000238418579,0.14663221314549446
