dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
isolet,RandomForest,7017,780,26,0.12484149634838104,0.28016266226768494,0.051675885915756226,0.9217948913574219,3.5828483011573553
isolet,XGBoost,7017,780,26,0.06492909789085388,0.1454315185546875,0.015052057802677155,0.9564102292060852,3.552076742053032
jungle_chess_2pcs_raw_endgame_complete,CatBoost,40337,4482,3,0.1534157395362854,0.23876675963401794,0.020534757524728775,0.8755019903182983,5.2592389062047005
jungle_chess_2pcs_raw_endgame_complete,ExtraTrees,40337,4482,3,0.16775472462177277,0.26612481474876404,0.01995200850069523,0.8717090487480164,5.056090483441949
jungle_chess_2pcs_raw_endgame_complete,LightGBM,40337,4482,3,0.1303950548171997,0.19783876836299896,0.015120351687073708,0.891566276550293,5.3591717053204775
jungle_chess_2pcs_raw_endgame_complete,LinearModel,40337,4482,3,0.4261470437049866,0.7155814170837402,0.02159925177693367,0.6831771731376648,3.766152523458004
jungle_chess_2pcs_raw_endgame_complete,NeuralNetFastAI,40337,4482,3,0.10077022761106491,0.14913778007030487,0.010213064961135387,0.9116466045379639,5.351154932752252
jungle_chess_2pcs_raw_endgame_complete,NeuralNetTorch,40337,4482,3,0.023962020874023438,0.03873121738433838,0.009870339184999466,0.9857206344604492,5.367667408660054
jungle_chess_2pcs_raw_endgame_complete,RandomForest,40337,4482,3,0.17063948512077332,0.27400025725364685,0.024808119982481003,0.8734939694404602,5.149171577766538
jungle_chess_2pcs_raw_endgame_complete,XGBoost,40337,4482,3,0.13098908960819244,0.19524143636226654,0.016968371346592903,0.8875501751899719,5.30632883682847
kr-vs-k,CatBoost,25250,2806,18,0.1331203281879425,0.2738465368747711,0.015613960102200508,0.9148253798484802,13.578634966164827
kr-vs-k,ExtraTrees,25250,2806,18,0.20395393669605255,0.4085540771484375,0.039809372276067734,0.8602993488311768,13.560180148109794
kr-vs-k,LightGBM,25250,2806,18,0.11846578121185303,0.2532193660736084,0.015497090294957161,0.9265859127044678,13.549601471051574
kr-vs-k,LinearModel,25250,2806,18,0.8110160231590271,1.9200688600540161,0.05918474867939949,0.30256593227386475,13.568489208817482
kr-vs-k,NeuralNetFastAI,25250,2806,18,0.1601117104291916,0.29652920365333557,0.02655196376144886,0.8898788094520569,13.531881721690297
kr-vs-k,NeuralNetTorch,25250,2806,18,0.11381183564662933,0.21265192329883575,0.022395558655261993,0.9215965867042542,13.55364221893251
kr-vs-k,RandomForest,25250,2806,18,0.172641783952713,0.3632684051990509,0.020379452034831047,0.8806129693984985,13.535948999226093
kr-vs-k,XGBoost,25250,2806,18,0.12100077420473099,0.2438981533050537,0.018118450418114662,0.9240912199020386,13.560630075633526
led24,CatBoost,2880,320,10,0.41250839829444885,0.8652752041816711,0.07156722992658615,0.715624988079071,0.22425671480596066
led24,ExtraTrees,2880,320,10,0.4083026349544525,0.8604496121406555,0.06998717784881592,0.7093750238418579,0.22010423056781292
led24,LightGBM,2880,320,10,0.41254693269729614,0.8738845586776733,0.09270714968442917,0.721875011920929,0.21530593000352383
led24,LinearModel,2880,320,10,0.41675829887390137,0.8628391027450562,0.10053037106990814,0.715624988079071,0.22318321466445923
led24,NeuralNetFastAI,2880,320,10,0.3917697072029114,0.8251335024833679,0.07055632770061493,0.7281249761581421,0.22217538580298424
led24,NeuralNetTorch,2880,320,10,0.3958374261856079,0.8178165555000305,0.06497570127248764,0.721875011920929,0.2200820054858923
led24,RandomForest,2880,320,10,0.4063124656677246,0.8566187024116516,0.07552995532751083,0.7093750238418579,0.22169963270425797
led24,XGBoost,2880,320,10,0.4090880751609802,0.8617807626724243,0.06795857846736908,0.721875011920929,0.22206646017730236
letter,CatBoost,18000,2000,26,0.035516947507858276,0.08401114493608475,0.010030343197286129,0.9779999852180481,13.932783043012023
letter,ExtraTrees,18000,2000,26,0.04947366937994957,0.11255871504545212,0.036453329026699066,0.9739999771118164,13.918913247063756
letter,LightGBM,18000,2000,26,0.03703256696462631,0.09362152218818665,0.01129982527345419,0.9779999852180481,13.949653530493379
letter,LinearModel,18000,2000,26,0.3121541142463684,0.7461535930633545,0.02233957126736641,0.7870000004768372,13.917274391278625
letter,NeuralNetFastAI,18000,2000,26,0.022136392071843147,0.05426575243473053,0.007599618285894394,0.9860000014305115,13.933094635605812
letter,NeuralNetTorch,18000,2000,26,0.022531984373927116,0.04652659595012665,0.005922894924879074,0.984499990940094,13.91180432960391
letter,RandomForest,18000,2000,26,0.05777594819664955,0.12763145565986633,0.028009429574012756,0.968500018119812,13.938792493194342
letter,XGBoost,18000,2000,26,0.03906324505805969,0.09280798584222794,0.0110997399315238,0.9750000238418579,13.948399005457759
mfeat-factors,CatBoost,1800,200,10,0.0412185862660408,0.1869729608297348,0.01965687796473503,0.9800000190734863,0.08973087184131145
mfeat-factors,ExtraTrees,1800,200,10,0.04655398055911064,0.10730347037315369,0.016284490004181862,0.9700000286102295,0.09053723886609077
mfeat-factors,LightGBM,1800,200,10,0.04085300490260124,0.19393140077590942,0.018228696659207344,0.9800000190734863,0.08903881162405014
mfeat-factors,LinearModel,1800,200,10,0.03001062199473381,0.11222325265407562,0.013384455814957619,0.9850000143051147,0.09026660397648811
mfeat-factors,NeuralNetFastAI,1800,200,10,0.030939867720007896,0.0932144820690155,0.01728517934679985,0.9850000143051147,0.08924825116991997
mfeat-factors,NeuralNetTorch,1800,200,10,0.03195897489786148,0.14951090514659882,0.015726223587989807,0.9850000143051147,0.08900880813598633
mfeat-factors,RandomForest,1800,200,10,0.05193160101771355,0.10801178961992264,0.018978456035256386,0.9700000286102295,0.08967207372188568
mfeat-factors,XGBoost,1800,200,10,0.03986837714910507,0.13072293996810913,0.01622663252055645,0.9800000190734863,0.08772328682243824
micro-mass,CatBoost,513,58,20,0.06722898781299591,0.11933969706296921,0.05563165992498398,0.9482758641242981,0.016237787902355194
micro-mass,ExtraTrees,513,58,20,0.18829508125782013,0.38606491684913635,0.13839191198349,0.8965517282485962,0.016710279509425163
micro-mass,LightGBM,513,58,20,0.11178763210773468,0.16933777928352356,0.0803515687584877,0.8965517282485962,0.016758212819695473
micro-mass,LinearModel,513,58,20,0.0951445922255516,0.17277860641479492,0.053252097219228745,0.931034505367279,0.01546904444694519
micro-mass,NeuralNetFastAI,513,58,20,0.22789715230464935,0.4713198244571686,0.05737810581922531,0.8620689511299133,0.01717579923570156
micro-mass,NeuralNetTorch,513,58,20,0.07938966900110245,0.16563230752944946,0.04547455161809921,0.9482758641242981,0.016908936202526093
micro-mass,RandomForest,513,58,20,0.17624948918819427,0.32716643810272217,0.13867627084255219,0.8793103694915771,0.0159349013119936
micro-mass,XGBoost,513,58,20,0.13170503079891205,0.23364688456058502,0.08183149248361588,0.8793103694915771,0.016208406537771225
microaggregation2,CatBoost,18000,2000,5,0.499377965927124,0.9497977495193481,0.0656118169426918,0.6240000128746033,2.6993754971772432
microaggregation2,ExtraTrees,18000,2000,5,0.5084774494171143,0.9683091044425964,0.04601537436246872,0.6129999756813049,2.7148692086338997
microaggregation2,LightGBM,18000,2000,5,0.4942293167114258,0.9388875961303711,0.05929597467184067,0.6255000233650208,2.689170476049185
microaggregation2,LinearModel,18000,2000,5,0.5641049742698669,1.0744450092315674,0.06264731287956238,0.574999988079071,2.7031681705266237
microaggregation2,NeuralNetFastAI,18000,2000,5,0.4756089150905609,0.9038600325584412,0.06005994230508804,0.6355000138282776,2.7214228715747595
microaggregation2,NeuralNetTorch,18000,2000,5,0.48257550597190857,0.9181872606277466,0.054727524518966675,0.6399999856948853,2.7127266209572554
microaggregation2,RandomForest,18000,2000,5,0.5085223913192749,0.973141610622406,0.0546889454126358,0.6144999861717224,2.719105675816536
microaggregation2,XGBoost,18000,2000,5,0.4961444139480591,0.9445217847824097,0.05366961285471916,0.6265000104904175,2.7064774185419083
okcupid-stem,CatBoost,45710,5079,3,0.33916279673576355,0.5726633071899414,0.01355286780744791,0.7595983743667603,3.8886639531701803
okcupid-stem,ExtraTrees,45710,5079,3,0.35893139243125916,0.5993351936340332,0.023276254534721375,0.7420752048492432,3.8454911950975657
okcupid-stem,LightGBM,45710,5079,3,0.3422227203845978,0.5745941400527954,0.01993991993367672,0.7576294541358948,3.8363296445459127
okcupid-stem,LinearModel,45710,5079,3,0.3463379740715027,0.5819317102432251,0.015680719166994095,0.7558574676513672,3.93288934789598
okcupid-stem,NeuralNetFastAI,45710,5079,3,0.3447021543979645,0.5791210532188416,0.017785508185625076,0.7562512159347534,3.8539898972958326
okcupid-stem,NeuralNetTorch,45710,5079,3,0.34124621748924255,0.574317991733551,0.01954474113881588,0.7617641091346741,3.8205582220107317
okcupid-stem,RandomForest,45710,5079,3,0.357560396194458,0.5982704758644104,0.01471105869859457,0.7426658868789673,3.8479269444942474
okcupid-stem,XGBoost,45710,5079,3,0.34089145064353943,0.5723186731338501,0.018775472417473793,0.758810818195343,3.8562223687767982
optdigits,CatBoost,5058,562,10,0.024734079837799072,0.10358306020498276,0.010671167634427547,0.9875444769859314,0.705749474465847
optdigits,ExtraTrees,5058,562,10,0.02467489056289196,0.05510769411921501,0.009755704551935196,0.9839857816696167,0.7026820592582226
optdigits,LightGBM,5058,562,10,0.019392456859350204,0.08182036876678467,0.008326503448188305,0.9893238544464111,0.7033440787345171
optdigits,LinearModel,5058,562,10,0.057303979992866516,0.13482290506362915,0.02471940405666828,0.9679715037345886,0.7006493639200926
optdigits,NeuralNetFastAI,5058,562,10,0.01851256750524044,0.08437364548444748,0.008148773573338985,0.9911032319068909,0.7045459449291229
optdigits,NeuralNetTorch,5058,562,10,0.013674793764948845,0.04595480114221573,0.004733105190098286,0.9928825497627258,0.7067268900573254
optdigits,RandomForest,5058,562,10,0.044343773275613785,0.09787075221538544,0.019355693832039833,0.9715302586555481,0.704714072868228
optdigits,XGBoost,5058,562,10,0.034999072551727295,0.11084171384572983,0.016584809869527817,0.9786477088928223,0.7098309751600027
page-blocks,CatBoost,4925,548,5,0.04980015382170677,0.1254567950963974,0.018834328278899193,0.9689781069755554,0.3010631874203682
page-blocks,ExtraTrees,4925,548,5,0.04528544098138809,0.1470160186290741,0.01809285394847393,0.9762773513793945,0.31743259355425835
page-blocks,LightGBM,4925,548,5,0.04595738276839256,0.12501616775989532,0.016235651448369026,0.9726277589797974,0.3029816150665283
page-blocks,LinearModel,4925,548,5,0.055789683014154434,0.13148586452007294,0.02110605500638485,0.9653284549713135,0.30187405459582806
page-blocks,NeuralNetFastAI,4925,548,5,0.055361904203891754,0.14281891286373138,0.022473596036434174,0.9653284549713135,0.30013064481317997
page-blocks,NeuralNetTorch,4925,548,5,0.03797011077404022,0.09906257688999176,0.01690136268734932,0.9762773513793945,0.3073140885680914
page-blocks,RandomForest,4925,548,5,0.048088766634464264,0.1324729472398758,0.017280764877796173,0.9726277589797974,0.32260503247380257
page-blocks,XGBoost,4925,548,5,0.043011151254177094,0.11724822968244553,0.015356866642832756,0.9762773513793945,0.29848533123731613
pendigits,CatBoost,9892,1100,10,0.005455303005874157,0.016223430633544922,0.00270168948918581,0.9972727298736572,2.8303310498595238
pendigits,ExtraTrees,9892,1100,10,0.009602194651961327,0.019069993868470192,0.004002350848168135,0.9945454597473145,2.8366513922810555
pendigits,LightGBM,9892,1100,10,0.008048146031796932,0.030285727232694626,0.0030265264213085175,0.9954545497894287,2.8171106688678265
pendigits,LinearModel,9892,1100,10,0.07050468772649765,0.18296343088150024,0.023154212161898613,0.9572727084159851,2.811325142160058
pendigits,NeuralNetFastAI,9892,1100,10,0.0037288374733179808,0.020075172185897827,0.001370886922813952,0.9981818199157715,2.8482343275099993
pendigits,NeuralNetTorch,9892,1100,10,0.00613887794315815,0.011137332767248154,0.00275472947396338,0.996363639831543,2.810118729248643
