dataset,model,cal_size,test_size,n_classes,Dirichlet_logloss,Dirichlet_brier,Dirichlet_accuracy,Dirichlet_ece-15,Dirichlet_time
eucalyptus,ExtraTrees,662,74,5,0.6190884226478319,0.3648992964623273,0.7027027010917664,0.0900861993432045,0.30002020899974013
eucalyptus,LightGBM,662,74,5,0.6089188515780041,0.3554831181302028,0.7432432174682617,0.10134658217430115,0.2548026670001491
eucalyptus,LinearModel,662,74,5,0.7317752596595682,0.4434400300390475,0.6351351141929626,0.07617218792438507,0.4129341670004578
eucalyptus,NeuralNetFastAI,662,74,5,0.640368068877541,0.4031716610690539,0.6891891956329346,0.0667632445693016,0.2952986250002141
eucalyptus,NeuralNetTorch,662,74,5,0.6681462707941523,0.4226065077912426,0.6486486196517944,0.08013015985488892,0.5741223329996501
eucalyptus,RandomForest,662,74,5,0.6731685381581042,0.3931337098879304,0.6756756901741028,0.08317101746797562,0.29509479199987254
eucalyptus,XGBoost,662,74,5,0.6765148159037032,0.3990578148157974,0.7162162065505981,0.06089034676551819,0.2924827920005555
eye_movements,CatBoost,9842,1094,3,0.5944146851436901,0.35170375685810606,0.7385740280151367,0.038267381489276886,2.566605874999368
eye_movements,ExtraTrees,9842,1094,3,0.5467666090987706,0.31885799761151257,0.7769652605056763,0.03568696230649948,0.302622084000177
eye_movements,LightGBM,9842,1094,3,0.48592334730331643,0.2784776642071079,0.809872031211853,0.037020668387413025,0.28922316699936346
eye_movements,LinearModel,9842,1094,3,0.9167698163123033,0.5635093544091417,0.5091407895088196,0.028198443353176117,0.19049770899982832
eye_movements,NeuralNetFastAI,9842,1094,3,0.7195788126445352,0.4327192416373673,0.6709323525428772,0.04538237303495407,0.2428070830001161
eye_movements,NeuralNetTorch,9842,1094,3,0.6944607942516698,0.41693386951637473,0.6910420656204224,0.06644675880670547,0.23675208299937367
eye_movements,RandomForest,9842,1094,3,0.6612280088878334,0.38216620693859416,0.7184643745422363,0.03904270753264427,0.311255374999746
eye_movements,XGBoost,9842,1094,3,0.5453467933841228,0.31802674974410444,0.7696526646614075,0.03525973856449127,0.25085424999997485
fabert,CatBoost,7413,824,7,0.703032595612533,0.3515421596432908,0.7305825352668762,0.0430966392159462,6.646447666999848
fabert,ExtraTrees,7413,824,7,0.7369122194986708,0.3697261282393182,0.7111650705337524,0.040315791964530945,0.42207445799976995
fabert,LightGBM,7413,824,7,0.6938077822527959,0.35281457748625256,0.7220873832702637,0.053655948489904404,0.4160025830005907
fabert,LinearModel,7413,824,7,0.9797021490547,0.47941273308471855,0.6286407709121704,0.06548525393009186,0.667662083000323
fabert,NeuralNetFastAI,7413,824,7,0.7725410346704932,0.38344001225276714,0.707524299621582,0.04207281768321991,0.5792962919995261
fabert,NeuralNetTorch,7413,824,7,0.8443408791715711,0.4168483563896322,0.6953883767127991,0.07976774871349335,0.6340378329996383
fabert,RandomForest,7413,824,7,0.7741436563420762,0.3810154703981129,0.7063106894493103,0.03655841201543808,0.47498737499972776
