dataset,model,cal_size,test_size,n_classes,Base-model_brier,Base-model_logloss,Base-model_ece-15,Base-model_accuracy,Base-model_time
splice,ExtraTrees,2871,319,3,0.09318857640028,0.17455177009105682,0.041592076420784,0.9341692924499512,0
splice,LightGBM,2871,319,3,0.06567714363336563,0.124245285987854,0.014921688474714756,0.9592476487159729,0
splice,LinearModel,2871,319,3,0.0903458222746849,0.18817780911922455,0.023896679282188416,0.9435736536979675,0
splice,NeuralNetFastAI,2871,319,3,0.05444948747754097,0.10713083297014236,0.014733907766640186,0.9592476487159729,0
splice,NeuralNetTorch,2871,319,3,0.06780466437339783,0.1306278556585312,0.024551188573241234,0.9592476487159729,0
splice,RandomForest,2871,319,3,0.09168145805597305,0.16914714872837067,0.03982364386320114,0.9341692924499512,0
splice,XGBoost,2871,319,3,0.05322026461362839,0.09958214312791824,0.015092793852090836,0.9655172228813171,0
steel-plates-fault,CatBoost,1746,195,7,0.23716317117214203,0.4564267694950104,0.05799582600593567,0.8256410360336304,0
steel-plates-fault,ExtraTrees,1746,195,7,0.2711147964000702,0.5144609212875366,0.10478626936674118,0.8205128312110901,0
steel-plates-fault,LightGBM,1746,195,7,0.24272167682647705,0.48331937193870544,0.035307012498378754,0.8205128312110901,0
steel-plates-fault,LinearModel,1746,195,7,0.3511185050010681,0.6783292889595032,0.06632504612207413,0.7487179636955261,0
steel-plates-fault,NeuralNetFastAI,1746,195,7,0.3043290078639984,0.585468053817749,0.09957297146320343,0.7743589878082275,0
steel-plates-fault,NeuralNetTorch,1746,195,7,0.3348531126976013,0.6133250594139099,0.07065287977457047,0.7333333492279053,0
steel-plates-fault,RandomForest,1746,195,7,0.262037456035614,0.5544608235359192,0.07576876878738403,0.8205128312110901,0
steel-plates-fault,XGBoost,1746,195,7,0.24152666330337524,0.481983482837677,0.03105900064110756,0.8256410360336304,0
synthetic_control,CatBoost,540,60,6,0.0054588099010288715,0.01695222407579422,0.01467202603816986,1.0,0
synthetic_control,ExtraTrees,540,60,6,0.054545219987630844,0.16243502497673035,0.14183349907398224,1.0,0
synthetic_control,LightGBM,540,60,6,0.00025438363081775606,0.0033140224404633045,0.003240644931793213,1.0,0
synthetic_control,LinearModel,540,60,6,0.0006769651081413031,0.0062202452681958675,0.005990589968860149,1.0,0
synthetic_control,NeuralNetFastAI,540,60,6,0.00035997730446979403,0.002951532369479537,0.00283620273694396,1.0,0
synthetic_control,NeuralNetTorch,540,60,6,0.013831724412739277,0.026826394721865654,0.022142399102449417,1.0,0
synthetic_control,RandomForest,540,60,6,0.056107066571712494,0.15442320704460144,0.1303335428237915,1.0,0
synthetic_control,XGBoost,540,60,6,0.01937701366841793,0.04810521751642227,0.03541140258312225,0.9833333492279053,0
