dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
analcatdata_dmft,CatBoost,717,80,6,0.8119953478064488,1.724079006489682,0.05000672489404678,0.2750000059604645,0.0023049246519804
analcatdata_dmft,ExtraTrees,717,80,6,0.825852772369023,1.7692952826162955,0.02805805392563343,0.23749999701976776,0.002380387857556343
analcatdata_dmft,LightGBM,717,80,6,0.8231188994435467,1.765815207813631,0.02293023094534874,0.20000000298023224,0.002296971157193184
analcatdata_dmft,LinearModel,717,80,6,0.8218057822906758,1.7584125283950982,0.01778406649827957,0.22499999403953552,0.0024060308933258057
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8241971017375306,1.7622741397417965,0.0476093664765358,0.1875,0.002376984804868698
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8176098141001337,1.740898078807573,0.025406500324606895,0.22499999403953552,0.0023794248700141907
analcatdata_dmft,RandomForest,717,80,6,0.8299095672410066,1.7793874898280937,0.027730131521821022,0.20000000298023224,0.0023437179625034332
analcatdata_dmft,XGBoost,717,80,6,0.8200268268290213,1.7521593173547494,0.051983993500471115,0.22499999403953552,0.0023714974522590637
artificial-characters,CatBoost,9196,1022,10,0.07824366990854041,0.2073572031026047,0.039860911667346954,0.9598825573921204,0.009099984541535378
artificial-characters,ExtraTrees,9196,1022,10,0.08021999537426433,0.27587753571682716,0.01316879503428936,0.9549902081489563,0.009276440367102623
artificial-characters,LightGBM,9196,1022,10,0.058903964065532236,0.15882179400342825,0.03955262899398804,0.9647749662399292,0.009355751797556877
artificial-characters,LinearModel,9196,1022,10,0.7435595691227451,1.7180465197230261,0.03650107607245445,0.3649706542491913,0.009653491899371147
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3621254850550883,0.6366516583402312,0.04240265488624573,0.7103717923164368,0.009694622829556465
artificial-characters,NeuralNetTorch,9196,1022,10,0.348838269018397,0.605123570799446,0.03703200817108154,0.7152642011642456,0.009599626064300537
artificial-characters,RandomForest,9196,1022,10,0.07750167644736772,0.19916665870225378,0.0129768718034029,0.9549902081489563,0.009568193927407265
artificial-characters,XGBoost,9196,1022,10,0.07434447785041567,0.1968829174939492,0.03829260170459747,0.9530332684516907,0.009174143895506859
autoUniv-au6-750,CatBoost,675,75,8,0.8376275660299245,1.963374566488714,0.054738011211156845,0.2666666805744171,0.0029840804636478424
autoUniv-au6-750,ExtraTrees,675,75,8,0.8213551947423249,1.9177919125054965,0.07064901292324066,0.3199999928474426,0.0030074436217546463
autoUniv-au6-750,LightGBM,675,75,8,0.80926097534976,1.9043099995101114,0.108196921646595,0.3866666555404663,0.0029843728989362717
autoUniv-au6-750,LinearModel,675,75,8,0.8497402212383971,1.9939658348444058,0.016533691436052322,0.2266666740179062,0.003017716109752655
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8554181643521029,2.007250263600814,0.02384435385465622,0.2133333384990692,0.0029915478080511093
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8510050588292951,1.9901802761731513,0.0004694610834121704,0.2133333384990692,0.002926791086792946
autoUniv-au6-750,RandomForest,675,75,8,0.7799364315214005,1.8225872340785576,0.13919706642627716,0.3466666638851166,0.0030033569782972336
autoUniv-au6-750,XGBoost,675,75,8,0.813398449173522,1.9131845899461901,0.1349848061800003,0.36000001430511475,0.003006724640727043
autoUniv-au7-1100,CatBoost,990,110,5,0.7261072021667967,1.3982357630849638,0.1367865800857544,0.4363636374473572,0.00208200141787529
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7426045097133076,1.4360624250017158,0.11521866917610168,0.4272727370262146,0.002150828018784523
autoUniv-au7-1100,LightGBM,990,110,5,0.7115967349408742,1.3824580186787268,0.05653926730155945,0.41818180680274963,0.002133946865797043
autoUniv-au7-1100,LinearModel,990,110,5,0.7730239721051245,1.5259533630736588,0.05999305844306946,0.30909091234207153,0.0021517518907785416
