dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
cnae-9,LightGBM,972,108,9,0.04847481846809387,0.11760193854570389,0.03669164702296257,0.9629629850387573,0.029520009644329548
cnae-9,LinearModel,972,108,9,0.0633586049079895,0.13916271924972534,0.04029389098286629,0.9537037014961243,0.026745209470391273
cnae-9,NeuralNetFastAI,972,108,9,0.05110270157456398,0.10699042677879333,0.04655420407652855,0.9722222089767456,0.0235784612596035
cnae-9,NeuralNetTorch,972,108,9,0.05710802227258682,0.1262984424829483,0.0527157187461853,0.9629629850387573,0.02231721393764019
cnae-9,RandomForest,972,108,9,0.06886763125658035,0.17353151738643646,0.03898543119430542,0.9537037014961243,0.025368851609528065
cnae-9,XGBoost,972,108,9,0.0830339714884758,0.1790836602449417,0.042058687657117844,0.9351851940155029,0.03382917121052742
collins,CatBoost,900,100,30,0.8044379949569702,2.0979013442993164,0.0897996723651886,0.2800000011920929,0.025131916627287865
collins,ExtraTrees,900,100,30,0.8404022455215454,2.2072713375091553,0.08599982410669327,0.23999999463558197,0.02329939417541027
collins,LightGBM,900,100,30,0.8112697005271912,2.149232864379883,0.06580881029367447,0.28999999165534973,0.017122712917625904
collins,LinearModel,900,100,30,0.8119520545005798,2.1436357498168945,0.09809009730815887,0.3400000035762787,0.01647078152745962
collins,NeuralNetFastAI,900,100,30,0.8004516363143921,2.0796589851379395,0.1265268474817276,0.3700000047683716,0.016325908713042736
collins,NeuralNetTorch,900,100,30,0.7811510562896729,2.0146450996398926,0.10209343582391739,0.3499999940395355,0.016108687967061996
collins,RandomForest,900,100,30,0.8380825519561768,2.2271196842193604,0.06399206072092056,0.25999999046325684,0.01962472964078188
collins,XGBoost,900,100,30,0.8363622426986694,2.3059961795806885,0.09946241974830627,0.25,0.021481425501406193
connect-4,CatBoost,60801,6756,3,0.17731279134750366,0.3186508119106293,0.012938734143972397,0.8752220273017883,0.3515727883204818
connect-4,ExtraTrees,60801,6756,3,0.25018858909606934,0.45098671317100525,0.012453509494662285,0.8228241801261902,0.3725967174395919
connect-4,LightGBM,60801,6756,3,0.17746767401695251,0.3196142911911011,0.01346320379525423,0.8735938668251038,0.3445527255535126
