dataset,model,cal_size,test_size,n_classes,LightGBM_brier,LightGBM_logloss,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
cardiotocography,CatBoost,1913,213,10,3.7714137375611824e-06,0.0007285929135036342,0.0007287859916687012,1.0,0.9060309790074825
cardiotocography,ExtraTrees,1913,213,10,5.543316379217966e-06,0.002148991222778608,0.002145111560821533,1.0,0.2934727966785431
cardiotocography,LightGBM,1913,213,10,2.9347667461885453e-09,6.969698981663076e-06,4.649162292480469e-06,1.0,0.8884663321077824
cardiotocography,LinearModel,1913,213,10,2.765115706454875e-05,0.00029180883315362883,0.0002853274345397949,1.0,0.8035457469522953
cardiotocography,NeuralNetFastAI,1913,213,10,0.0024167516397357466,0.004176096230030339,0.0033700831700116396,1.0,0.3099517226219177
cardiotocography,NeuralNetTorch,1913,213,10,2.1971220892809073e-11,4.1417906543073206e-06,1.6689300537109375e-06,1.0,0.3118508644402027
cardiotocography,RandomForest,1913,213,10,7.403588995739987e-08,0.00024988130658920544,0.00024878978729248047,1.0,0.3301163725554943
cardiotocography,XGBoost,1913,213,10,7.373729809656445e-10,5.814811045023408e-06,4.470348358154297e-06,1.0,0.9153399839997292
cmc,CatBoost,1325,148,3,0.5108205234457597,0.8630090053015322,0.09925195574760437,0.5743243098258972,0.14380306750535965
cmc,ExtraTrees,1325,148,3,0.510424470610197,0.8610053698898462,0.06599719822406769,0.5810810923576355,0.15447024628520012
cmc,LightGBM,1325,148,3,0.5258805687054601,0.8841112577238316,0.06243394315242767,0.5608108043670654,0.150834321975708
cmc,LinearModel,1325,148,3,0.533783611693158,0.8908864180572754,0.12109410017728806,0.6081081032752991,0.1422436311841011
cmc,NeuralNetFastAI,1325,148,3,0.5223529233954405,0.875369561273051,0.08824502676725388,0.5540540814399719,0.16755230724811554
cmc,NeuralNetTorch,1325,148,3,0.5121011589279723,0.8647291322647064,0.10190966725349426,0.5945945978164673,0.14414112642407417
cmc,RandomForest,1325,148,3,0.5052679779870052,0.851229669559124,0.06943778693675995,0.587837815284729,0.14651651680469513
cmc,XGBoost,1325,148,3,0.5127872385132586,0.8682739369754824,0.14032720029354095,0.5743243098258972,0.1485065408051014
cnae-9,CatBoost,972,108,9,0.08455370860336382,0.21552707197036902,0.043337900191545486,0.9444444179534912,0.5980484150350094
cnae-9,ExtraTrees,972,108,9,0.061872399446968665,0.15741706229409902,0.04597902297973633,0.9629629850387573,0.5870965346693993
cnae-9,LightGBM,972,108,9,0.06103950385974193,0.14773273153556768,0.04820578545331955,0.9629629850387573,0.6142707727849483
cnae-9,LinearModel,972,108,9,0.06498230628306595,0.1463851168233001,0.04539763554930687,0.9537037014961243,0.6509432196617126
cnae-9,NeuralNetFastAI,972,108,9,0.05252309990435288,0.13562455292604303,0.045561809092760086,0.9629629850387573,0.6113250218331814
cnae-9,NeuralNetTorch,972,108,9,0.061649349154730144,0.15606431148799313,0.042578183114528656,0.9537037014961243,0.650600004941225
cnae-9,RandomForest,972,108,9,0.07473020032237301,0.17274518570127603,0.05329035967588425,0.9537037014961243,0.5576850436627865
cnae-9,XGBoost,972,108,9,0.0958853503470925,0.23751748530539082,0.04110893979668617,0.9351851940155029,0.6225729286670685
collins,CatBoost,900,100,30,0.8392521545715548,2.3246715011022667,0.04606162756681442,0.28999999165534973,4.1302005760371685
collins,ExtraTrees,900,100,30,0.8637975813500876,2.4404240891543667,0.05877895653247833,0.23000000417232513,4.329332511872053
