dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
robert,LinearModel,9000,1000,10,0.7773701605947656,1.9078810182373334,0.08601361513137817,0.3610000014305115,0.044596537947654724
robert,NeuralNetFastAI,9000,1000,10,0.6567180056613735,1.4744223810636543,0.043004050850868225,0.4740000069141388,0.04678872972726822
robert,NeuralNetTorch,9000,1000,10,0.6509067179126545,1.4705983570030372,0.04856124520301819,0.4830000102519989,0.04748412221670151
robert,RandomForest,9000,1000,10,0.6737288352034673,1.5486877491234503,0.05966121703386307,0.4819999933242798,0.04827629402279854
robert,XGBoost,9000,1000,10,0.606786330556311,1.3437831663552293,0.05386153981089592,0.5210000276565552,0.04709934815764427
satimage,CatBoost,5787,643,6,0.11775985230847703,0.21005019198888616,0.018504679203033447,0.9113530516624451,0.020219583064317703
satimage,ExtraTrees,5787,643,6,0.11997412764439054,0.21618769235433702,0.016981106251478195,0.917573869228363,0.01987551897764206
satimage,LightGBM,5787,643,6,0.11985679033306261,0.3068315196570829,0.02172008715569973,0.917573869228363,0.020707912743091583
satimage,LinearModel,5787,643,6,0.18730945417713285,0.32846577672818167,0.028325049206614494,0.8553654551506042,0.02113857865333557
satimage,NeuralNetFastAI,5787,643,6,0.11136264783350273,0.1864312852789194,0.01617925986647606,0.9160186648368835,0.020552989095449448
satimage,NeuralNetTorch,5787,643,6,0.11340163750849923,0.1914612626763641,0.025548871606588364,0.917573869228363,0.019952796399593353
satimage,RandomForest,5787,643,6,0.12261598522842161,0.243254531277408,0.018543945625424385,0.917573869228363,0.019103199243545532
satimage,XGBoost,5787,643,6,0.11552559474434039,0.3152105532324265,0.01635105535387993,0.9269051551818848,0.020809870213270187
segment,CatBoost,2079,231,7,0.030748206626721623,0.33877169473760826,0.018276197835803032,0.9870129823684692,0.016023583710193634
segment,ExtraTrees,2079,231,7,0.02813019013328681,0.34345612805407205,0.018315473571419716,0.9870129823684692,0.01519009843468666
segment,LightGBM,2079,231,7,0.03958516916679589,0.35985944361585626,0.02633466199040413,0.9783549904823303,0.01563243195414543
segment,LinearModel,2079,231,7,0.04199724171297234,0.09494428762551207,0.019562922418117523,0.9783549904823303,0.016062408685684204
