dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
artificial-characters,ExtraTrees,9196,1022,10,0.07915195975180758,0.19020718264932848,0.015309492126107216,0.9530332684516907,14.895934956148267
artificial-characters,LightGBM,9196,1022,10,0.06936538029967405,0.14617173615086193,0.02517545223236084,0.9589040875434875,37.461475365795195
artificial-characters,LinearModel,9196,1022,10,0.4352294675557655,0.8105800364906285,0.08745777606964111,0.6722113490104675,41.207389486953616
artificial-characters,NeuralNetFastAI,9196,1022,10,0.36218287762833806,0.6045289359993459,0.04641764611005783,0.7240704298019409,17.789086325094104
artificial-characters,NeuralNetTorch,9196,1022,10,0.34443982273095364,0.5817052774533638,0.028949234634637833,0.7162426710128784,18.401600112672895
artificial-characters,RandomForest,9196,1022,10,0.07678998702046157,0.18256186833508292,0.011198755353689194,0.9549902081489563,13.415291921701282
artificial-characters,XGBoost,9196,1022,10,0.08134043818812887,0.17286027807120322,0.028517741709947586,0.9540117383003235,39.20348021015525
autoUniv-au6-750,CatBoost,675,75,8,0.8444590376328672,1.977970713637654,0.10743942856788635,0.23999999463558197,0.9361821659840643
autoUniv-au6-750,ExtraTrees,675,75,8,0.841767991868429,1.9784338133326733,0.12159980088472366,0.25333333015441895,0.9075286616571248
autoUniv-au6-750,LightGBM,675,75,8,0.8100754231791258,1.8917511773437552,0.1421770304441452,0.36000001430511475,0.8715983377769589
autoUniv-au6-750,LinearModel,675,75,8,0.8518915061422955,1.9930355093109346,0.06213270500302315,0.1599999964237213,0.791619969997555
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.855944399065441,2.007415013617252,0.06605435162782669,0.25333333015441895,0.7059215558692813
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.854607165971215,2.0007184229918646,0.01364302821457386,0.18666666746139526,0.7608110387809575
autoUniv-au6-750,RandomForest,675,75,8,0.7784897631967361,1.8088962234768031,0.11853869259357452,0.36000001430511475,0.9948789589107037
autoUniv-au6-750,XGBoost,675,75,8,0.8165044882526848,1.9179538129463845,0.14756888151168823,0.3733333349227905,0.844673051033169
autoUniv-au7-1100,CatBoost,990,110,5,0.7234666311397897,1.4053735905235967,0.0890229344367981,0.40909090638160706,0.7918077558279037
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7330028196659466,1.4306759338477775,0.1193716824054718,0.4272727370262146,0.820009492803365
autoUniv-au7-1100,LightGBM,990,110,5,0.7219301963034388,1.3939473421901596,0.053673144429922104,0.41818180680274963,0.7981506418436766
autoUniv-au7-1100,LinearModel,990,110,5,0.7586567096650952,1.5029205819362956,0.0852980837225914,0.3636363744735718,0.8377385558560491
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7353601826047452,1.4380829625199092,0.035431958734989166,0.38181817531585693,0.7174573498778045
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7213112952566019,1.4091535829922863,0.08818898350000381,0.41818180680274963,0.8499202490784228
autoUniv-au7-1100,RandomForest,990,110,5,0.6959248188865025,1.3684825736559647,0.09830745309591293,0.4636363685131073,0.8032804513350129
autoUniv-au7-1100,XGBoost,990,110,5,0.7034227807124944,1.3494936048835462,0.12523704767227173,0.41818180680274963,0.821038078982383
autoUniv-au7-700,CatBoost,630,70,3,0.5351494128213212,0.9002699740187424,0.12513646483421326,0.6142857074737549,0.4184459839016199
autoUniv-au7-700,ExtraTrees,630,70,3,0.5349999871426189,0.9031021867031324,0.1692565679550171,0.5571428537368774,0.3870643270201981
autoUniv-au7-700,LightGBM,630,70,3,0.5255649745674007,0.8830330364274196,0.062187351286411285,0.5285714268684387,0.352479443885386
