dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LightGBM,1440,160,0.4627104590953503,0.6539703700274379,0.07308609783649445,0.09362280368804932,0.6312500238418579,0.0658616703003645
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LinearModel,1440,160,0.5043436967157927,0.6975423805721874,0.13021314144134521,0.023892633616924286,0.4625000059604645,0.061066145077347755
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetFastAI,1440,160,0.44529009807089637,0.6242722250770588,0.07971394807100296,0.12518122792243958,0.6187499761581421,0.06385737471282482
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetTorch,1440,160,0.44472419049526685,0.6261104402602131,0.06593778729438782,0.1272081434726715,0.6312500238418579,0.06379034370183945
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,RandomForest,1440,160,0.49127685534085436,0.6875148652058627,0.05743907019495964,0.12254013121128082,0.59375,0.06405835784971714
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,XGBoost,1440,160,0.4630459570141962,0.6588665677592729,0.06125025451183319,0.09977506846189499,0.643750011920929,0.06439164467155933
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,CatBoost,1440,160,0.37769255987294204,0.5524606909049568,0.04610077291727066,0.1025218591094017,0.6937500238418579,0.06517824903130531
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,ExtraTrees,1440,160,0.4114911095849775,0.5999937460018254,0.033870063722133636,0.05651117488741875,0.675000011920929,0.0642799362540245
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LightGBM,1440,160,0.38543034757919353,0.5707851925317453,0.04326728731393814,0.059590622782707214,0.699999988079071,0.06350137665867805
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LinearModel,1440,160,0.49969717007906966,0.6928441096198105,0.24993495643138885,2.5146906409645453e-05,0.5062500238418579,0.058280639350414276
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetFastAI,1440,160,0.378706891784674,0.5591722720439609,0.05062972754240036,0.09586315602064133,0.706250011920929,0.06304009817540646
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetTorch,1440,160,0.35501817491452436,0.5336648915437392,0.0718669593334198,0.104918472468853,0.731249988079071,0.0625569336116314
