dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
cylinder-bands,CatBoost,486,54,0.1999734609253521,0.3371021223444097,0.062053289264440536,0.08753693103790283,0.8703703880310059,0.00250287726521492
cylinder-bands,ExtraTrees,486,54,0.17673009195218778,0.313778693392858,0.05028780549764633,0.07916409522294998,0.9074074029922485,0.003418966196477413
cylinder-bands,LightGBM,486,54,0.18082460181658788,0.30574783672973826,0.04431015998125076,0.0767439752817154,0.8888888955116272,0.0024825334548950195
cylinder-bands,LinearModel,486,54,0.25932644820411965,0.41054311185221115,0.0644751563668251,0.1121474876999855,0.8333333134651184,0.0027865897864103317
cylinder-bands,NeuralNetFastAI,486,54,0.25535016270004174,0.41281548226071746,0.08042669296264648,0.12958943843841553,0.8703703880310059,0.0027638133615255356
cylinder-bands,NeuralNetTorch,486,54,0.22678588799346927,0.3654773838991747,0.055708467960357666,0.1109083741903305,0.8703703880310059,0.0029804743826389313
cylinder-bands,RandomForest,486,54,0.16401481159322717,0.27574881652550076,0.04156851768493652,0.07290401309728622,0.9074074029922485,0.0024752840399742126
cylinder-bands,XGBoost,486,54,0.17601315343702317,0.29959870671246686,0.05899576470255852,0.08910223096609116,0.9074074029922485,0.002414017915725708
delta_ailerons,CatBoost,6416,713,0.09975191345125649,0.1932474335227681,0.015082189813256264,0.021324405446648598,0.9424964785575867,0.008696976117789745
delta_ailerons,ExtraTrees,6416,713,0.1065558547240939,0.21281223654222525,0.029707731679081917,0.01730654574930668,0.9354838728904724,0.008511360734701157
delta_ailerons,LightGBM,6416,713,0.10099416079541236,0.19735055010310346,0.015344937331974506,0.024374011904001236,0.9410939812660217,0.008588173426687717
delta_ailerons,LinearModel,6416,713,0.12904383507870448,0.24199910926749826,0.012549193575978279,0.027259167283773422,0.9214586019515991,0.008152240887284279
delta_ailerons,NeuralNetFastAI,6416,713,0.12744421696681726,0.23107408805018162,0.018386047333478928,0.012387918308377266,0.9200561046600342,0.00840955413877964
delta_ailerons,NeuralNetTorch,6416,713,0.12090353772783605,0.22062274433875406,0.022907201200723648,0.014971388503909111,0.9228611588478088,0.009054894559085369
delta_ailerons,RandomForest,6416,713,0.10598080978349675,0.2028755211410525,0.016941243782639503,0.013886258006095886,0.9326788187026978,0.009026124142110348
delta_ailerons,XGBoost,6416,713,0.10470309304218073,0.20325455970412243,0.017649294808506966,0.021185072138905525,0.9382889270782471,0.008767692372202873
delta_elevators,CatBoost,8565,952,0.18028627175242287,0.30277374773049903,0.011661797761917114,0.01291486993432045,0.8844537734985352,0.010273648425936699
delta_elevators,ExtraTrees,8565,952,0.17922437978796454,0.301586341544559,0.0107259601354599,0.013531606644392014,0.8844537734985352,0.011597303673624992
delta_elevators,LightGBM,8565,952,0.1748255805011889,0.2969332324823538,0.019696950912475586,0.02170819602906704,0.8918067216873169,0.010731611400842667
delta_elevators,LinearModel,8565,952,0.18357247872517948,0.31428293603575225,0.018580835312604904,0.021175187081098557,0.881302535533905,0.009971719235181808
delta_elevators,NeuralNetFastAI,8565,952,0.18254736653304293,0.30622536199459494,0.010636217892169952,0.01185818575322628,0.8792017102241516,0.010904253460466862
delta_elevators,NeuralNetTorch,8565,952,0.17769417634987172,0.29933316213118466,0.01180773600935936,0.012460428290069103,0.8855041861534119,0.011038756929337978
delta_elevators,RandomForest,8565,952,0.18406760250819798,0.3012439836371759,0.012927398085594177,0.009914660826325417,0.8760504126548767,0.011377314105629921
delta_elevators,XGBoost,8565,952,0.17961201547580705,0.29963568355552417,0.011474177241325378,0.0135981235653162,0.8834033608436584,0.010137612000107765
diabetes,CatBoost,691,77,0.24856615003901097,0.39072861386543895,0.05110843479633331,0.09322299808263779,0.8441558480262756,0.002760525792837143
diabetes,ExtraTrees,691,77,0.23158448381246954,0.36857929269067113,0.05369914323091507,0.06457331776618958,0.8571428656578064,0.00259267445653677
diabetes,LightGBM,691,77,0.2442922834187748,0.38882122271999814,0.041447632014751434,0.060413651168346405,0.8311688303947449,0.0026458390057086945
diabetes,LinearModel,691,77,0.22301522705936672,0.3639497409437076,0.061692096292972565,0.08564361184835434,0.8571428656578064,0.002659405581653118
