dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
jm1,NeuralNetTorch,9796,1089,0.27645396562016694,0.43664348426069194,0.01762942224740982,0.029122570529580116,0.8145087361335754,1.270899816416204
jm1,RandomForest,9796,1089,0.26327086255984533,0.41619631617557207,0.012094628065824509,0.022716064006090164,0.8200183510780334,1.61849956959486
jm1,XGBoost,9796,1089,0.26528332534933174,0.4196028380097831,0.010534738190472126,0.02379648946225643,0.8163452744483948,1.1637093583121896
kc1,CatBoost,1898,211,0.18827989247321847,0.31486884318910413,0.03237360715866089,0.06981878727674484,0.8720378875732422,0.5546712763607502
kc1,ExtraTrees,1898,211,0.1889825260760437,0.3158205266766452,0.028046969324350357,0.030521675944328308,0.8767772316932678,0.5963078439235687
kc1,LightGBM,1898,211,0.19119995523432998,0.3180287473959276,0.0197930708527565,0.04508066922426224,0.8815165758132935,0.5537636708468199
kc1,LinearModel,1898,211,0.21263346009177128,0.34330935634215887,0.021430935710668564,0.052363358438014984,0.8578199148178101,0.6733635710552335
kc1,NeuralNetFastAI,1898,211,0.19842194268417163,0.32695296841020294,0.025778930634260178,0.05351882427930832,0.8720378875732422,0.724963185377419
kc1,NeuralNetTorch,1898,211,0.20949569897923614,0.33734313850468384,0.01734301820397377,0.02801666595041752,0.8483412265777588,0.5074481908231974
kc1,RandomForest,1898,211,0.18454970031164003,0.30805863398763117,0.025770768523216248,0.03861350938677788,0.8862559199333191,0.6074723890051246
kc1,XGBoost,1898,211,0.198601633293579,0.32798392358942857,0.019273463636636734,0.0330796018242836,0.8767772316932678,0.5940310014411807
kc2,CatBoost,469,53,0.2609248679693863,0.3862097340917246,0.07886632531881332,0.17860275506973267,0.7547169923782349,0.4298746641725302
kc2,ExtraTrees,469,53,0.2560680129800059,0.38443126388321597,0.06933469325304031,0.13613386452198029,0.7735849022865295,0.403097378090024
kc2,LightGBM,469,53,0.21133306294021012,0.32439499687790524,0.07002606987953186,0.152268186211586,0.8113207817077637,0.4168661395087838
kc2,LinearModel,469,53,0.2643407952642888,0.3952351248064856,0.07207041233778,0.13201968371868134,0.7735849022865295,0.45214030891656876
kc2,NeuralNetFastAI,469,53,0.25060680907194743,0.3757641313518146,0.05949023738503456,0.1017620712518692,0.7547169923782349,0.46824409160763025
kc2,NeuralNetTorch,469,53,0.26508968030593744,0.40640073017305217,0.053543802350759506,0.09748300164937973,0.7735849022865295,0.535336596891284
kc2,RandomForest,469,53,0.23829632778462698,0.34445110260887574,0.06539449095726013,0.12479338049888611,0.7924528121948242,0.5943478532135487
kc2,XGBoost,469,53,0.2353912703468836,0.35991335835366484,0.07061105966567993,0.15114638209342957,0.7924528121948242,0.4155701333656907
kdd_el_nino-small,CatBoost,703,79,0.1060495643519324,0.15377019274500278,0.042208366096019745,0.0648474246263504,0.9113923907279968,0.6774037759751081
kdd_el_nino-small,ExtraTrees,703,79,0.12871970292201418,0.20539891202505614,0.03850105404853821,0.08178061991930008,0.8987341523170471,0.4634127449244261
kdd_el_nino-small,LightGBM,703,79,0.11281723473136293,0.1731581055345484,0.044008754193782806,0.07149814814329147,0.9367088675498962,0.5361845400184393
kdd_el_nino-small,LinearModel,703,79,0.11077975151985452,0.171697342344671,0.0339711457490921,0.06600885838270187,0.9113923907279968,0.579953852109611
