dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
PhishingWebsites,LightGBM,9949,1106,0.047672007232904434,0.08182647824287415,0.010676681995391846,0.016349440440535545,0.9683544039726257,0
PhishingWebsites,LinearModel,9949,1106,0.09422732889652252,0.15244023501873016,0.008915605023503304,0.02136188931763172,0.9358047246932983,0
PhishingWebsites,NeuralNetFastAI,9949,1106,0.05006705969572067,0.0868176743388176,0.011369017884135246,0.01757415197789669,0.965641975402832,0
PhishingWebsites,NeuralNetTorch,9949,1106,0.050233520567417145,0.08801914751529694,0.013519233092665672,0.022643497213721275,0.9647377729415894,0
PhishingWebsites,RandomForest,9949,1106,0.06285374611616135,0.11759377270936966,0.025395601987838745,0.04019734635949135,0.9638336300849915,0
PhishingWebsites,XGBoost,9949,1106,0.04851364344358444,0.08742527663707733,0.011054000817239285,0.016805201768875122,0.965641975402832,0
Run_or_walk_information,CatBoost,79729,8859,0.00919712521135807,0.016933277249336243,0.0014257091097533703,0.0029535838402807713,0.9942431449890137,0
Run_or_walk_information,ExtraTrees,79729,8859,0.014851639978587627,0.03502572327852249,0.009981220588088036,0.01920757070183754,0.9928885698318481,0
Run_or_walk_information,LightGBM,79729,8859,0.00842007715255022,0.016121990978717804,0.0017983769066631794,0.002110956236720085,0.9943560361862183,0
Run_or_walk_information,LinearModel,79729,8859,0.2837361693382263,0.43294766545295715,0.06433746218681335,0.12523368000984192,0.7234450578689575,0
Run_or_walk_information,NeuralNetFastAI,79729,8859,0.013150492683053017,0.025483207777142525,0.0017744351644068956,0.002786260796710849,0.9916468858718872,0
Run_or_walk_information,NeuralNetTorch,79729,8859,0.01052265614271164,0.02027175948023796,0.0023994632065296173,0.0037608728744089603,0.9936787486076355,0
Run_or_walk_information,RandomForest,79729,8859,0.014147951267659664,0.02904113195836544,0.0063172876834869385,0.01041253563016653,0.9922112822532654,0
Run_or_walk_information,XGBoost,79729,8859,0.00994215440005064,0.017963266000151634,0.0016306061297655106,0.0024827723391354084,0.9933401346206665,0
Satellite,CatBoost,4590,510,0.016948441043496132,0.03188246861100197,0.00831793062388897,0.007684214971959591,0.9901960492134094,0
Satellite,ExtraTrees,4590,510,0.016623958945274353,0.028374360874295235,0.006942389532923698,0.008601246401667595,0.9901960492134094,0
Satellite,LightGBM,4590,510,0.017909005284309387,0.03308974951505661,0.008759649470448494,0.008990038186311722,0.9901960492134094,0
Satellite,LinearModel,4590,510,0.015055013820528984,0.026461374014616013,0.006205552723258734,0.007326444610953331,0.9921568632125854,0
Satellite,NeuralNetFastAI,4590,510,0.014132959768176079,0.027537455782294273,0.006774496287107468,0.008068088442087173,0.9921568632125854,0
Satellite,NeuralNetTorch,4590,510,0.020434828475117683,0.041108451783657074,0.010187381878495216,0.010167108848690987,0.9882352948188782,0
Satellite,RandomForest,4590,510,0.013735642656683922,0.024546025320887566,0.004941176623106003,0.008935011923313141,0.9882352948188782,0
Satellite,XGBoost,4590,510,0.01680908165872097,0.03177449852228165,0.008137131109833717,0.006458165589720011,0.9901960492134094,0
SpeedDating,CatBoost,7540,838,0.17523011565208435,0.28810206055641174,0.010693501681089401,0.025639623403549194,0.8818615674972534,0
SpeedDating,ExtraTrees,7540,838,0.1960814893245697,0.317330539226532,0.02930493652820587,0.04662898927927017,0.8651551604270935,0
SpeedDating,LightGBM,7540,838,0.17530684173107147,0.2889300286769867,0.01505233719944954,0.027199380099773407,0.8890214562416077,0
SpeedDating,LinearModel,7540,838,0.1887798011302948,0.31204062700271606,0.025329355150461197,0.039440080523490906,0.879474937915802,0
SpeedDating,NeuralNetFastAI,7540,838,0.187114417552948,0.30582669377326965,0.02142340876162052,0.033908411860466,0.8758949637413025,0
