dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
eeg-eye-state,LinearModel,13482,1498,0.4481496592210184,0.6380512128377571,0.02278231829404831,0.054199088364839554,0.6315087080001831,0.011293534189462662
eeg-eye-state,NeuralNetFastAI,13482,1498,0.2525736100947105,0.398830858286815,0.048225414007902145,0.08344580978155136,0.8217623233795166,0.007770955562591553
eeg-eye-state,NeuralNetTorch,13482,1498,0.02607913576677403,0.04716413944466563,0.003435628954321146,0.007245239336043596,0.9833110570907593,0.008985966444015503
eeg-eye-state,RandomForest,13482,1498,0.09457050838921906,0.15867034892394477,0.009645412676036358,0.01524999551475048,0.936582088470459,0.012115970253944397
eeg-eye-state,XGBoost,13482,1498,0.07061009241833506,0.11981059034666162,0.007904709316790104,0.011216741986572742,0.9532710313796997,0.009621504694223404
electricity,CatBoost,40780,4532,0.0810079528235359,0.1400930634542445,0.005026722326874733,0.011317173950374126,0.947925865650177,0.02427920699119568
electricity,ExtraTrees,40780,4532,0.13704037565203092,0.22670430695052074,0.006137893069535494,0.011299526318907738,0.906222403049469,0.027724336832761765
electricity,LightGBM,40780,4532,0.08161878596761712,0.14301273997566194,0.007849948480725288,0.014510850422084332,0.9485878348350525,0.023034527897834778
electricity,LinearModel,40780,4532,0.32871094563194225,0.4944731999553893,0.007413089275360107,0.012881796807050705,0.7568402290344238,0.027056299149990082
electricity,NeuralNetFastAI,40780,4532,0.21951178071745972,0.3453627889374927,0.009349863976240158,0.016118019819259644,0.8435569405555725,0.025946054607629776
electricity,NeuralNetTorch,40780,4532,0.18575798034892152,0.29895265519439335,0.0200559813529253,0.030654489994049072,0.8722418546676636,0.02812408283352852
electricity,RandomForest,40780,4532,0.10573263883538746,0.18413948864546612,0.006040691398084164,0.012060804292559624,0.9298322796821594,0.027908165007829666
electricity,XGBoost,40780,4532,0.07954355958136135,0.13965432255926238,0.005951326806098223,0.011062962003052235,0.948367178440094,0.02391214668750763
fri_c0_1000_5,CatBoost,900,100,0.12170660174476972,0.19014217306309533,0.056569479405879974,0.09632177650928497,0.9100000262260437,0.002546515315771103
fri_c0_1000_5,ExtraTrees,900,100,0.1447570869189779,0.22084830865071262,0.055245351046323776,0.08833428472280502,0.8799999952316284,0.003354642540216446
fri_c0_1000_5,LightGBM,900,100,0.11537565326402452,0.17874736647233477,0.036841556429862976,0.06737791001796722,0.8999999761581421,0.0029285624623298645
fri_c0_1000_5,LinearModel,900,100,0.21327953793927665,0.3531623127994177,0.07295441627502441,0.10831474512815475,0.8399999737739563,0.002965211868286133
fri_c0_1000_5,NeuralNetFastAI,900,100,0.09899974711564674,0.15666674725841198,0.04382559657096863,0.06832534074783325,0.9399999976158142,0.002945542335510254
fri_c0_1000_5,NeuralNetTorch,900,100,0.09942690727195841,0.15280332483487186,0.02910866215825081,0.0851874127984047,0.9100000262260437,0.0031253360211849213
fri_c0_1000_5,RandomForest,900,100,0.12839929438159972,0.2148354037712119,0.05264292657375336,0.06815086305141449,0.9300000071525574,0.0030987784266471863
