dataset,model,cal_size,test_size,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_kuiper,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
fri_c3_500_10,LightGBM,450,50,0.22783209876543212,2.029195384523481,0.048444442451000214,0.07288888841867447,0.8399999737739563,0.00036445073783397675
fri_c3_500_10,LinearModel,450,50,0.387279012345679,0.5683891704608967,0.06311112642288208,0.1697777807712555,0.6399999856948853,0.00037457793951034546
fri_c3_500_10,NeuralNetFastAI,450,50,0.20772345679012347,1.989817291153152,0.06800000369548798,0.06844442337751389,0.8399999737739563,0.0003626905381679535
fri_c3_500_10,NeuralNetTorch,450,50,0.1629432098765432,0.23502250170602035,0.03999999538064003,0.032444510608911514,0.8799999952316284,0.0003642626106739044
fri_c3_500_10,RandomForest,450,50,0.20068796004574202,1.9874938457537004,0.060038648545742035,0.07292753458023071,0.8399999737739563,0.0003978004679083824
fri_c3_500_10,XGBoost,450,50,0.2054716049382716,0.33508314642848047,0.06977776437997818,0.07999996095895767,0.8600000143051147,0.0003645448014140129
fri_c3_500_50,CatBoost,450,50,0.22087901234567903,2.0086702500791973,0.04800000041723251,0.07111109793186188,0.8399999737739563,0.0003607003018260002
fri_c3_500_50,ExtraTrees,450,50,0.2343355685613095,0.3717651589446945,0.07824642211198807,0.12921282649040222,0.8199999928474426,0.0003644665703177452
fri_c3_500_50,LightGBM,450,50,0.1875358024691358,0.3178230644688439,0.06488888710737228,0.05688890069723129,0.8799999952316284,0.00036397669464349747
fri_c3_500_50,LinearModel,450,50,0.4104296296296297,0.5932614985102317,0.13022221624851227,0.0568888895213604,0.6399999856948853,0.0003650914877653122
fri_c3_500_50,NeuralNetFastAI,450,50,0.4233679012345679,0.6074372739933722,0.09600003063678741,0.162222221493721,0.6600000262260437,0.0003731017932295799
fri_c3_500_50,NeuralNetTorch,450,50,0.399446913580247,0.5855412553285114,0.08844444155693054,0.12977777421474457,0.7200000286102295,0.00036585424095392227
fri_c3_500_50,RandomForest,450,50,0.1823802469135802,0.29123798832480946,0.03066667541861534,0.026222238317131996,0.8799999952316284,0.00036308635026216507
fri_c3_500_50,XGBoost,450,50,0.18409876543209877,0.31043725052926097,0.04800000414252281,0.07555554807186127,0.8799999952316284,0.000373312272131443
fri_c4_500_100,CatBoost,450,50,0.15273086419753085,0.22671674799832367,0.05022222176194191,0.0488889254629612,0.8799999952316284,0.00036775320768356323
fri_c4_500_100,ExtraTrees,450,50,0.1979851851851852,0.2847054985179414,0.06844443827867508,0.1088889092206955,0.8399999737739563,0.0003998633474111557
fri_c4_500_100,LightGBM,450,50,0.15089382716049385,0.24341574712933903,0.04044447839260101,0.03244445100426674,0.8999999761581421,0.000363348051905632
fri_c4_500_100,LinearModel,450,50,0.44464197530864197,0.6332131208450917,0.1159999817609787,0.08177778124809265,0.6000000238418579,0.000365682877600193
fri_c4_500_100,NeuralNetFastAI,450,50,0.4298271604938272,0.6192661982169059,0.08622222393751144,0.09600000083446503,0.6200000047683716,0.0003646994009613991
