dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
wilt,RandomForest,4355,484,0.033618936102215585,,0.007903048768639565,0.009196844883263111,0.9793388247489929,0.025301549583673477
wilt,XGBoost,4355,484,0.037413262376782636,,0.011764196678996086,0.01792377047240734,0.9793388247489929,0.026164154522120953
wind,CatBoost,5916,658,0.1803949477651525,,0.017221547663211823,0.02597799524664879,0.8617021441459656,0.03432778175920248
wind,ExtraTrees,5916,658,0.1867464770035558,,0.015143856406211853,0.04101864621043205,0.8708206415176392,0.03480427246540785
wind,LightGBM,5916,658,0.1779252391062845,,0.016902998089790344,0.036602433770895004,0.8723404407501221,0.034119630232453346
wind,LinearModel,5916,658,0.19802448574478573,,0.01789811998605728,0.03737672045826912,0.8617021441459656,0.03487182781100273
wind,NeuralNetFastAI,5916,658,0.17398003712895027,,0.016547352075576782,0.03215640038251877,0.8814589381217957,0.034527456387877464
wind,NeuralNetTorch,5916,658,0.17479955663551824,,0.015515543520450592,0.031880199909210205,0.8784194588661194,0.035096243023872375
wind,RandomForest,5916,658,0.1899380396426317,0.3099675395865741,0.011739231646060944,0.033767219632864,0.8723404407501221,0.035228380002081394
wind,XGBoost,5916,658,0.18140145804647878,,0.018999017775058746,0.03427038714289665,0.8708206415176392,0.03451423440128565
