dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
dresses-sales,NeuralNetTorch,450,50,0.47461496157052613,0.6688946227808407,0.0779467299580574,0.09866206347942352,0.6200000047683716,0.18257636297494173
dresses-sales,RandomForest,450,50,0.5018330959646178,0.6960251164848421,0.08564038574695587,0.14516130089759827,0.5799999833106995,0.07881230860948563
dresses-sales,XGBoost,450,50,0.49630342540993055,0.6924345256273716,0.06364364176988602,0.14129455387592316,0.6000000238418579,0.08211326599121094
eeg-eye-state,CatBoost,13482,1498,0.06064568479715466,0.10516689365936129,0.0070237573236227036,0.009993729181587696,0.9612817168235779,2.0577548779547215
eeg-eye-state,ExtraTrees,13482,1498,0.08074526005442476,0.13379845736081938,0.010237060487270355,0.014024181291460991,0.9405874609947205,1.7381784077733755
eeg-eye-state,LightGBM,13482,1498,0.06724190119809646,0.11328762208983842,0.008613991551101208,0.014046376571059227,0.9572763442993164,1.9052723161876202
eeg-eye-state,LinearModel,13482,1498,0.4460339558831191,0.6356315291018103,0.019598066806793213,0.03861163929104805,0.6315087080001831,1.7388293454423547
eeg-eye-state,NeuralNetFastAI,13482,1498,0.25287179366217727,0.399319046370946,0.04721788689494133,0.0837792456150055,0.822429895401001,1.4794339574873447
eeg-eye-state,NeuralNetTorch,13482,1498,0.02617681449211344,0.047274199979351034,0.003827239852398634,0.008451954461634159,0.9833110570907593,3.1207976825535297
eeg-eye-state,RandomForest,13482,1498,0.09455714583434673,0.15853785703527237,0.00969485193490982,0.015591958537697792,0.936582088470459,1.3986491868272424
eeg-eye-state,XGBoost,13482,1498,0.07062793822174829,0.11964355868259656,0.007536475080996752,0.013352625072002411,0.9532710313796997,2.3709401013329625
electricity,CatBoost,40780,4532,0.08111918727286406,0.14044625943512176,0.004905249923467636,0.011435984633862972,0.9472638964653015,7.150651813484728
electricity,ExtraTrees,40780,4532,0.1370915670578732,0.22643481601027188,0.005962335038930178,0.014019839465618134,0.9060017466545105,5.8722571255639195
electricity,LightGBM,40780,4532,0.08143444686815027,0.14301910504417084,0.007232575211673975,0.013567060232162476,0.9485878348350525,7.467185846529901
electricity,LinearModel,40780,4532,0.32860422708170856,0.49448128910451405,0.00502864271402359,0.010555056855082512,0.7557370066642761,4.7059180568903685
