dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
qsar-biodeg,XGBoost,949,106,0.172142893075943,0.2917000651359558,0.023590710014104843,0.06375148147344589,0.8867924809455872,0.004012070596218109
ringnorm,CatBoost,6660,740,0.030848663300275803,0.06453990191221237,0.0073930867947638035,0.018526839092373848,0.9824324250221252,0.33897056989371777
ringnorm,ExtraTrees,6660,740,0.033808767795562744,0.05899174511432648,0.005135103594511747,0.016601288691163063,0.9783783555030823,0.23034918867051601
ringnorm,LightGBM,6660,740,0.031185168772935867,0.06601215898990631,0.006829625926911831,0.014199191704392433,0.9824324250221252,0.33737865649163723
ringnorm,LinearModel,6660,740,0.30723661184310913,0.4617089033126831,0.01988658495247364,0.041454508900642395,0.7837837934494019,0.19511645752936602
ringnorm,NeuralNetFastAI,6660,740,0.035726264119148254,0.06900254637002945,0.006807025987654924,0.01604096032679081,0.9770269989967346,0.338006136007607
ringnorm,NeuralNetTorch,6660,740,0.030671697109937668,0.05550413951277733,0.005871851462870836,0.011483152396976948,0.9783783555030823,0.3411830961704254
ringnorm,RandomForest,6660,740,0.057358015328645706,0.10141869634389877,0.011943944729864597,0.018870966508984566,0.9635134935379028,0.29623689223080873
ringnorm,XGBoost,6660,740,0.03479968383908272,0.0731310322880745,0.00799621269106865,0.01923115737736225,0.9783783555030823,0.3354106079787016
rmftsa_ladata,CatBoost,457,51,0.1571231484413147,0.28132861852645874,0.048662640154361725,0.10873241722583771,0.9019607901573181,0.0017355475574731827
rmftsa_ladata,ExtraTrees,457,51,0.13450413942337036,0.22507457435131073,0.04044388234615326,0.1011718288064003,0.9215686321258545,0.001684362068772316
rmftsa_ladata,LightGBM,457,51,0.14930976927280426,0.25184211134910583,0.036334458738565445,0.11145959794521332,0.8823529481887817,0.0016131335869431496
rmftsa_ladata,LinearModel,457,51,0.0989777147769928,0.16921581327915192,0.021801218390464783,0.08622459322214127,0.9411764740943909,0.0016482993960380554
rmftsa_ladata,NeuralNetFastAI,457,51,0.09333019703626633,0.17775540053844452,0.03976045548915863,0.09572985768318176,0.9607843160629272,0.0015737852081656456
rmftsa_ladata,NeuralNetTorch,457,51,0.13595986366271973,0.2616477906703949,0.03677934408187866,0.10230108350515366,0.9019607901573181,0.001946968026459217
rmftsa_ladata,RandomForest,457,51,0.15504787862300873,0.2561827600002289,0.031815268099308014,0.0758831650018692,0.8823529481887817,0.0016650520265102386
rmftsa_ladata,XGBoost,457,51,0.1336325705051422,0.2519884407520294,0.03804633021354675,0.11692070960998535,0.9411764740943909,0.0015615765005350113
spambase,CatBoost,4140,461,0.08386421948671341,0.15665923058986664,0.028689533472061157,0.034566961228847504,0.9501084685325623,0.12554695270955563
spambase,ExtraTrees,4140,461,0.09029066562652588,0.16758354008197784,0.025627845898270607,0.03263549879193306,0.9479392766952515,0.1072940044105053
spambase,LightGBM,4140,461,0.08929368108510971,0.16769571602344513,0.029754243791103363,0.03981431946158409,0.9414316415786743,0.1308874860405922
spambase,LinearModel,4140,461,0.10594908893108368,0.18984463810920715,0.02865169569849968,0.03441648930311203,0.9284164905548096,0.12396037485450506
spambase,NeuralNetFastAI,4140,461,0.09313733875751495,0.17262697219848633,0.020350372418761253,0.032111942768096924,0.9392624497413635,0.12860580813139677
spambase,NeuralNetTorch,4140,461,0.09090972691774368,0.16971398890018463,0.028371207416057587,0.03226298466324806,0.9414316415786743,0.1274168761447072
spambase,RandomForest,4140,461,0.09251440316438675,0.170110821723938,0.030455179512500763,0.03770105540752411,0.9370932579040527,0.11863956321030855
spambase,XGBoost,4140,461,0.09472190588712692,0.16510489583015442,0.0330999456346035,0.043761540204286575,0.9327548742294312,0.13333559408783913
sylvine,CatBoost,4611,513,0.09041957557201385,0.16784945130348206,0.02851765602827072,0.028008081018924713,0.9415204524993896,0.1670857910066843
sylvine,ExtraTrees,4611,513,0.09059303998947144,0.1585770696401596,0.022429265081882477,0.03278660774230957,0.9376218318939209,0.14120010379701853
sylvine,LightGBM,4611,513,0.09066243469715118,0.16286611557006836,0.02515432983636856,0.0344819650053978,0.9376218318939209,0.169016239233315
sylvine,LinearModel,4611,513,0.15473949909210205,0.26632624864578247,0.023144472390413284,0.039554428309202194,0.8947368264198303,0.15066327899694443
sylvine,NeuralNetFastAI,4611,513,0.09973172098398209,0.1784963458776474,0.026990050449967384,0.0365024171769619,0.9376218318939209,0.16565312631428242
sylvine,NeuralNetTorch,4611,513,0.10092034935951233,0.18035577237606049,0.025995075702667236,0.035547129809856415,0.9337232112884521,0.16331706382334232
sylvine,RandomForest,4611,513,0.11230386793613434,0.19263501465320587,0.023893751204013824,0.032744817435741425,0.9259259104728699,0.13119759410619736
sylvine,XGBoost,4611,513,0.08958577364683151,0.16281066834926605,0.02516494318842888,0.031102877110242844,0.9395711421966553,0.16728605702519417
tokyo1,CatBoost,863,96,0.07928881794214249,0.13429255783557892,0.02643890678882599,0.048340294510126114,0.9166666865348816,0.004026358015835285
tokyo1,ExtraTrees,863,96,0.07853444665670395,0.1308581531047821,0.020605072379112244,0.06936298310756683,0.9375,0.005344563163816929
tokyo1,LightGBM,863,96,0.10860542207956314,0.1794341653585434,0.03249285742640495,0.041638072580099106,0.9166666865348816,0.003772241063416004
tokyo1,LinearModel,863,96,0.13560961186885834,0.2182544320821762,0.04102541506290436,0.07305579632520676,0.90625,0.0054437629878520966
