dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.42740174755212335,0.6138478304105905,0.047767408192157745,0.08136100322008133,0.637499988079071,0.1925834473222494
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.496711644805561,0.6896406346955509,0.05508902668952942,0.09472399204969406,0.518750011920929,0.1941343005746603
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.4964197493958598,0.6897060609636742,0.0581013560295105,0.0880555659532547,0.5375000238418579,0.19366509281098843
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,CatBoost,1440,160,0.41298090208202076,0.5796800288414073,0.07196125388145447,0.1013573408126831,0.6499999761581421,0.19516132213175297
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,ExtraTrees,1440,160,0.4944605635757712,0.6936661453421683,0.05974115431308746,0.11312069743871689,0.612500011920929,0.19479727745056152
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LightGBM,1440,160,0.4625811478038182,0.6534950215242736,0.07232242822647095,0.0896034836769104,0.6312500238418579,0.19212945736944675
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LinearModel,1440,160,0.5043997975223575,0.6976028234466792,0.1299300342798233,0.023978030309081078,0.44999998807907104,0.18556370958685875
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetFastAI,1440,160,0.44344237349093163,0.6218994563599269,0.07863231748342514,0.13641713559627533,0.625,0.18763487040996552
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetTorch,1440,160,0.44578883514513346,0.6271373385835013,0.06595706194639206,0.12717799842357635,0.6312500238418579,0.1898311749100685
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,RandomForest,1440,160,0.49145280900810784,0.6877845626951462,0.05795562267303467,0.12249166518449783,0.6000000238418579,0.19450844265520573
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,XGBoost,1440,160,0.4630353495977134,0.6593521859335798,0.06116851046681404,0.08777535706758499,0.625,0.1932466495782137
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,CatBoost,1440,160,0.37768948425123905,0.5523726145870294,0.04222525656223297,0.08844360709190369,0.6937500238418579,0.1940257716923952
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,ExtraTrees,1440,160,0.4114473520230761,0.6000311014225502,0.03372858464717865,0.05444156378507614,0.6812499761581421,0.19369950890541077
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LightGBM,1440,160,0.3864190562652549,0.571669681985601,0.0453636571764946,0.05286983400583267,0.699999988079071,0.19431344978511333
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LinearModel,1440,160,0.49971769271702166,0.6928646780360472,0.2499290406703949,2.559132326496183e-06,0.5062500238418579,0.18451793864369392
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetFastAI,1440,160,0.3779331542115025,0.5580886192275941,0.050812654197216034,0.08289595693349838,0.7124999761581421,0.19314776733517647
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetTorch,1440,160,0.35564975689623973,0.534873110999318,0.07187502086162567,0.12215172499418259,0.731249988079071,0.19228248111903667
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,RandomForest,1440,160,0.40210522459362535,0.5886606494859115,0.045310474932193756,0.0534108504652977,0.699999988079071,0.19524703919887543
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,XGBoost,1440,160,0.3875413761185399,0.569199542211166,0.04025595635175705,0.07633770257234573,0.699999988079071,0.1910071223974228
Internet-Advertisements,CatBoost,2951,328,0.044422417957198236,0.09000559530886755,0.014210045337677002,0.01967025361955166,0.9756097793579102,0.2102900668978691
Internet-Advertisements,ExtraTrees,2951,328,0.028593486612720265,0.06753722786834634,0.008110769093036652,0.015290211886167526,0.9817073345184326,0.2126888930797577
Internet-Advertisements,LightGBM,2951,328,0.04566850253890401,0.09000025375857897,0.011599898338317871,0.023069018498063087,0.9725610017776489,0.21260743029415607
Internet-Advertisements,LinearModel,2951,328,0.062351376596701695,0.13172500808478166,0.011172428727149963,0.03034207597374916,0.9603658318519592,0.21287999488413334
Internet-Advertisements,NeuralNetFastAI,2951,328,0.05334992572290385,0.11447078046598841,0.011088117957115173,0.020581381395459175,0.9664633870124817,0.21372924745082855
Internet-Advertisements,NeuralNetTorch,2951,328,0.053100833409383895,0.11591381441643737,0.010220468044281006,0.026930121704936028,0.9634146094322205,0.211746608838439
Internet-Advertisements,RandomForest,2951,328,0.03664267147219559,0.07631535743664679,0.009678064845502377,0.01370225939899683,0.9817073345184326,0.2109189871698618
Internet-Advertisements,XGBoost,2951,328,0.05007861552760812,0.09833369197066782,0.011059469543397427,0.018132712692022324,0.9695122241973877,0.206504724919796
OVA_Colon,CatBoost,1390,155,0.0729018950905115,0.16434692631576966,0.014996198005974293,0.027213210240006447,0.9612902998924255,0.17673087306320667
OVA_Colon,ExtraTrees,1390,155,0.067199507635112,0.1462993032204565,0.015732357278466225,0.021985886618494987,0.9612902998924255,0.18795485608279705
OVA_Colon,LightGBM,1390,155,0.06475553839292551,0.15184057760832145,0.015784503892064095,0.024594882503151894,0.9677419066429138,0.1902432944625616
