dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
jasmine,NeuralNetTorch,2685,299,0.2842421974833414,0.4363188060546685,0.03592003881931305,0.06286714971065521,0.7993311285972595,0.00036326050758361816
jasmine,RandomForest,2685,299,0.26516269842268836,0.9641521198853467,0.0478946827352047,0.07519175112247467,0.8260869383811951,0.00035545602440834045
jasmine,XGBoost,2685,299,0.2598619478589263,0.40184803041103623,0.0322004109621048,0.027307813987135887,0.8260869383811951,0.00033458322286605835
jm1,CatBoost,9796,1089,0.2657603481960221,0.4210742529424461,0.039368726313114166,0.02202635630965233,0.8163452744483948,0.0006756596267223358
jm1,ExtraTrees,9796,1089,0.26678272035570294,0.4214530609232352,0.03312099725008011,0.021183747798204422,0.8172635436058044,0.0006681010127067566
jm1,LightGBM,9796,1089,0.26795829008405403,0.4254795126428453,0.04350045695900917,0.016421213746070862,0.8200183510780334,0.0006071906536817551
jm1,LinearModel,9796,1089,0.28219772929448605,0.44703545757950286,0.04405384510755539,0.019895534962415695,0.8163452744483948,0.0006483830511569977
jm1,NeuralNetFastAI,9796,1089,0.2711919240795953,0.43306403628531354,0.04714401066303253,0.02850152924656868,0.8236914873123169,0.0006542950868606567
jm1,NeuralNetTorch,9796,1089,0.276552412733826,0.438463567230287,0.050300221890211105,0.034916795790195465,0.8154270052909851,0.0005996320396661758
jm1,RandomForest,9796,1089,0.26349668419251165,0.41849770592353286,0.03041231259703636,0.018660711124539375,0.8227731585502625,0.0006135106086730957
jm1,XGBoost,9796,1089,0.26780777810373807,0.42559854363441396,0.040906261652708054,0.01660526543855667,0.8200183510780334,0.0006703156977891922
kc1,CatBoost,1898,211,0.19601737953865048,0.32567343566290813,0.03384845331311226,0.05146371200680733,0.8720378875732422,0.0003043524920940399
kc1,ExtraTrees,1898,211,0.19007506964517584,0.32355335525386114,0.044206876307725906,0.04923511669039726,0.8720378875732422,0.00030674971640110016
kc1,LightGBM,1898,211,0.1944531012399424,0.3265610357235963,0.03248530626296997,0.02363501489162445,0.8767772316932678,0.00030265189707279205
kc1,LinearModel,1898,211,0.21059557984313787,0.3510659334959396,0.03658672422170639,0.05132387951016426,0.8625592589378357,0.0003034006804227829
kc1,NeuralNetFastAI,1898,211,0.20216193073336475,0.3356767341143501,0.03576647490262985,0.0436328686773777,0.8578199148178101,0.00031189993023872375
kc1,NeuralNetTorch,1898,211,0.2161558278416987,0.35127040192841963,0.02478308230638504,0.02381754480302334,0.8483412265777588,0.00031866319477558136
kc1,RandomForest,1898,211,0.18955518016006603,0.3165650953916943,0.02967384271323681,0.030744394287467003,0.8862559199333191,0.0003204476088285446
kc1,XGBoost,1898,211,0.19989445408247283,0.3318688679276381,0.028069976717233658,0.03628649190068245,0.8767772316932678,0.0003135167062282562
kc2,CatBoost,469,53,0.2708284449240906,0.3959953183683234,0.08117933571338654,0.12937338650226593,0.7924528121948242,0.00023581460118293762
kc2,ExtraTrees,469,53,0.2743793029507466,0.4095428449641654,0.09022034704685211,0.09942814707756042,0.7735849022865295,0.00024237483739852905
kc2,LightGBM,469,53,0.19877666674260075,0.30497021071651487,0.06674489378929138,0.12374143302440643,0.8301886916160583,0.000237293541431427
kc2,LinearModel,469,53,0.27413956311529897,0.40661676701011373,0.051114920526742935,0.09251730889081955,0.7735849022865295,0.00023745186626911163
kc2,NeuralNetFastAI,469,53,0.2575415712454132,0.3818196940860564,0.058946847915649414,0.0870068222284317,0.7735849022865295,0.00024182163178920746
kc2,NeuralNetTorch,469,53,0.26744280316526725,0.41652005668380043,0.07007167488336563,0.11735774576663971,0.7735849022865295,0.00023227930068969727
kc2,RandomForest,469,53,0.25568051259878144,0.37856164651990326,0.07463715225458145,0.10826843231916428,0.8113207817077637,0.0002361629158258438
kc2,XGBoost,469,53,0.23808131145980677,0.35067671819548935,0.0791521668434143,0.09775672852993011,0.7924528121948242,0.00022527948021888733
kdd_el_nino-small,CatBoost,703,79,0.09098444501914267,0.1311726525080879,0.03805582597851753,0.047811608761548996,0.9240506291389465,0.000247415155172348
kdd_el_nino-small,ExtraTrees,703,79,0.11829769905529793,0.18370673181049252,0.03490933030843735,0.06370468437671661,0.9240506291389465,0.0002489425241947174
kdd_el_nino-small,LightGBM,703,79,0.13349496596458568,1.2597273231670838,0.05195126682519913,0.09336619079113007,0.8987341523170471,0.00025668367743492126
kdd_el_nino-small,LinearModel,703,79,0.11725385065445917,0.19059401641736737,0.03880961611866951,0.040472887456417084,0.9240506291389465,0.00022963248193264008
kdd_el_nino-small,NeuralNetFastAI,703,79,0.10933226425962743,0.21931513548182138,0.025107668712735176,0.04932928457856178,0.949367105960846,0.00022514723241329193
kdd_el_nino-small,NeuralNetTorch,703,79,0.14094357753912004,0.26303715298230973,0.045042186975479126,0.0899302288889885,0.9113923907279968,0.00022744014859199524
kdd_el_nino-small,RandomForest,703,79,0.10589474252734644,0.16361112710599426,0.02724555879831314,0.05222390219569206,0.9240506291389465,0.00024646148085594177
kdd_el_nino-small,XGBoost,703,79,0.10244655763620504,0.1686847010586216,0.03343803808093071,0.05857250094413757,0.9367088675498962,0.00023543275892734528
kdd_internet_usage,CatBoost,9097,1011,0.15149038635531026,0.2542588215737825,0.01318814791738987,0.026533503085374832,0.9010880589485168,0.0006624441593885422
kdd_internet_usage,ExtraTrees,9097,1011,0.1636427854909642,0.2613522282043914,0.01867736130952835,0.019237633794546127,0.8832838535308838,0.0006559118628501892
kdd_internet_usage,LightGBM,9097,1011,0.152413984467468,0.24769021131420085,0.014646552503108978,0.01443423517048359,0.8941642045974731,0.0005990359932184219
kdd_internet_usage,LinearModel,9097,1011,0.1710446959988166,0.2858996815404513,0.014282941818237305,0.016423936933279037,0.8773491382598877,0.0005853045731782913
kdd_internet_usage,NeuralNetFastAI,9097,1011,0.15260850218074526,0.2434922073720463,0.019540607929229736,0.009232785552740097,0.8911968469619751,0.0005853883922100067
kdd_internet_usage,NeuralNetTorch,9097,1011,0.1536645404859626,0.2443952647266924,0.018047258257865906,0.023820267990231514,0.8902077078819275,0.0005855318158864975
kdd_internet_usage,RandomForest,9097,1011,0.1609785405796736,0.25658449804283195,0.01718077063560486,0.023502133786678314,0.888229489326477,0.0005932915955781937
kdd_internet_usage,XGBoost,9097,1011,0.15004074633033926,0.24191623541986612,0.013861372135579586,0.013964815065264702,0.8981207013130188,0.0005940645933151245
kick,CatBoost,65684,7299,0.1624459821103133,0.289245613080382,0.0419943630695343,0.005883215460926294,0.903274416923523,0.0030432064086198807
kick,ExtraTrees,65684,7299,0.17066164626248392,0.30306032465179644,0.045210570096969604,0.004724603146314621,0.899301290512085,0.002405751496553421
kick,LightGBM,65684,7299,0.16499027291542195,0.29344727370015694,0.04067531228065491,0.007660882547497749,0.901767373085022,0.002516483888030052
kick,LinearModel,65684,7299,0.17203939893490422,0.30533028897522496,0.03341895341873169,0.003646156517788768,0.8973832130432129,0.002510642632842064
kick,NeuralNetFastAI,65684,7299,0.165352292559705,0.293691070258648,0.04153445363044739,0.008451899513602257,0.9013563394546509,0.0027801096439361572
kick,NeuralNetTorch,65684,7299,0.16418071069735352,0.29299225822862457,0.04297644644975662,0.004260737914592028,0.9028633832931519,0.002621166408061981
kick,RandomForest,65684,7299,0.16872536577292516,0.29908750804797946,0.04268514737486839,0.0034707554150372744,0.9003973007202148,0.002452470362186432
kick,XGBoost,65684,7299,0.16284705963657303,0.29006306371498863,0.04157266765832901,0.005137837957590818,0.9034114480018616,0.0026276390999555588
kin8nm,CatBoost,7372,820,0.1491927819663242,0.2476956323455306,0.020736820995807648,0.02727140299975872,0.8939024209976196,0.0005346070975065231
kin8nm,ExtraTrees,7372,820,0.2136658461168395,0.33784089372456977,0.02840583398938179,0.03156048804521561,0.8500000238418579,0.0005749091506004333
kin8nm,LightGBM,7372,820,0.15370615439380939,0.2563427746338313,0.02272161841392517,0.02727416157722473,0.8902438879013062,0.0005302485078573227
kin8nm,LinearModel,7372,820,0.3545928786271286,0.5316228276058844,0.0264318585395813,0.02478701062500477,0.7390244007110596,0.0005942266434431076
kin8nm,NeuralNetFastAI,7372,820,0.1288689625727911,0.21888311735324711,0.017938867211341858,0.023785145953297615,0.9036585092544556,0.0005038157105445862
kin8nm,NeuralNetTorch,7372,820,0.12588029699529119,0.2058085842428145,0.014475993812084198,0.029269015416502953,0.9134146571159363,0.0005194190889596939
kin8nm,RandomForest,7372,820,0.21272728177158803,0.33537944466902325,0.028948280960321426,0.020201414823532104,0.8487805128097534,0.0005390886217355728
kin8nm,XGBoost,7372,820,0.18257892443108262,0.3042850903134866,0.0290367528796196,0.03285808116197586,0.8817073106765747,0.0005415324121713638
madeline,CatBoost,2826,314,0.19270090974858453,0.32338414107088925,0.02938246913254261,0.037010371685028076,0.8694267272949219,0.00034225545823574066
madeline,ExtraTrees,2826,314,0.22523247840331156,0.6328797680499225,0.02464480511844158,0.027699168771505356,0.8471337556838989,0.00034351274371147156
madeline,LightGBM,2826,314,0.21621643282230535,0.36018268188987296,0.025086240842938423,0.06119208782911301,0.8598726391792297,0.00034847483038902283
madeline,LinearModel,2826,314,0.4814732370698306,0.6742792368796875,0.05318894237279892,0.046699702739715576,0.5891719460487366,0.0003408733755350113
madeline,NeuralNetFastAI,2826,314,0.39237000064448097,0.5778748996500241,0.05733996257185936,0.059967730194330215,0.6719745397567749,0.00035910308361053467
madeline,NeuralNetTorch,2826,314,0.3526374263136314,0.5311704706939482,0.05197198688983917,0.07049665600061417,0.7484076619148254,0.00034375302493572235
madeline,RandomForest,2826,314,0.23167502745338747,0.6496653000781771,0.02638225071132183,0.04638919606804848,0.8535031676292419,0.00034481100738048553
madeline,XGBoost,2826,314,0.21877799630007808,0.3655488117641371,0.02907586842775345,0.04824177920818329,0.8662420511245728,0.0003347080200910568
madelon,CatBoost,2340,260,0.18826362202057675,0.31608724688397744,0.02146938443183899,0.052255358546972275,0.8653846383094788,0.0003060903400182724
madelon,ExtraTrees,2340,260,0.22262269593599265,0.36296914493805943,0.04516468942165375,0.045820202678442,0.857692301273346,0.00032557733356952667
