dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
OVA_Kidney,LightGBM,1390,155,0.013617391506105768,0.04055825994097583,0.009819833561778069,0.01322285644710064,0.9935483932495117,0.006850176956504583
OVA_Kidney,LinearModel,1390,155,0.014052305399278762,0.04699090457605691,0.014412176795303822,0.014265580102801323,0.9935483932495117,0.008749690954573452
OVA_Kidney,NeuralNetFastAI,1390,155,0.017783566398408873,0.04702616382833345,0.017924431711435318,0.02536948397755623,0.9935483932495117,0.006534846965223551
OVA_Kidney,NeuralNetTorch,1390,155,0.015001995628669397,0.04422278893161164,0.012284818105399609,0.01649213209748268,0.9935483932495117,0.005605554091744125
OVA_Kidney,RandomForest,1390,155,0.016490156198645942,0.05126241409739665,0.00886516273021698,0.020159995183348656,0.9935483932495117,0.015872503048740327
OVA_Kidney,XGBoost,1390,155,0.01407577582921176,0.0473733972824309,0.01525173056870699,0.018880080431699753,0.9935483932495117,0.008572322083637118
OVA_Lung,CatBoost,1390,155,0.016913004428597812,0.049589983982332275,0.008640576153993607,0.010068375617265701,0.9870967864990234,0.017008709022775292
OVA_Lung,ExtraTrees,1390,155,0.04079498584287616,0.10378025652207216,0.02821098454296589,0.03518914431333542,0.9870967864990234,0.007190975011326373
OVA_Lung,LightGBM,1390,155,0.02083686326745202,0.05897882869179164,0.013368286192417145,0.016913773491978645,0.9870967864990234,0.007067429949529469
OVA_Lung,LinearModel,1390,155,0.025826580168198613,0.06872902883188711,0.01173737458884716,0.015554223209619522,0.9870967864990234,0.012929289950989187
OVA_Lung,NeuralNetFastAI,1390,155,0.03980538002208346,0.07542973711991328,0.01055289525538683,0.019250137731432915,0.9741935729980469,0.00811331591103226
OVA_Lung,NeuralNetTorch,1390,155,0.024086367778203343,0.06915526464209235,0.02076314389705658,0.024962667375802994,0.9870967864990234,0.0063570080092176795
OVA_Lung,RandomForest,1390,155,0.07183712757806338,0.14276924637640526,0.0408756323158741,0.06510060280561447,0.9354838728904724,0.00639759108889848
OVA_Lung,XGBoost,1390,155,0.016251937895126342,0.048825767038189256,0.009738984517753124,0.010351737029850483,0.9935483932495117,0.005622121971100569
OVA_Ovary,CatBoost,1390,155,0.11578556182616263,0.19194996211960147,0.0390644446015358,0.06433199346065521,0.9225806593894958,0.005595493013970554
OVA_Ovary,ExtraTrees,1390,155,0.1298657704574184,0.19261613842618064,0.051167599856853485,0.06739946454763412,0.896774172782898,0.009017874952405691
OVA_Ovary,LightGBM,1390,155,0.10710365434982562,0.17543153661227598,0.04008474573493004,0.06416832655668259,0.9225806593894958,0.005440020002424717
OVA_Ovary,LinearModel,1390,155,0.11157746608030142,0.1946737800519603,0.026351245120167732,0.06508070975542068,0.9290322661399841,0.006508423946797848
OVA_Ovary,NeuralNetFastAI,1390,155,0.11843270732099892,0.18665622706089507,0.03665235638618469,0.0694042518734932,0.9161290526390076,0.0059490150306373835
OVA_Ovary,NeuralNetTorch,1390,155,0.09717772581914406,0.15917056320188175,0.026784732937812805,0.06805149465799332,0.9290322661399841,0.008478763047605753
OVA_Ovary,RandomForest,1390,155,0.13239380790251495,0.1918122751284995,0.05702821910381317,0.08495347201824188,0.8838709592819214,0.006721521960571408
OVA_Ovary,XGBoost,1390,155,0.10775821336842216,0.19151519912457424,0.03382451459765434,0.06889139115810394,0.9290322661399841,0.0060436229687184095
OVA_Prostate,CatBoost,1390,155,0.02285038368295454,0.04228806427661989,0.006296449340879917,0.013937867246568203,0.9870967864990234,0.006468835053965449
OVA_Prostate,ExtraTrees,1390,155,0.020845690512700348,0.0463551602062117,0.0064217709004879,0.012039843015372753,0.9870967864990234,0.008389040012843907
OVA_Prostate,LightGBM,1390,155,0.01341330147997388,0.035143964663034835,0.006406236439943314,0.00855343509465456,0.9935483932495117,0.007654263987205923
OVA_Prostate,LinearModel,1390,155,0.01730084484117996,0.18414591265458666,0.012344982475042343,0.016221243888139725,0.9935483932495117,0.011499744025059044
OVA_Prostate,NeuralNetFastAI,1390,155,0.017159425004614818,0.06461788857720398,0.008842602372169495,0.01431371085345745,0.9935483932495117,0.010818840004503727
OVA_Prostate,NeuralNetTorch,1390,155,0.012540126580775291,0.029154245627579848,0.00786612555384636,0.009107271209359169,0.9935483932495117,0.006045359070412815
OVA_Prostate,RandomForest,1390,155,0.023229771635461513,0.05013129406426614,0.006414366886019707,0.013204194605350494,0.9870967864990234,0.013854683027602732
OVA_Prostate,XGBoost,1390,155,0.025617572133698165,0.07593447316436679,0.006446404382586479,0.011448011733591557,0.9870967864990234,0.012097397935576737
PhishingWebsites,CatBoost,9949,1106,0.04903792456447653,0.08637769188949784,0.010049127042293549,0.019495336338877678,0.9629294872283936,0.018985052010975778
PhishingWebsites,ExtraTrees,9949,1106,0.05881111482455626,0.10179401373817719,0.017081722617149353,0.019837448373436928,0.9647377729415894,0.03145328594837338
PhishingWebsites,LightGBM,9949,1106,0.04730739528901382,0.07998833417816587,0.010026685893535614,0.017155762761831284,0.9683544039726257,0.02104287699330598
PhishingWebsites,LinearModel,9949,1106,0.09407111622107824,0.15286130166889603,0.007538294419646263,0.018922530114650726,0.9358047246932983,0.020981364999897778
PhishingWebsites,NeuralNetFastAI,9949,1106,0.04945905537948253,0.08315275588676695,0.008836235851049423,0.01692226156592369,0.965641975402832,0.030410710955038667
PhishingWebsites,NeuralNetTorch,9949,1106,0.04929873197906585,0.08281177747763546,0.011332848109304905,0.018398495391011238,0.9647377729415894,0.027660203049890697
PhishingWebsites,RandomForest,9949,1106,0.05817728272476965,0.10145188568213355,0.01666438579559326,0.017013661563396454,0.9638336300849915,0.026890050969086587
PhishingWebsites,XGBoost,9949,1106,0.04837662114522176,0.08560759087640295,0.010257542133331299,0.01671491377055645,0.965641975402832,0.021278171916492283
Run_or_walk_information,CatBoost,79729,8859,0.009194544142754885,0.017901036655006468,0.0026528281159698963,0.004593148827552795,0.9942431449890137,0.17853350704535842
Run_or_walk_information,ExtraTrees,79729,8859,0.011570668721154448,0.021704680310040428,0.001422941335476935,0.002806600648909807,0.9928885698318481,0.20878444495610893
Run_or_walk_information,LightGBM,79729,8859,0.008443337897012768,0.016259253852685004,0.0020141485147178173,0.002170515712350607,0.9943560361862183,0.1378300730139017
Run_or_walk_information,LinearModel,79729,8859,0.2802501184042776,0.42242611575305833,0.06917676329612732,0.12521937489509583,0.7234450578689575,0.2862918550381437
Run_or_walk_information,NeuralNetFastAI,79729,8859,0.013158743659283679,0.025508322395322778,0.0018152028787881136,0.0028489213436841965,0.9916468858718872,0.11786892800591886
Run_or_walk_information,NeuralNetTorch,79729,8859,0.010688225801786595,0.020860858193316238,0.003194911405444145,0.004643597174435854,0.9936787486076355,0.1625694939866662
