dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
ailerons,NeuralNetFastAI,12375,1375,0.16647747334970162,0.2731380362862834,0.010955189354717731,0.019174741581082344,0.8829091191291809,0.013849727809429169
ailerons,NeuralNetTorch,12375,1375,0.16479521209640907,0.2692755016774629,0.012929491698741913,0.02341250516474247,0.8829091191291809,0.014475524425506592
ailerons,RandomForest,12375,1375,0.16400168734893533,0.32879760040003086,0.009322497993707657,0.027853580191731453,0.8850908875465393,0.01396341621875763
ailerons,XGBoost,12375,1375,0.15930028726760598,0.2610107231134101,0.00810224935412407,0.017076335847377777,0.8887272477149963,0.01448853313922882
arcene,CatBoost,90,10,0.4889347875523285,9.135987693653064,0.1666666567325592,0.22575752437114716,0.699999988079071,0.005291711539030075
arcene,ExtraTrees,90,10,0.3493223113324032,8.955212154148988,0.12000000476837158,0.2654545307159424,0.8999999761581421,0.005261734127998352
arcene,LightGBM,90,10,0.4678518570087576,9.104230424840145,0.15555556118488312,0.27333328127861023,0.699999988079071,0.005274511873722076
arcene,LinearModel,90,10,0.3991847520024273,0.6084478636972832,0.13307693600654602,0.14102566242218018,0.699999988079071,0.005424320697784424
arcene,NeuralNetFastAI,90,10,0.3316896740658201,8.946241543864016,0.10000000149011612,0.2641025185585022,0.8999999761581421,0.005397278815507889
arcene,NeuralNetTorch,90,10,0.3928641168257457,8.970980580626115,0.1388167440891266,0.23881672322750092,0.699999988079071,0.005320988595485687
arcene,RandomForest,90,10,0.38995062311784745,8.988306735266153,0.1066666692495346,0.17888885736465454,0.699999988079071,0.005340296775102615
arcene,XGBoost,90,10,0.4428185995442801,9.085542632478473,0.11095236986875534,0.20095236599445343,0.699999988079071,0.0053803399205207825
arsenic-female-bladder,CatBoost,503,56,0.21187487882660186,0.3340597725923156,0.03543141484260559,0.037367019802331924,0.8571428656578064,0.00603862851858139
arsenic-female-bladder,ExtraTrees,503,56,0.22784902627564638,0.37095806928306424,0.07538996636867523,0.0639665350317955,0.8571428656578064,0.005803503096103668
arsenic-female-bladder,LightGBM,503,56,0.22096905062277974,0.37603213397155605,0.05571065843105316,0.07914800941944122,0.8571428656578064,0.005790527909994125
arsenic-female-bladder,LinearModel,503,56,0.23408202991009755,0.3647158923001701,0.06008581817150116,0.07447922974824905,0.8571428656578064,0.0056365542113780975
arsenic-female-bladder,NeuralNetFastAI,503,56,0.21446044120626007,0.3198315640704447,0.07044214755296707,0.06563549488782883,0.8214285969734192,0.0057897381484508514
arsenic-female-bladder,NeuralNetTorch,503,56,0.1885358181711147,0.31297185959136126,0.04877598583698273,0.026696957647800446,0.875,0.005758073180913925
arsenic-female-bladder,RandomForest,503,56,0.21646755513554705,0.35396635942667226,0.05395609140396118,0.10099509358406067,0.8571428656578064,0.005769796669483185
arsenic-female-bladder,XGBoost,503,56,0.211340083222422,0.3350704113999815,0.03720924258232117,0.04322698339819908,0.8571428656578064,0.0057386234402656555
autoUniv-au1-1000,CatBoost,900,100,0.38350054312726756,0.5729927869318481,0.06589597463607788,0.09586476534605026,0.7300000190734863,0.006063729524612427
autoUniv-au1-1000,ExtraTrees,900,100,0.36578350698011236,0.5588258218107953,0.040348753333091736,0.07128167897462845,0.7599999904632568,0.0062566474080085754
autoUniv-au1-1000,LightGBM,900,100,0.36374237529749837,0.5567525595242203,0.06904715299606323,0.08813000470399857,0.7799999713897705,0.0061374567449092865
autoUniv-au1-1000,LinearModel,900,100,0.38534649008526656,0.5796728176671734,0.0826609656214714,0.09370149672031403,0.7400000095367432,0.0059182532131671906
autoUniv-au1-1000,NeuralNetFastAI,900,100,0.352691774684244,0.5454899271113092,0.04193544387817383,0.08480935543775558,0.7699999809265137,0.0060762763023376465
autoUniv-au1-1000,NeuralNetTorch,900,100,0.3523000634546257,0.5333519080413598,0.028399042785167694,0.028270337730646133,0.7400000095367432,0.006081536412239075
autoUniv-au1-1000,RandomForest,900,100,0.3855583508227262,0.573318276936289,0.06569399684667587,0.06816849112510681,0.7300000190734863,0.006001397967338562
autoUniv-au1-1000,XGBoost,900,100,0.3758639812171564,0.5611927337303939,0.08769214898347855,0.09581343829631805,0.699999988079071,0.0060144998133182526
bank-marketing,CatBoost,40689,4522,0.1172591684898294,0.18660778423136706,0.004945669323205948,0.006749313324689865,0.9155241250991821,0.03726110979914665
bank-marketing,ExtraTrees,40689,4522,0.12566874358557295,0.20017645837002132,0.006747349165380001,0.013530910946428776,0.9064573049545288,0.036207154393196106
bank-marketing,LightGBM,40689,4522,0.11963120665011548,0.18968005797943163,0.007332366891205311,0.00973844900727272,0.9113224148750305,0.03772246837615967
bank-marketing,LinearModel,40689,4522,0.14151201823079726,0.22812008529423175,0.007445903494954109,0.00948805920779705,0.8998230695724487,0.03703455999493599
bank-marketing,NeuralNetFastAI,40689,4522,0.12068774927093615,0.19144197200707128,0.00702858529984951,0.00981044303625822,0.9106590151786804,0.03672369197010994
bank-marketing,NeuralNetTorch,40689,4522,0.12011955280180203,0.19060697786638664,0.008161600679159164,0.011864690110087395,0.9091110229492188,0.03683346137404442
bank-marketing,RandomForest,40689,4522,0.12555501352790843,0.23668011103846545,0.006139073520898819,0.0091130081564188,0.9080052971839905,0.037366319447755814
bank-marketing,XGBoost,40689,4522,0.11935355763371762,0.19031458843445476,0.005405352916568518,0.008297749795019627,0.9130915403366089,0.03758525848388672
bank32nh,CatBoost,7372,820,0.2694024775631551,0.416128209720026,0.022248322144150734,0.04855906963348389,0.795121967792511,0.010736562311649323
bank32nh,ExtraTrees,7372,820,0.27014607025508225,0.41352946313394245,0.02136480063199997,0.04096826910972595,0.7987805008888245,0.010642442852258682
bank32nh,LightGBM,7372,820,0.26964927059538774,0.519314720931086,0.02159213088452816,0.053567785769701004,0.7939024567604065,0.010796114802360535
bank32nh,LinearModel,7372,820,0.2687828605533256,0.4096763312329704,0.022672757506370544,0.042551830410957336,0.7939024567604065,0.010808270424604416
bank32nh,NeuralNetFastAI,7372,820,0.25717680314554875,0.40084313846771014,0.021980371326208115,0.046869922429323196,0.8085365891456604,0.012542810291051865
bank32nh,NeuralNetTorch,7372,820,0.2620410642188471,0.4081538817591551,0.018076077103614807,0.024982668459415436,0.8012195229530334,0.010848239064216614
bank32nh,RandomForest,7372,820,0.28692492879243553,0.43978475730507915,0.025679107755422592,0.04052424430847168,0.790243923664093,0.010706163942813873
bank32nh,XGBoost,7372,820,0.27335503998134897,0.6228413657635997,0.02231241762638092,0.037758368998765945,0.795121967792511,0.010397765785455704
bank8FM,CatBoost,7372,820,0.07361090579753744,0.11734591560751206,0.008875860832631588,0.013511991128325462,0.9451219439506531,0.010796289891004562
bank8FM,ExtraTrees,7372,820,0.07824091493146174,0.12319910782680744,0.011400635354220867,0.01827533356845379,0.9487804770469666,0.010769043117761612
bank8FM,LightGBM,7372,820,0.07480197296667195,0.11818717818191118,0.010642990469932556,0.0200753603130579,0.9487804770469666,0.01060013473033905
bank8FM,LinearModel,7372,820,0.08240885891698811,0.1345907724380659,0.008561037480831146,0.01759626343846321,0.9463414549827576,0.010573431849479675
bank8FM,NeuralNetFastAI,7372,820,0.07655842941726333,0.11559805361808446,0.00963001511991024,0.01843830570578575,0.9475609660148621,0.01084011048078537
bank8FM,NeuralNetTorch,7372,820,0.08134877012286733,0.1242340783601402,0.01311409380286932,0.01151883602142334,0.9439024329185486,0.01058444008231163
bank8FM,RandomForest,7372,820,0.07962387646353941,0.1338122998378963,0.00932670570909977,0.01900063082575798,0.9463414549827576,0.010599758476018906
bank8FM,XGBoost,7372,820,0.07591671102308041,0.22509513996381314,0.009265405125916004,0.019730355590581894,0.9439024329185486,0.010654840618371964
blood-transfusion-service-center,CatBoost,673,75,0.3380891558552827,0.5114452494377253,0.07024680078029633,0.06738825887441635,0.7599999904632568,0.00594194233417511
blood-transfusion-service-center,ExtraTrees,673,75,0.32923486373421396,0.49369024317752147,0.0679733008146286,0.09172661602497101,0.7599999904632568,0.005927272140979767
blood-transfusion-service-center,LightGBM,673,75,0.3373384148701116,0.5036149167587763,0.07888312637805939,0.11181489378213882,0.7333333492279053,0.005874667316675186
blood-transfusion-service-center,LinearModel,673,75,0.3277565265088323,0.4837521899845104,0.07824268937110901,0.10788321495056152,0.7333333492279053,0.005773473531007767
blood-transfusion-service-center,NeuralNetFastAI,673,75,0.3335000368391393,0.495572107720141,0.08634146302938461,0.13092021644115448,0.746666669845581,0.005808483809232712
blood-transfusion-service-center,NeuralNetTorch,673,75,0.31041976435670154,0.46278302467942617,0.045762158930301666,0.0877634659409523,0.7599999904632568,0.00614745169878006
blood-transfusion-service-center,RandomForest,673,75,0.3213020456843793,0.4910440149515919,0.08814539760351181,0.10334476828575134,0.7733333110809326,0.005969300866127014
blood-transfusion-service-center,XGBoost,673,75,0.34591833066769745,0.5235854672516659,0.04896664246916771,0.08858497440814972,0.746666669845581,0.005974482744932175
boston_corrected,CatBoost,455,51,0.163739674510198,0.26348709557820155,0.06796455383300781,0.076638363301754,0.9019607901573181,0.005753848701715469
boston_corrected,ExtraTrees,455,51,0.16042417519885532,0.25116507189272763,0.1053626611828804,0.11900997906923294,0.843137264251709,0.0057548657059669495
boston_corrected,LightGBM,455,51,0.149721243691132,0.2480617072821799,0.08691563457250595,0.119359090924263,0.9411764740943909,0.005629323422908783
boston_corrected,LinearModel,455,51,0.1752334609685141,0.2675003634499085,0.07974383234977722,0.11400119960308075,0.8627451062202454,0.0055627040565013885
