dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
fri_c2_1000_25,LinearModel,900,100,0.3579760491847992,0.5311928391456604,0.05269893258810043,0.12754587829113007,0.699999988079071,0.004853083053603768
fri_c2_1000_25,NeuralNetFastAI,900,100,0.13199864327907562,0.2301943600177765,0.03500167280435562,0.07945632189512253,0.8899999856948853,0.005271008005365729
fri_c2_1000_25,NeuralNetTorch,900,100,0.13179470598697662,0.22598448395729065,0.020028095692396164,0.05035365745425224,0.8999999761581421,0.0052213899325579405
fri_c2_1000_25,RandomForest,900,100,0.15410195291042328,0.2940662205219269,0.03359533101320267,0.0753515288233757,0.8899999856948853,0.005209745024330914
fri_c2_1000_25,XGBoost,900,100,0.14059682190418243,0.24252250790596008,0.030153173953294754,0.0864604040980339,0.8899999856948853,0.005048308055847883
fri_c2_500_50,CatBoost,450,50,0.19096702337265015,0.29895898699760437,0.05614170432090759,0.1532415747642517,0.8399999737739563,0.0038552869809791446
fri_c2_500_50,ExtraTrees,450,50,0.21577714383602142,0.3322451710700989,0.05483391880989075,0.12439883500337601,0.8199999928474426,0.0038740229792892933
fri_c2_500_50,LightGBM,450,50,0.18229007720947266,0.27830618619918823,0.05464879050850868,0.11673318594694138,0.8799999952316284,0.003824489889666438
fri_c2_500_50,LinearModel,450,50,0.3790096342563629,0.5539016127586365,0.06987610459327698,0.19410689175128937,0.699999988079071,0.0036803600378334522
fri_c2_500_50,NeuralNetFastAI,450,50,0.21361090242862701,0.3666945695877075,0.07266173511743546,0.1671585738658905,0.8799999952316284,0.003706202027387917
fri_c2_500_50,NeuralNetTorch,450,50,0.27313366532325745,0.44077742099761963,0.06483949720859528,0.1679668128490448,0.800000011920929,0.003688985016196966
fri_c2_500_50,RandomForest,450,50,0.22301563620567322,0.3438340723514557,0.05881102383136749,0.11421793699264526,0.8199999928474426,0.003705980023369193
fri_c2_500_50,XGBoost,450,50,0.2287502884864807,0.34908732771873474,0.05578651651740074,0.1270548701286316,0.8399999737739563,0.004025124944746494
fri_c3_1000_10,CatBoost,900,100,0.10615566372871399,0.18187552690505981,0.03349651023745537,0.06852606683969498,0.9300000071525574,0.00527031603269279
fri_c3_1000_10,ExtraTrees,900,100,0.09411685913801193,0.16870082914829254,0.02140863426029682,0.053610023111104965,0.949999988079071,0.005212918040342629
fri_c3_1000_10,LightGBM,900,100,0.11157718300819397,0.18280935287475586,0.022324759513139725,0.07049921900033951,0.9200000166893005,0.005062730051577091
fri_c3_1000_10,LinearModel,900,100,0.3825407028198242,0.5637890696525574,0.04436187446117401,0.14088000357151031,0.7200000286102295,0.005183124914765358
fri_c3_1000_10,NeuralNetFastAI,900,100,0.08531451225280762,0.14329710602760315,0.0403042733669281,0.06016702204942703,0.9399999976158142,0.005193677032366395
fri_c3_1000_10,NeuralNetTorch,900,100,0.09296903759241104,0.16829341650009155,0.030343420803546906,0.06412883847951889,0.949999988079071,0.004850358935073018
fri_c3_1000_10,RandomForest,900,100,0.11584509164094925,0.2155987173318863,0.02360103465616703,0.07030188292264938,0.9399999976158142,0.004894757992587984
fri_c3_1000_10,XGBoost,900,100,0.09894433617591858,0.17891386151313782,0.029343759641051292,0.06293313205242157,0.9399999976158142,0.004828882985748351
fri_c3_1000_25,CatBoost,900,100,0.1101311519742012,0.16572044789791107,0.030573274940252304,0.06406208127737045,0.9100000262260437,0.005134555045515299
fri_c3_1000_25,ExtraTrees,900,100,0.10213234275579453,0.1573169082403183,0.026506535708904266,0.06137775629758835,0.9200000166893005,0.005085640004836023
fri_c3_1000_25,LightGBM,900,100,0.07949318736791611,0.131952166557312,0.020885508507490158,0.06391940265893936,0.9599999785423279,0.0053021779749542475
fri_c3_1000_25,LinearModel,900,100,0.42969903349876404,0.6129599809646606,0.04740745574235916,0.11313307285308838,0.6499999761581421,0.00526579690631479
fri_c3_1000_25,NeuralNetFastAI,900,100,0.08058717101812363,0.1381981074810028,0.024301383644342422,0.051807280629873276,0.9599999785423279,0.00526831392198801
fri_c3_1000_25,NeuralNetTorch,900,100,0.08262065798044205,0.1573982834815979,0.03844612091779709,0.08414740115404129,0.9399999976158142,0.005091071012429893
fri_c3_1000_25,RandomForest,900,100,0.13483117520809174,0.2083638310432434,0.027521539479494095,0.0665302500128746,0.9100000262260437,0.005088947014883161
fri_c3_1000_25,XGBoost,900,100,0.09883762151002884,0.16312529146671295,0.023787420243024826,0.06714345514774323,0.9300000071525574,0.004897936014458537
fri_c3_500_10,CatBoost,450,50,0.20771171152591705,0.3459380865097046,0.0673319399356842,0.1239422932267189,0.8600000143051147,0.003718936932273209
fri_c3_500_10,ExtraTrees,450,50,0.24251361191272736,0.4324343204498291,0.08291295170783997,0.142154261469841,0.8600000143051147,0.0037349730264395475
fri_c3_500_10,LightGBM,450,50,0.2501797080039978,0.4067803919315338,0.07504210621118546,0.139555424451828,0.800000011920929,0.004045321024022996
fri_c3_500_10,LinearModel,450,50,0.3976386785507202,0.5840722322463989,0.0771884173154831,0.1511436104774475,0.7400000095367432,0.0038718919968232512
fri_c3_500_10,NeuralNetFastAI,450,50,0.22137819230556488,0.36607906222343445,0.06074295938014984,0.15596778690814972,0.8399999737739563,0.00393696001265198
fri_c3_500_10,NeuralNetTorch,450,50,0.18455561995506287,0.3055724799633026,0.06352141499519348,0.10954343527555466,0.8999999761581421,0.003970755031332374
fri_c3_500_10,RandomForest,450,50,0.2245311141014099,0.3880870044231415,0.07140081375837326,0.13141758739948273,0.8399999737739563,0.003851106041111052
fri_c3_500_10,XGBoost,450,50,0.20500648021697998,0.34473511576652527,0.06120842695236206,0.12147395312786102,0.8600000143051147,0.004041953943669796
fri_c3_500_50,CatBoost,450,50,0.2128772735595703,0.33958908915519714,0.0670795738697052,0.16184327006340027,0.8399999737739563,0.00402337999548763
fri_c3_500_50,ExtraTrees,450,50,0.192050039768219,0.3083373010158539,0.05603569746017456,0.16171588003635406,0.8199999928474426,0.0038323109038174152
fri_c3_500_50,LightGBM,450,50,0.1867910623550415,0.3174910843372345,0.03899674862623215,0.1049831286072731,0.8799999952316284,0.003764329943805933
fri_c3_500_50,LinearModel,450,50,0.436552494764328,0.6206270456314087,0.11426219344139099,0.1913648545742035,0.5600000023841858,0.0037262620171532035
fri_c3_500_50,NeuralNetFastAI,450,50,0.43065083026885986,0.6171643137931824,0.087473064661026,0.17947542667388916,0.6800000071525574,0.003660581074655056
