dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
colleges_usnews,CatBoost,1171,131,0.37458750882317365,0.5449773727937992,0.061088677495718,0.10038423538208008,0.7099236845970154,0.031326570082455873
colleges_usnews,ExtraTrees,1171,131,0.3692030175038251,0.5422368600781038,0.06181330606341362,0.11225526034832001,0.7022900581359863,0.03032246185466647
colleges_usnews,LightGBM,1171,131,0.3865371066540436,0.5613048875847917,0.07189997285604477,0.14556553959846497,0.6641221642494202,0.029502108693122864
colleges_usnews,LinearModel,1171,131,0.40193250311932616,0.5846878416116665,0.06574440747499466,0.14171798527240753,0.6641221642494202,0.030331680085510015
colleges_usnews,NeuralNetFastAI,1171,131,0.40054006608152637,0.5752510029077479,0.08150580525398254,0.12404941022396088,0.7022900581359863,0.030477177817374468
colleges_usnews,NeuralNetTorch,1171,131,0.3819109794843712,0.5544203166902577,0.07523006945848465,0.15531755983829498,0.7175572514533997,0.030813942663371563
colleges_usnews,RandomForest,1171,131,0.36976978355477463,0.5546801999276784,0.06578724086284637,0.10336063802242279,0.732824444770813,0.03286332217976451
colleges_usnews,XGBoost,1171,131,0.3869623976633887,0.5571359146955583,0.07357436418533325,0.1446508914232254,0.7099236845970154,0.029307320713996887
cpu_act,CatBoost,7372,820,0.06707260133720204,0.1139938949729626,0.01399093959480524,0.02864127792418003,0.954878032207489,0.09138817992061377
cpu_act,ExtraTrees,7372,820,0.07863014674043024,0.1308697345465388,0.012705044820904732,0.0262923501431942,0.9475609660148621,0.0905663282610476
cpu_act,LightGBM,7372,820,0.07124163045757322,0.11739816476349724,0.014915726147592068,0.027645329013466835,0.95243901014328,0.09073714213445783
cpu_act,LinearModel,7372,820,0.08848125671628662,0.14858258752685774,0.014439772814512253,0.023305391892790794,0.9414634108543396,0.09632238699123263
cpu_act,NeuralNetFastAI,7372,820,0.07330487465156824,0.1242749122973114,0.016826502978801727,0.03193509206175804,0.9475609660148621,0.09282410191372037
cpu_act,NeuralNetTorch,7372,820,0.08115822036664368,0.13575064769345382,0.015075476840138435,0.02753853239119053,0.9402438998222351,0.09266166063025594
cpu_act,RandomForest,7372,820,0.0763735776351731,0.13096230499772832,0.010449780151247978,0.021128255873918533,0.9536585211753845,0.08981891302391887
cpu_act,XGBoost,7372,820,0.06646714671722974,0.11274581921987396,0.016428863629698753,0.026579737663269043,0.9536585211753845,0.09060441702604294
cpu_small,CatBoost,7372,820,0.0972251570423283,0.1550466691619071,0.010642623528838158,0.0213688425719738,0.9329268336296082,0.09460758417844772
cpu_small,ExtraTrees,7372,820,0.10285410466107645,0.1642428376707869,0.010048601776361465,0.0176116693764925,0.9317073225975037,0.09091401379555464
cpu_small,LightGBM,7372,820,0.09976256549417217,0.15746517517126263,0.010514073073863983,0.03304954618215561,0.9341463446617126,0.09236872987821698
cpu_small,LinearModel,7372,820,0.12769174126455357,0.20195203431384914,0.010515756905078888,0.026834920048713684,0.9073171019554138,0.09139617113396525
cpu_small,NeuralNetFastAI,7372,820,0.11184325553194774,0.1741408112100389,0.010515592992305756,0.037965867668390274,0.9134146571159363,0.09219868807122111
cpu_small,NeuralNetTorch,7372,820,0.10451692367286211,0.16602171325415666,0.011288098990917206,0.023498618975281715,0.9243902564048767,0.09131705667823553
cpu_small,RandomForest,7372,820,0.1026721291133752,0.16487419538987103,0.012225888669490814,0.027375923469662666,0.9292683005332947,0.09481156803667545
cpu_small,XGBoost,7372,820,0.1005349234793615,0.1596572687166682,0.012990763410925865,0.032030150294303894,0.9280487895011902,0.09268646407872438
credit-g,CatBoost,900,100,0.2756684224266383,0.4266244929596033,0.048873238265514374,0.07411807030439377,0.8100000023841858,0.03003937378525734
credit-g,ExtraTrees,900,100,0.2842247213989391,0.44439009621017933,0.045953430235385895,0.12382980436086655,0.8199999928474426,0.027122413739562035
credit-g,LightGBM,900,100,0.28442434894542074,0.44114797007505147,0.044443413615226746,0.09990395605564117,0.7900000214576721,0.02876497572287917
credit-g,LinearModel,900,100,0.30970777949574313,0.4753541510553764,0.05176563560962677,0.08034723997116089,0.7799999713897705,0.027291407343000174
credit-g,NeuralNetFastAI,900,100,0.30764372693643915,0.4636125313061072,0.03421645984053612,0.07038508355617523,0.7699999809265137,0.02760644070804119
credit-g,NeuralNetTorch,900,100,0.2925064655159073,0.4503416857145693,0.0428166389465332,0.07024567574262619,0.7699999809265137,0.028307468630373478
credit-g,RandomForest,900,100,0.27293661824192506,0.42755020102605173,0.05688019096851349,0.12268317490816116,0.7900000214576721,0.028303273022174835
credit-g,XGBoost,900,100,0.29156334156118346,0.4441900983544184,0.03680489957332611,0.07096040993928909,0.7699999809265137,0.028471590019762516
cylinder-bands,CatBoost,486,54,0.1851081170040548,0.31048153715091925,0.04059544950723648,0.1051434651017189,0.8703703880310059,0.025237733032554388
cylinder-bands,ExtraTrees,486,54,0.17323472774146806,0.2958423121997568,0.047576677054166794,0.10039453208446503,0.9074074029922485,0.026742120273411274
cylinder-bands,LightGBM,486,54,0.1847790231850693,0.31175464930335584,0.046327702701091766,0.10990617424249649,0.8888888955116272,0.02533709118142724
cylinder-bands,LinearModel,486,54,0.26711300199313376,0.4219783524960266,0.054193899035453796,0.10285709798336029,0.7962962985038757,0.028439214918762445
cylinder-bands,NeuralNetFastAI,486,54,0.2233725321825667,0.37456976459410785,0.06848746538162231,0.1426793336868286,0.8703703880310059,0.026122312992811203
cylinder-bands,NeuralNetTorch,486,54,0.20326539144860584,0.34258726839274867,0.07186183333396912,0.12984345853328705,0.8518518805503845,0.026360753923654556
cylinder-bands,RandomForest,486,54,0.17039161716106965,0.28780342027084704,0.04108605533838272,0.09298620373010635,0.8888888955116272,0.025026215240359306
cylinder-bands,XGBoost,486,54,0.176588267163639,0.30381264385064977,0.05850403383374214,0.11624104529619217,0.8888888955116272,0.025725148152559996
delta_ailerons,CatBoost,6416,713,0.08955717886511562,0.18180366484185295,0.009493083693087101,0.015651604160666466,0.948106586933136,0.08331621112301946
delta_ailerons,ExtraTrees,6416,713,0.09283246338958054,0.18586036625455932,0.011457543820142746,0.021302029490470886,0.9453015327453613,0.08641050197184086
delta_ailerons,LightGBM,6416,713,0.09270452426376163,0.18798539823629148,0.010416933335363865,0.026231011375784874,0.9424964785575867,0.08243905613198876
delta_ailerons,LinearModel,6416,713,0.11097262845379231,0.22234606795302042,0.011559765785932541,0.030135316774249077,0.9410939812660217,0.08377865189686418
delta_ailerons,NeuralNetFastAI,6416,713,0.10149162501722887,0.2021373959016619,0.01214721892029047,0.021176548674702644,0.9424964785575867,0.08084778906777501
