dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.09277410590944093,0.15553663018823122,0.02217651531100273,0.009203512221574783,0.9424999952316284,0.0038361428305506706
heloc,Mitra_GPU,6972,3487,0.36585863934077995,0.5466138103517575,0.029578201472759247,0.02247719280421734,0.7341554164886475,0.009492577984929085
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.32414810814913414,0.49561631937217066,0.027282580733299255,0.028102075681090355,0.7693945169448853,0.011575545184314251
jm1,Mitra_GPU,7256,3629,0.2687670291625008,0.42511346086246277,0.01933399587869644,0.010603941977024078,0.8134472370147705,0.010369223542511463
online_shoppers_intention,Mitra_GPU,8220,4110,0.14420750401781154,0.2313100748287526,0.022182568907737732,0.007177080027759075,0.9002432823181152,0.011503295041620731
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.06317894284509623,0.10388778094005759,0.019167350605130196,0.007279054261744022,0.9517766237258911,0.006818306632339954
qsar-biodeg,Mitra_GPU,702,352,0.19944907007849855,0.33109174760642957,0.04341917857527733,0.036768607795238495,0.8664772510528564,0.0027908282354474068
seismic-bumps,Mitra_GPU,1722,862,0.11097609246241137,0.20600071957852814,0.023152556270360947,0.012110752984881401,0.9338747262954712,0.004369465634226799
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.05200876458594952,0.09100299731837865,0.017435535788536072,0.0028364050667732954,0.967883825302124,0.007516239769756794
APSFailure,TabDPT_GPU,50666,25334,0.029614259726809655,0.04865159549595688,0.013344826176762581,0.0025069357361644506,0.9818820357322693,0.06776545662432909
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08969621324780687,0.16650675596117184,0.01049879752099514,0.0028359137941151857,0.9421404600143433,0.03134510479867458
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.2043356341071457,0.33571404803350785,0.022323546931147575,0.009092469699680805,0.8641271591186523,0.011622556485235691
Bioresponse,TabDPT_GPU,2500,1251,0.28094803584498074,0.4392679834856186,0.02897639013826847,0.03417062386870384,0.79536372423172,0.00483566801995039
Diabetes130US,TabDPT_GPU,47678,23840,0.1564668578888101,0.2860504596954629,0.01270679384469986,0.0029030321165919304,0.9119966626167297,0.06681627221405506
