dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
credit-g,RealMLP_GPU,666,334,0.32386442233663265,0.499150002828623,0.039933979511260986,0.051960237324237823,0.7784430980682373,0.00024383701384067535
credit_card_clients_default,RealMLP_GPU,20000,10000,0.2660534373977176,0.4262865110445744,0.03372760862112045,0.01462946180254221,0.8230000138282776,0.0011840276420116425
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05373321502427894,0.09141657490392377,0.0059323678724467754,0.001823266502469778,0.9619808793067932,0.003750203177332878
diabetes,RealMLP_GPU,512,256,0.30952418913090596,0.4756955297961399,0.03140353411436081,0.033249709755182266,0.78515625,0.000303119421005249
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.09214996320355456,0.16048692069338588,0.011845886707305908,0.015472649596631527,0.9237499833106995,0.00033411942422389984
heloc,RealMLP_GPU,6972,3487,0.3632449547361159,0.5436859574835121,0.018857687711715698,0.017917070537805557,0.734728991985321,0.0006569717079401016
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3066196981468505,0.4731920841666822,0.031469911336898804,0.02733229100704193,0.7840586304664612,0.0007862802594900131
jm1,RealMLP_GPU,7256,3629,0.2690476024067561,0.42801160982198183,0.04327602684497833,0.011699746362864971,0.8162028193473816,0.0006099343299865723
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03425447397281236,0.08581183336210432,0.015317987650632858,0.0005012628389522433,0.9821803569793701,0.0015259236097335815
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14593397574028466,0.24762614601795335,0.016605950891971588,0.01444569043815136,0.9012165665626526,0.0006258897483348846
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04463167160177532,0.09497509356062042,0.010511796921491623,0.00742105208337307,0.9715735912322998,0.0003642253577709198
qsar-biodeg,RealMLP_GPU,702,352,0.1867193855059801,0.3215345134640979,0.03729131445288658,0.05920197069644928,0.875,0.00024349242448806763
seismic-bumps,RealMLP_GPU,1722,862,0.11031073656309955,0.20602068812028296,0.02431875467300415,0.007012374699115753,0.9338747262954712,0.0003023240715265274
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.046031920860187855,0.09037593266584733,0.010988659225404263,0.009631907567381859,0.968323826789856,0.0003937855362892151
APSFailure,BetaTabPFN_GPU,50666,25334,0.009640676974455902,0.021870011681412577,0.0018384538125246763,0.0015295101329684258,0.9939212203025818,0.0023058634251356125
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.089592230418087,0.17282169405190592,0.022987358272075653,0.008042460307478905,0.9447038173675537,0.0011537373065948486
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.20004499017178712,0.33282216078784926,0.02530789002776146,0.014784448780119419,0.8686262965202332,0.0006338320672512054
Bioresponse,BetaTabPFN_GPU,2500,1251,0.3152506839799666,0.48050281202234246,0.026430398225784302,0.03390363231301308,0.7769784331321716,0.00039676763117313385
