dataset,model,cal_size,test_size,CB_brier,CB_logloss,CB_kuiper,CB_ece-15,CB_accuracy,CB_time
kddcup09_appetency,TabICL_GPU,33333,16667,0.03383039382978848,0.07841054846085414,0.0020329849794507027,0.0013760542497038841,0.9821803569793701,0.32508491817861795
online_shoppers_intention,TabICL_GPU,8220,4110,0.14215801358825383,0.2277724458630066,0.007576297037303448,0.010965852066874504,0.8985401391983032,0.14381381962448359
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04229821927087707,0.08097146149916498,0.0055387127213180065,0.009113907814025879,0.9756345152854919,0.09071844210848212
qsar-biodeg,TabICL_GPU,702,352,0.17889355635190454,0.2982495918851653,0.03536340221762657,0.039366960525512695,0.8778409361839294,0.053329268004745245
seismic-bumps,TabICL_GPU,1722,862,0.115374216391318,0.21464466903617724,0.011059933342039585,0.011948197148740292,0.9315544962882996,0.06241173390299082
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.044787595400791844,0.08189151395659178,0.004466778598725796,0.008779340423643589,0.9714034199714661,0.08976997481659055
Amazon_employee_access,LimiX_GPU,21846,10923,0.08294087654654154,0.1604589891437367,0.0030722878873348236,0.00485628517344594,0.9486404657363892,0.24956395803019404
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19925091853395052,0.32722826442334857,0.007105703465640545,0.01524852029979229,0.86652672290802,0.11035320814698935
Bioresponse,LimiX_GPU,2500,1251,0.2781697075439216,0.4312781101306915,0.020667418837547302,0.03210391104221344,0.7993605136871338,0.07529957080259919
E-CommereShippingData,LimiX_GPU,7332,3667,0.35955050515683784,0.5011673465120657,0.02336755394935608,0.03478633984923363,0.6760294437408447,0.1293973233550787
Fitness_Club,LimiX_GPU,1000,500,0.31884851553885835,0.48535737146474184,0.020732810720801353,0.04242235794663429,0.7699999809265137,0.05640470376238227
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26973037236606506,0.42548758915043405,0.011589348316192627,0.02132357470691204,0.8067647814750671,0.17573809856548905
Is-this-a-good-customer,LimiX_GPU,1148,575,0.19092623645037035,0.32546016736913885,0.010833035223186016,0.022852564230561256,0.8782608509063721,0.057480077259242535
Marketing_Campaign,LimiX_GPU,1493,747,0.14040602938493033,0.2228589433730187,0.011144986376166344,0.02202664129436016,0.8955823183059692,0.06145100295543671
NATICUSdroid,LimiX_GPU,4994,2497,0.08553821678966032,0.14842268949107087,0.006227772682905197,0.013157536275684834,0.9435322284698486,0.09767378680408001
bank-marketing,LimiX_GPU,30140,15071,0.17203498132549247,0.30067990745115,0.004324015229940414,0.005569795612245798,0.8943666815757751,0.30367782479152083
blood-transfusion-service-center,LimiX_GPU,498,250,0.31140700717272973,0.4960855401784988,0.039601776748895645,0.060395851731300354,0.7960000038146973,0.051420047879219055
churn,LimiX_GPU,3333,1667,0.06650782838800509,0.1387310705895497,0.009812118485569954,0.011051500216126442,0.9586082696914673,0.08070529857650399
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10727761364670432,0.20224458122742348,0.006961949169635773,0.010368783958256245,0.9404398202896118,0.12313634343445301
credit-g,LimiX_GPU,666,334,0.3148013989923794,0.4868708889901731,0.04716665297746658,0.08027315139770508,0.7994012236595154,0.05255475779995322
credit_card_clients_default,LimiX_GPU,20000,10000,0.26508164179846017,0.4241828389856708,0.006330035626888275,0.009112305007874966,0.821399986743927,0.22599341021850705
diabetes,LimiX_GPU,512,256,0.3142326957096776,0.4763312589144575,0.029357753694057465,0.055424537509679794,0.77734375,0.0509504359215498
