dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
qsar-biodeg,Mitra_GPU,702,352,0.18463745142400748,0.5556935147835632,0.03073611855506897,0.047878097742795944,0.8806818127632141,0.001666652038693428
seismic-bumps,Mitra_GPU,1722,862,0.10818910425739492,0.20172592193174096,0.009024632163345814,0.012419328093528748,0.9338747262954712,0.0019035269506275654
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.043434936631620145,0.07899947064578583,0.004553745035082102,0.005997891072183847,0.9718433618545532,0.0025802700547501445
APSFailure,TabDPT_GPU,50666,25334,0.011229895040871941,0.02302420924653046,0.00048414687626063824,0.0013920540222898126,0.9919081330299377,0.012281712028197944
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08096879012833036,0.19405675975479736,0.002954810857772827,0.003916122484952211,0.9482742547988892,0.006591183017008007
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.19941948714556504,0.351471854227635,0.006761569529771805,0.009243727661669254,0.86652672290802,0.0035052370512858033
Bioresponse,TabDPT_GPU,2500,1251,0.27976523968821276,0.43519884573668854,0.02648499235510826,0.038628868758678436,0.8041566610336304,0.0025156900519505143
Diabetes130US,TabDPT_GPU,47678,23840,0.15548355200126668,0.28441918737864835,0.0035425149835646152,0.0019588542636483908,0.9120385646820068,0.011550968047231436
E-CommereShippingData,TabDPT_GPU,7332,3667,0.35644326186117514,0.49938783025414724,0.01747143268585205,0.01026873104274273,0.6874829530715942,0.0034969570115208626
Fitness_Club,TabDPT_GPU,1000,500,0.3170667337856958,0.483226808601314,0.025577228516340256,0.06119389832019806,0.7739999890327454,0.0019268259638920426
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09794935178035015,0.1769887332358949,0.0010112542659044266,0.0021595018915832043,0.9373400211334229,0.028207493014633656
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2694202911080975,0.42446085828124774,0.0079379603266716,0.01569715514779091,0.8061384558677673,0.004770103027112782
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.1927458087501143,0.3257685633799603,0.016508642584085464,0.024624325335025787,0.8765217661857605,0.001941733993589878
Marketing_Campaign,TabDPT_GPU,1493,747,0.14165913665357777,0.22500967773287509,0.012305594980716705,0.0282348170876503,0.9009370803833008,0.002088915091007948
NATICUSdroid,TabDPT_GPU,4994,2497,0.0801166766138093,0.3006552752332293,0.006241855211555958,0.011952203698456287,0.9471365809440613,0.0029681780142709613
bank-marketing,TabDPT_GPU,30140,15071,0.17223006214034803,0.31180693248930896,0.0038720027077943087,0.007106086239218712,0.8937031626701355,0.00870341097470373
blood-transfusion-service-center,TabDPT_GPU,498,250,0.30236270288987055,0.49241017350483024,0.040798358619213104,0.08269871771335602,0.8040000200271606,0.0016454290598630905
