dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
heloc,TabM_GPU,6972,3487,0.3655187726168856,0.5453866371176731,0.013082843273878098,0.023607349023222923,0.7307140827178955,0.5540042407810688
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.300531766981006,0.46294431387973795,0.013797864317893982,0.02347693033516407,0.7828760743141174,0.8230722509324551
jm1,TabM_GPU,7256,3629,0.2710597412478692,0.4299436111034084,0.007659051567316055,0.010776313953101635,0.8104161024093628,0.8137131556868553
kddcup09_appetency,TabM_GPU,33333,16667,0.03356467967473259,0.0764491800943025,0.0010005645453929901,0.0009915409609675407,0.9821803569793701,2.2360658049583435
online_shoppers_intention,TabM_GPU,8220,4110,0.14186855242282267,0.22797992141846157,0.007278392091393471,0.009933377616107464,0.8995133638381958,0.9735786318778992
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.040328375659850556,0.0769868411574063,0.010327487252652645,0.014139112085103989,0.9761421084403992,0.656155526638031
qsar-biodeg,TabM_GPU,702,352,0.1835655015205181,0.30738610428067104,0.036062322556972504,0.04457208514213562,0.8778409361839294,0.20518281683325768
seismic-bumps,TabM_GPU,1722,862,0.11197574546855041,0.2062095848335132,0.010910242795944214,0.007400935050100088,0.9338747262954712,0.28565696626901627
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04397688532879844,0.08150472677756106,0.0038740269374102354,0.008583941496908665,0.9731632471084595,0.5850711353123188
APSFailure,RealMLP_GPU,50666,25334,0.01080559741861733,0.019734666551453433,0.0009610670385882258,0.001696441089734435,0.9927370548248291,6.591221377253532
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07945237116427394,0.15126076183764744,0.003911498934030533,0.00690589239820838,0.9501968026161194,2.351030509918928
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19768158211815992,0.32428235707505715,0.009625967592000961,0.017595387995243073,0.8698260188102722,0.36763135716319084
Bioresponse,RealMLP_GPU,2500,1251,0.2798156204658673,0.4385959396186934,0.028623372316360474,0.04897664114832878,0.8017585873603821,0.6319495812058449
Diabetes130US,RealMLP_GPU,47678,23840,0.15312480778651538,0.2789665228844965,0.004760401323437691,0.0066975196823477745,0.9119547009468079,4.186656627804041
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35658601544724344,0.49973736886261877,0.01695636846125126,0.01745077222585678,0.6869375705718994,0.5412215180695057
Fitness_Club,RealMLP_GPU,1000,500,0.3178177993973274,0.4865750004232061,0.025843484327197075,0.05597997456789017,0.7720000147819519,0.20428058505058289
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.0972640991216021,0.17574418033857667,0.0010533881140872836,0.0024642457719892263,0.9381399750709534,7.826220791786909
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27130933931218315,0.42632396197051065,0.008826635777950287,0.013841086067259312,0.801910400390625,0.4564403258264065
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18705134876098561,0.3192801890229693,0.013298820704221725,0.03025967627763748,0.8852173686027527,0.26236872002482414
Marketing_Campaign,RealMLP_GPU,1493,747,0.14783795692160048,0.23788823612598814,0.010154318064451218,0.027294155210256577,0.8995984196662903,0.3338267579674721
NATICUSdroid,RealMLP_GPU,4994,2497,0.08292756569061438,0.14123159396254517,0.004120275378227234,0.010647101327776909,0.9435322284698486,0.9022643752396107
bank-marketing,RealMLP_GPU,30140,15071,0.1715464710250079,0.29941100683243377,0.005070640705525875,0.009377313777804375,0.8938358426094055,1.2806325443089008
blood-transfusion-service-center,RealMLP_GPU,498,250,0.30850141498215045,0.4907934287257565,0.02881370298564434,0.07060758024454117,0.7919999957084656,0.2089066319167614
churn,RealMLP_GPU,3333,1667,0.06364032733767795,0.13502169956001892,0.020622655749320984,0.024947797879576683,0.9610077738761902,0.45168136805295944
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10563331610653935,0.20182121166895375,0.0047124819830060005,0.004627524875104427,0.9404398202896118,0.6995769217610359
credit-g,RealMLP_GPU,666,334,0.32786952427385757,0.5004523283381719,0.052633173763751984,0.06313800066709518,0.7754490971565247,0.38823825493454933
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26367327599456036,0.4217498449079452,0.006592548452317715,0.009650949388742447,0.8234000205993652,1.5558619871735573
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05334914352011377,0.08505256395097673,0.0011571983341127634,0.003529953071847558,0.9621887803077698,14.95101023465395
diabetes,RealMLP_GPU,512,256,0.30152316835775805,0.4612880209052473,0.017079554498195648,0.039275553077459335,0.78125,0.2699657157063484
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08818176762219637,0.15840725755485327,0.014107367023825645,0.03243214264512062,0.9512500166893005,0.3780387304723263
heloc,RealMLP_GPU,6972,3487,0.3619346906283949,0.5414137724709046,0.008609939366579056,0.016593867912888527,0.7350157499313354,0.5613065361976624
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3038640049862519,0.46764137798234484,0.018319793045520782,0.029247716069221497,0.7835856080055237,1.1807511076331139
jm1,RealMLP_GPU,7256,3629,0.26756101504932944,0.4243063389826402,0.011195000261068344,0.014656474813818932,0.8156517148017883,0.6832477524876595
