dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
credit-g,TabM_GPU,666,334,0.3360077378171385,0.5117249009388757,0.04657803475856781,0.055535268038511276,0.7604790329933167,0.05203605070710182
credit_card_clients_default,TabM_GPU,20000,10000,0.2635753563464357,0.4210779781504871,0.007770167663693428,0.011979443021118641,0.823199987411499,0.23912274092435837
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05258273387236663,0.08314826190743271,0.0030849347822368145,0.0022075504530221224,0.962650716304779,0.7729154452681541
diabetes,TabM_GPU,512,256,0.34399081209241544,0.5197206677677794,0.06119159236550331,0.09839174151420593,0.765625,0.049961838871240616
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.1099778290469482,0.18207231258523604,0.015085503458976746,0.027054980397224426,0.9225000143051147,0.06452422961592674
heloc,TabM_GPU,6972,3487,0.36661128762822404,0.5465505655449486,0.013821568340063095,0.021371953189373016,0.7244049310684204,0.1319492720067501
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.3011004972565788,0.46352891427699683,0.014273524284362793,0.024176854640245438,0.7821664810180664,0.1453644335269928
jm1,TabM_GPU,7256,3629,0.2708453374147328,0.4297190064665545,0.007336084730923176,0.01208080630749464,0.8104161024093628,0.12882326543331146
kddcup09_appetency,TabM_GPU,33333,16667,0.033498988389018186,0.0763052568105427,0.002059921622276306,0.0009603273938409984,0.9821803569793701,0.34170079976320267
online_shoppers_intention,TabM_GPU,8220,4110,0.1419198531343281,0.22781838918084368,0.0088412556797266,0.009871245361864567,0.9014598727226257,0.14499187842011452
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.039953990339608614,0.07595949146348738,0.008990966714918613,0.011899800039827824,0.9756345152854919,0.09154371172189713
qsar-biodeg,TabM_GPU,702,352,0.18232113357617513,0.30707135160301263,0.03567641228437424,0.045038189738988876,0.8806818127632141,0.05221947282552719
seismic-bumps,TabM_GPU,1722,862,0.11237353835870655,0.20785271235699662,0.010674335062503815,0.01030503585934639,0.9338747262954712,0.061155326664447784
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04457535290009177,0.08235571049614242,0.0055287741124629974,0.007904148660600185,0.9731632471084595,0.09200232103466988
APSFailure,RealMLP_GPU,50666,25334,0.010929916816506001,0.019953511467872612,0.0009852382354438305,0.0014726200606673956,0.992697536945343,0.43830151855945587
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07959182872383945,0.15143245401379832,0.004446629900485277,0.007830466143786907,0.9499222040176392,0.24887806177139282
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.1982449922045286,0.3235959562120891,0.0074709877371788025,0.020594466477632523,0.865626871585846,0.1134759820997715
Bioresponse,RealMLP_GPU,2500,1251,0.2797024870581681,0.4377004790656211,0.02311338484287262,0.043325528502464294,0.798561155796051,0.07297423481941223
Diabetes130US,RealMLP_GPU,47678,23840,0.1530560279311346,0.2787718503308883,0.007139686495065689,0.005736158229410648,0.9119966626167297,0.4583008550107479
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35809850964439116,0.5013182216354951,0.020091526210308075,0.029494058340787888,0.6738478541374207,0.12816880643367767
Fitness_Club,RealMLP_GPU,1000,500,0.31662800461179064,0.4848359130609289,0.024608705192804337,0.04629688709974289,0.7699999809265137,0.05226999148726463
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09735787759865873,0.17601533156917526,0.001966245472431183,0.002577235922217369,0.9377800226211548,0.8856995813548565
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27136889500468164,0.42643552690859743,0.009727470576763153,0.01398890558630228,0.8008142709732056,0.17907972261309624
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18697778572380727,0.31840396011047467,0.015819814056158066,0.01985236443579197,0.8852173686027527,0.05543471872806549
Marketing_Campaign,RealMLP_GPU,1493,747,0.1464763895514318,0.23604217787371207,0.008268863894045353,0.021984336897730827,0.898259699344635,0.05970248207449913
NATICUSdroid,RealMLP_GPU,4994,2497,0.08366439419230302,0.14308295865775503,0.005637472495436668,0.00976093951612711,0.9427312612533569,0.10202933102846146
bank-marketing,RealMLP_GPU,30140,15071,0.1714969248854241,0.2995973202584887,0.005925077013671398,0.00638705724850297,0.8939685225486755,0.3273829370737076
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3045026619502785,0.48699213404249986,0.031886421144008636,0.05745209380984306,0.8119999766349792,0.049472782760858536
churn,RealMLP_GPU,3333,1667,0.0640750309289557,0.1365928319573898,0.02196737565100193,0.024133600294589996,0.9604079127311707,0.0825345404446125
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.1061271825384193,0.20290452130062286,0.007509738206863403,0.010798973962664604,0.9404398202896118,0.12630200013518333
credit-g,RealMLP_GPU,666,334,0.3231633620609328,0.4930989672570815,0.03969815745949745,0.04929593205451965,0.757485032081604,0.052660245448350906
credit_card_clients_default,RealMLP_GPU,20000,10000,0.2639346977649066,0.42237055251720196,0.00940406322479248,0.013943374156951904,0.8230999708175659,0.2399573177099228
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.053503320946714186,0.08543391726251032,0.002954695373773575,0.0034194139298051596,0.9617499113082886,0.7733146548271179
diabetes,RealMLP_GPU,512,256,0.3030899896287437,0.46093388865535934,0.024888724088668823,0.05833786725997925,0.78125,0.04956074431538582
