dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
Diabetes130US,ModernNCA_GPU,47678,23840,0.1544492542743683,0.2819613814353943,0.004435169510543346,0.003816161071881652,0.9119966626167297,0.11950167268514633
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3579885959625244,0.5019704103469849,0.016030505299568176,0.024979043751955032,0.6861194372177124,0.021112866699695587
Fitness_Club,ModernNCA_GPU,1000,500,0.3196546137332916,0.4885103106498718,0.015262199565768242,0.0597166083753109,0.7599999904632568,0.004788532853126526
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09692061692476273,0.17528216540813446,0.0014040895039215684,0.0028495220467448235,0.9387400150299072,0.2437569946050644
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.26903098821640015,0.4237513542175293,0.009321187622845173,0.018313448876142502,0.8033197522163391,0.03353582322597504
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19455456733703613,0.33087158203125,0.0345238596200943,0.03444567322731018,0.8834782838821411,0.005221650004386902
Marketing_Campaign,ModernNCA_GPU,1493,747,0.13967245817184448,0.22806666791439056,0.026461414992809296,0.04402254521846771,0.9022757411003113,0.00601726770401001
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08679410070180893,0.14745156466960907,0.010028289631009102,0.014483751729130745,0.9403284192085266,0.014889057725667953
bank-marketing,ModernNCA_GPU,30140,15071,0.17183516919612885,0.2994132339954376,0.005875229835510254,0.008874890394508839,0.8937695026397705,0.07616300880908966
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.3232070207595825,0.5103803277015686,0.047923292964696884,0.10926290601491928,0.7680000066757202,0.003726258873939514
churn,ModernNCA_GPU,3333,1667,0.06414491683244705,0.13352788984775543,0.014628374949097633,0.022110672667622566,0.9610077738761902,0.010540243238210678
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10655228048563004,0.20354899764060974,0.010651164688169956,0.010202663950622082,0.9404398202896118,0.01853550225496292
credit-g,ModernNCA_GPU,666,334,0.3398447632789612,0.515265703201294,0.03457694500684738,0.050462864339351654,0.7514970302581787,0.004066534340381622
