dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.097993687609015,0.17708849288762998,0.0022664666175842285,0.002066913293674588,0.9374600052833557,0.15237706899642944
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2684379133210218,0.42356627462122326,0.00805586576461792,0.014537977054715157,0.8067647814750671,0.029673047363758087
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.1915724889157822,0.3230127794199629,0.028625603765249252,0.025200283154845238,0.8799999952316284,0.01006266474723816
Marketing_Campaign,TabDPT_GPU,1493,747,0.1429137720156474,0.23091198439071028,0.018126122653484344,0.030818551778793335,0.898259699344635,0.02620053105056286
NATICUSdroid,TabDPT_GPU,4994,2497,0.08056124381736855,0.14002889599397741,0.006570678204298019,0.01317466702312231,0.9463356137275696,0.07682050205767155
bank-marketing,TabDPT_GPU,30140,15071,0.17222481279052765,0.30065714748770334,0.004332274664193392,0.006176093593239784,0.8934377431869507,0.029151635244488716
blood-transfusion-service-center,TabDPT_GPU,498,250,0.3064030541981606,0.49037971806868247,0.04667016491293907,0.081980861723423,0.8040000200271606,0.0047572311013937
churn,TabDPT_GPU,3333,1667,0.06763734421947798,0.1368051901549627,0.012844997458159924,0.011038284748792648,0.9604079127311707,0.02034587226808071
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10734654115675614,0.20737312453593043,0.012393251061439514,0.0101358313113451,0.9404398202896118,0.030212590470910072
credit-g,TabDPT_GPU,666,334,0.34762166376817444,0.5179365868489656,0.035790082067251205,0.058752045035362244,0.7215569019317627,0.006290556862950325
credit_card_clients_default,TabDPT_GPU,20000,10000,0.26470954287611687,0.422459810277639,0.008048780262470245,0.010610472410917282,0.820900022983551,0.03588159568607807
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.054362882691853416,0.08813339258261053,0.0020179497078061104,0.0017680702731013298,0.9614958167076111,2.3344317078590393
diabetes,TabDPT_GPU,512,256,0.30808281929180803,0.4663217224910523,0.03420991450548172,0.04613687843084335,0.765625,0.00622968003153801
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06864121356437261,0.12351561700720698,0.007823441177606583,0.017361342906951904,0.956250011920929,0.03525204211473465
heloc,TabDPT_GPU,6972,3487,0.36724070990277546,0.5481505052805914,0.014165416359901428,0.0212241280823946,0.7312876582145691,0.018950683996081352
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.33432284071884494,0.5041976030444696,0.027054987847805023,0.021700069308280945,0.752601683139801,0.02675812691450119
jm1,TabDPT_GPU,7256,3629,0.2547236366882507,0.4060497419819699,0.012455303221940994,0.011210103519260883,0.8233672976493835,0.02690817415714264
kddcup09_appetency,TabDPT_GPU,33333,16667,0.03426705279956599,0.08070015594698708,0.0038591418415308,0.0009821156272664666,0.9821803569793701,0.1671521570533514
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14239453408290023,0.2304623280230805,0.007521197199821472,0.012889870442450047,0.8975669145584106,0.13003061711788177
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.02957687814647635,0.0617350888166891,0.005778682418167591,0.008567318320274353,0.9812182784080505,0.08172938786447048
qsar-biodeg,TabDPT_GPU,702,352,0.1787293134115275,0.3025136325298518,0.03157380223274231,0.04356442391872406,0.8806818127632141,0.01154313050210476
seismic-bumps,TabDPT_GPU,1722,862,0.10931006765511989,0.2034106640345214,0.014895275235176086,0.013096671551465988,0.9338747262954712,0.01719333790242672
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.04378327537009349,0.08116069643576727,0.006360549945384264,0.008383340202271938,0.9718433618545532,0.09917200915515423
