dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
credit-g,RealTabPFN-v2.5,666,334,0.33127418848605805,0.4998443278008395,0.036290012300014496,0.06033150479197502,0.7664670944213867,0.00311447586864233
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26253536207573863,0.41959332040318187,0.004677982069551945,0.01109304465353489,0.8230000138282776,0.022029525600373745
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.053944204919272334,0.08734779766078683,0.0015989313833415508,0.0032569116447120905,0.9623966217041016,0.0925415763631463
diabetes,RealTabPFN-v2.5,512,256,0.3068839091238259,0.46371391620249536,0.01959894597530365,0.07051537185907364,0.765625,0.002735259011387825
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06504293919538187,0.11655628280286237,0.008186578750610352,0.015688814222812653,0.9587500095367432,0.010854678228497505
heloc,RealTabPFN-v2.5,6972,3487,0.36348143432434665,0.5434164922328145,0.012506823986768723,0.01771685853600502,0.7318611741065979,0.005423012189567089
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.30602018892426597,0.470349264690837,0.009360603988170624,0.016600212082266808,0.7835856080055237,0.006039452739059925
jm1,RealTabPFN-v2.5,7256,3629,0.25979904063649745,0.4117703988267001,0.007134523242712021,0.014220334589481354,0.8173050284385681,0.006988260895013809
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.03335016859440545,0.07535400923361271,0.001684454851783812,0.0013074585003778338,0.9821803569793701,0.03173661418259144
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.13933137882110738,0.22344704423593495,0.004440834745764732,0.010550955310463905,0.9026764035224915,0.012647652067244053
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022084280877673886,0.04916141543496805,0.0055767553858459,0.006928838789463043,0.9873096346855164,0.007204275578260422
qsar-biodeg,RealTabPFN-v2.5,702,352,0.1838339094593416,0.3252054396728223,0.03077811561524868,0.04977305233478546,0.875,0.006818866357207298
