dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
Amazon_employee_access,TabICL_GPU,21846,10923,0.0805962710146975,0.17015111408789102,0.0036576762795448303,0.0033409097231924534,0.9486404657363892,0.024892873014323413
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.20005005433336162,0.32750647595890336,0.016848262399435043,0.013451139442622662,0.8641271591186523,0.01264802401419729
Diabetes130US,TabICL_GPU,47678,23840,0.15604807200319118,0.2992690845935955,0.009836699813604355,0.002775270026177168,0.911912739276886,0.051585030974820256
E-CommereShippingData,TabICL_GPU,7332,3667,0.3567154651180703,0.5208892893922153,0.028207527473568916,0.017667779698967934,0.6866648197174072,0.012634596088901162
Fitness_Club,TabICL_GPU,1000,500,0.31412379158031517,0.646482424422252,0.03798461705446243,0.037870943546295166,0.777999997138977,0.007169489050284028
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09785712790903306,0.17633958162041918,0.0036622434854507446,0.003031117608770728,0.9373999834060669,0.10553959000390023
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2685586784145215,0.42338195084858243,0.010849295184016228,0.011673983186483383,0.8067647814750671,0.018949807970784605
Is-this-a-good-customer,TabICL_GPU,1148,575,0.1916199029921693,0.47246269182805867,0.022846460342407227,0.02245514653623104,0.8834782838821411,0.0074673070339486
Marketing_Campaign,TabICL_GPU,1493,747,0.1444504385351798,0.2290372422054411,0.014452535659074783,0.028546525165438652,0.891566276550293,0.007655430003069341
NATICUSdroid,TabICL_GPU,4994,2497,0.07913527585507847,0.3002206371090168,0.005288116633892059,0.012057380750775337,0.9467360973358154,0.010425774962641299
bank-marketing,TabICL_GPU,30140,15071,0.1720908601540463,0.29990298259925563,0.006500737741589546,0.006135714240372181,0.8942339420318604,0.034681673045270145
blood-transfusion-service-center,TabICL_GPU,498,250,0.3173417447977699,0.5125078869986108,0.08170252293348312,0.09548851102590561,0.8119999766349792,0.006603776011615992
churn,TabICL_GPU,3333,1667,0.06693597478168142,0.23417873697140876,0.013184151612222195,0.012360533699393272,0.9604079127311707,0.009373200009576976
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10596028172655439,0.20405099928391637,0.008152220398187637,0.0056314487010240555,0.9404398202896118,0.0121796679450199
credit-g,TabICL_GPU,666,334,0.3410850502565662,0.5128305302524931,0.05417144298553467,0.05828035995364189,0.7514970302581787,0.0065902440110221505
credit_card_clients_default,TabICL_GPU,20000,10000,0.2637532889659683,0.42154973937476314,0.014326941221952438,0.012689498253166676,0.822700023651123,0.02522723702713847
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05709342556477103,0.09296231330980624,0.0020604021847248077,0.001884041354060173,0.959740400314331,0.08314045099541545
diabetes,TabICL_GPU,512,256,0.32100468352678124,0.807045791617883,0.04004108905792236,0.03991236910223961,0.76171875,0.00697788898833096
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06838519272141186,0.12276765172884925,0.010328604839742184,0.013416211120784283,0.9574999809265137,0.007487933966331184
heloc,TabICL_GPU,6972,3487,0.365803074678892,0.5943096648170411,0.013961248099803925,0.01855151169002056,0.7312876582145691,0.012612513964995742
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.30819568779925277,0.4931294629500251,0.011784806847572327,0.022801987826824188,0.7755439877510071,0.013782887952402234
jm1,TabICL_GPU,7256,3629,0.2566130119027068,0.5448825068650431,0.016303937882184982,0.010965054854750633,0.8228161931037903,0.013121981988660991
kddcup09_appetency,TabICL_GPU,33333,16667,0.03370793761600613,0.07724745590378632,0.003431855235248804,0.0009679929353296757,0.9821803569793701,0.03711946797557175
online_shoppers_intention,TabICL_GPU,8220,4110,0.14119183893890722,0.2453677896310257,0.013493051752448082,0.012501470744609833,0.8982968330383301,0.014273811946623027
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04204406836709521,0.12150623134747751,0.005870252847671509,0.007666523102670908,0.9746192693710327,0.00992317299824208
qsar-biodeg,TabICL_GPU,702,352,0.17762837769322704,0.7632790572414262,0.035955075174570084,0.03941361606121063,0.8778409361839294,0.00676428503356874
seismic-bumps,TabICL_GPU,1722,862,0.11045266477166252,0.20278981284685504,0.012664008885622025,0.008285176940262318,0.9338747262954712,0.007502924068830907
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04404864226853397,0.08032533176731388,0.0042829206213355064,0.006250037811696529,0.9709634780883789,0.010187836014665663
Amazon_employee_access,LimiX_GPU,21846,10923,0.08275826927328116,0.17467634663953938,0.006479218602180481,0.004103285726159811,0.9480912089347839,0.025623001041822135
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19803209726038984,0.3485332112543036,0.01670464687049389,0.01779438741505146,0.8686262965202332,0.012149028945714235
Bioresponse,LimiX_GPU,2500,1251,0.27716708429010767,0.4287418456953745,0.023487113416194916,0.03589871898293495,0.7993605136871338,0.007894172915257514
E-CommereShippingData,LimiX_GPU,7332,3667,0.3551627007055804,0.5189208388765941,0.057499468326568604,0.017438173294067383,0.6885737776756287,0.012446168926544487
Fitness_Club,LimiX_GPU,1000,500,0.31531915899282636,0.48029762910938245,0.03326715528964996,0.039099257439374924,0.7680000066757202,0.006844526040367782
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26799189665215534,0.4224912909738277,0.006937416270375252,0.010744270868599415,0.8080175518989563,0.01824920705985278
Is-this-a-good-customer,LimiX_GPU,1148,575,0.19061581470871425,0.3263237260315491,0.014737812802195549,0.022699719294905663,0.8852173686027527,0.007387922960333526
Marketing_Campaign,LimiX_GPU,1493,747,0.13336267527677867,0.2116454438434556,0.011788478121161461,0.016119886189699173,0.9022757411003113,0.007249734015204012
NATICUSdroid,LimiX_GPU,4994,2497,0.0857949379686186,0.278111285100306,0.0074128396809101105,0.015357737429440022,0.9423307776451111,0.010272538987919688
bank-marketing,LimiX_GPU,30140,15071,0.17174877498517355,0.2995446464692683,0.008926281705498695,0.008936398662626743,0.8944993615150452,0.03451230505015701
blood-transfusion-service-center,LimiX_GPU,498,250,0.3094854164953285,0.5006283318083266,0.054032519459724426,0.09502094984054565,0.800000011920929,0.006418431061320007
churn,LimiX_GPU,3333,1667,0.06663545105582844,0.33606033230701227,0.01393374614417553,0.013323971070349216,0.9586082696914673,0.00882820098195225
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10566379206369968,0.19863476938251906,0.007217706181108952,0.005356870125979185,0.9404398202896118,0.012079351930879056
credit-g,LimiX_GPU,666,334,0.31711849982984514,0.49576271234439334,0.042546771466732025,0.07601093500852585,0.796407163143158,0.0066609689965844154
credit_card_clients_default,LimiX_GPU,20000,10000,0.26353117195712483,0.4210417041335591,0.012431703507900238,0.01073300838470459,0.8226000070571899,0.02560021902900189
diabetes,LimiX_GPU,512,256,0.3167127436458537,0.8038868513621239,0.028344612568616867,0.06172621250152588,0.77734375,0.006662689032964408
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07287856443383779,0.12624821022401989,0.007867872714996338,0.0146968187764287,0.949999988079071,0.007525171968154609
heloc,LimiX_GPU,6972,3487,0.36350523516532923,0.5915743116023094,0.019687410444021225,0.02506677806377411,0.7324347496032715,0.012665843009017408
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3525649339508172,0.5307466302608351,0.0208282470703125,0.02516467683017254,0.7388836145401001,0.013547552982345223
