dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
coil2000_insurance_policies,TabICLv2,6548,3274,0.10543328308868823,0.1995415579522823,0.00511567760258913,0.004661486949771643,0.9407452940940857,0.03818530589342117
credit-g,TabICLv2,666,334,0.32924997310829623,,0.04146019369363785,0.05839383974671364,0.7514970302581787,0.004500677343457937
credit_card_clients_default,TabICLv2,20000,10000,0.2617505441219974,0.4183744919388131,0.005096896551549435,0.013297195546329021,0.8228999972343445,0.1159306988120079
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.053006224066449524,,0.0015404615551233292,0.003810747992247343,0.9622118473052979,0.5159492869861424
diabetes,TabICLv2,512,256,0.3026620973411565,0.4598489090222324,0.02478596568107605,0.07780563086271286,0.75390625,0.003748479299247265
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050876618212513394,,0.007185349240899086,0.020098356530070305,0.9637500047683716,0.01020862115547061
heloc,TabICLv2,6972,3487,0.3627056184657306,0.5422443480516604,0.01200617104768753,0.01769283227622509,0.7315744161605835,0.04166161920875311
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.31165113728077626,0.47749816989806587,0.010162070393562317,0.023221777752041817,0.7800378203392029,0.04919901629909873
jm1,TabICLv2,7256,3629,0.26147641968300345,0.4134109547901881,0.01924554817378521,0.017972251400351524,0.8200606107711792,0.04186127195134759
kddcup09_appetency,TabICLv2,33333,16667,0.03351997435028672,,0.001796645112335682,0.0016299935523420572,0.9821803569793701,0.19368254719302058
online_shoppers_intention,TabICLv2,8220,4110,0.1405915864275745,,0.006721721962094307,0.011939849704504013,0.9009732604026794,0.04841998405754566
polish_companies_bankruptcy,TabICLv2,3940,1970,0.030835999225610318,,0.007927801460027695,0.0118781216442585,0.9807106852531433,0.02364649996161461
qsar-biodeg,TabICLv2,702,352,0.17272470182401864,0.2990857504011131,0.0341322235763073,0.059630054980516434,0.8863636255264282,0.004856477025896311
seismic-bumps,TabICLv2,1722,862,0.10820958699155385,0.20091630137132765,0.010960385203361511,0.011628534644842148,0.9338747262954712,0.010794923175126314
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04225483854065288,,0.005325106903910637,0.008112145587801933,0.9709634780883789,0.02644916297867894
APSFailure,RealTabPFN-v2.5,50666,25334,0.008805123164714415,,0.0017638097051531076,0.003076139371842146,0.9945527911186218,0.294861011672765
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08384638630686558,,0.0037779067642986774,0.007994444109499454,0.9480912089347839,0.12762247072532773
