dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
credit_card_clients_default,LimiX_GPU,20000,10000,0.2638386996779348,0.42123722657933516,0.004550781100988388,0.010581538081169128,0.8219000101089478,0.38246212899684906
diabetes,LimiX_GPU,512,256,0.3112483188998587,0.4710296714170668,0.025293052196502686,0.05991307273507118,0.77734375,0.1635918766260147
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07333513586161305,0.1274003190600997,0.011098075658082962,0.02033616043627262,0.9524999856948853,0.17549268528819084
heloc,LimiX_GPU,6972,3487,0.3627603125034502,0.5425418161629458,0.019206445664167404,0.02150842919945717,0.7367364764213562,0.25771092623472214
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3526026281325699,0.5307553085495835,0.013066083192825317,0.024022119119763374,0.7398297190666199,0.27440308779478073
jm1,LimiX_GPU,7256,3629,0.2666936186001757,0.42291387547962817,0.010432068258523941,0.014005864970386028,0.8134472370147705,0.2519671507179737
online_shoppers_intention,LimiX_GPU,8220,4110,0.14297111798352585,0.2290360414635941,0.006867606192827225,0.013279234990477562,0.8992700576782227,0.27982475236058235
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05247635979705519,0.093396588958386,0.004002239555120468,0.009380852803587914,0.9639593958854675,0.20879685878753662
qsar-biodeg,LimiX_GPU,702,352,0.17631320354120483,0.2991661420083291,0.03254038095474243,0.037007130682468414,0.8778409361839294,0.17059272900223732
seismic-bumps,LimiX_GPU,1722,862,0.10961119664193453,0.20526175752065864,0.0143873430788517,0.014339976012706757,0.9338747262954712,0.1794024109840393
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.044620838754400455,0.08076132806897601,0.005463644862174988,0.010029236786067486,0.9714034199714661,0.20829298347234726
APSFailure,TabM_GPU,50666,25334,0.008882429634629692,0.016651755268248643,0.0009571057744324207,0.0014364811358973384,0.9940791130065918,0.6416761726140976
Amazon_employee_access,TabM_GPU,21846,10923,0.08900918302999136,0.1670189404762052,0.004702302627265453,0.0058083669282495975,0.9437883496284485,0.4033069461584091
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19682695878971213,0.3219417673594839,0.006823631003499031,0.019834544509649277,0.86652672290802,0.23590749502182007
Bioresponse,TabM_GPU,2500,1251,0.2853954776717224,0.4443203822017663,0.01770433783531189,0.03251134976744652,0.7905675172805786,0.19278478249907494
Diabetes130US,TabM_GPU,47678,23840,0.15458988132762413,0.28181607317847207,0.0049522994086146355,0.0044287811033427715,0.9119966626167297,0.6488805636763573
