dataset,model,cal_size,test_size,Affine_brier,Affine_logloss,Affine_kuiper,Affine_ece-15,Affine_accuracy,Affine_time
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.03332109344757241,0.07531086341103674,0.001581748016178608,0.0005823779501952231,0.9821803569793701,0.020488156005740166
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.13934552371008427,0.2234719819146028,0.004576594568789005,0.009761442430317402,0.9024330973625183,0.00710463710129261
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022004518470097847,0.04940324351148979,0.0050332872197031975,0.0074204858392477036,0.9873096346855164,0.0048711858689785
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18346649123074163,0.4180595462394496,0.02970282733440399,0.04888961464166641,0.8806818127632141,0.003227103501558304
seismic-bumps,RealTabPFN-v2.5,1722,862,0.1095518033062095,0.20268713477324202,0.009940828196704388,0.012597634457051754,0.9338747262954712,0.00453986506909132
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04310331284845383,0.07772739049599188,0.005460389424115419,0.00903177447617054,0.9718433618545532,0.006535409949719906
APSFailure,TabICL_GPU,50666,25334,0.00871581447274209,0.016176779254787724,0.0010430560214444995,0.0013603074476122856,0.9942764639854431,0.024884695187211037
Amazon_employee_access,TabICL_GPU,21846,10923,0.0808145861665807,0.15566741485030305,0.0027117207646369934,0.0055422126315534115,0.9480912089347839,0.012405557557940483
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.1996112445507702,0.3263460041172523,0.006570449098944664,0.012980709783732891,0.8644270896911621,0.005313465371727943
Diabetes130US,TabICL_GPU,47678,23840,0.1559408250114859,0.28514370955772994,0.0024280399084091187,0.0016884200740605593,0.9119966626167297,0.037322175689041615
E-CommereShippingData,TabICL_GPU,7332,3667,0.3557663362720861,0.49701799286184156,0.014445267617702484,0.010748779401183128,0.6861194372177124,0.0064440034329891205
Fitness_Club,TabICL_GPU,1000,500,0.31368541991096277,0.47726245478368196,0.023850757628679276,0.052934497594833374,0.7739999890327454,0.0025395378470420837
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09780235155815703,0.17617079193161045,0.0009850063361227512,0.0029051387682557106,0.9376400113105774,0.05068469047546387
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2688863408140753,0.4235884782022922,0.009412471204996109,0.013833555392920971,0.8039461374282837,0.008092903532087803
Is-this-a-good-customer,TabICL_GPU,1148,575,0.18744118599155885,0.31990409576111384,0.016020718961954117,0.022827597334980965,0.886956512928009,0.0027841469272971153
Marketing_Campaign,TabICL_GPU,1493,747,0.14241605922369113,0.22754935393315998,0.016696872189641,0.04061604291200638,0.9036144614219666,0.0029450980946421623
NATICUSdroid,TabICL_GPU,4994,2497,0.07883607513991392,0.1365590079459761,0.0035504186525940895,0.008353350684046745,0.9467360973358154,0.004581134766340256
bank-marketing,TabICL_GPU,30140,15071,0.17206653967887064,0.29984071329309114,0.0037457405123859644,0.008965466171503067,0.8939685225486755,0.016973071731626987
blood-transfusion-service-center,TabICL_GPU,498,250,0.3144278160532003,0.4972895636559635,0.05052798613905907,0.10270700603723526,0.7839999794960022,0.0024719582870602608
churn,TabICL_GPU,3333,1667,0.06733299637677072,0.13743322682753278,0.011933978646993637,0.012355522252619267,0.9604079127311707,0.003795219585299492
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10567942322019598,0.20276357453019697,0.005394899286329746,0.0034079912584275007,0.9404398202896118,0.006231361068785191
credit-g,TabICL_GPU,666,334,0.33443483498930165,0.5045967060488468,0.04310242831707001,0.07532485574483871,0.7634730339050293,0.0023860111832618713
credit_card_clients_default,TabICL_GPU,20000,10000,0.26345509490182506,0.4209751184085537,0.0059955064207315445,0.013034258037805557,0.8216999769210815,0.011348336935043335
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.0571319084594109,0.09133173033010493,0.0019534816965460777,0.003138659056276083,0.9596710801124573,0.03748608939349651
diabetes,TabICL_GPU,512,256,0.3097715042982181,0.4663797065366593,0.018731791526079178,0.06300032883882523,0.76171875,0.0025913724675774574
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.0661820179295948,0.1197817145702896,0.008677199482917786,0.019756989553570747,0.9587500095367432,0.002726948820054531
heloc,TabICL_GPU,6972,3487,0.36518781513931525,0.5456091639764384,0.011421255767345428,0.01958189532160759,0.7312876582145691,0.004685374908149242
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3072354671477297,0.47144954385064053,0.009768754243850708,0.023773401975631714,0.7786187529563904,0.005112571641802788
jm1,TabICL_GPU,7256,3629,0.2558153212970653,0.4078491190727057,0.0064470116049051285,0.009141046553850174,0.8219895362854004,0.005774170160293579
kddcup09_appetency,TabICL_GPU,33333,16667,0.03366783135661591,0.07704533822992353,0.0016973244491964579,0.000977252027951181,0.9821803569793701,0.022250804118812084
online_shoppers_intention,TabICL_GPU,8220,4110,0.14120192261603032,0.22561608941398764,0.007021243683993816,0.010685844346880913,0.8995133638381958,0.006196844391524792
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04198822414885746,0.08044326501964856,0.005524804349988699,0.01081512589007616,0.9746192693710327,0.003971786238253117
qsar-biodeg,TabICL_GPU,702,352,0.17479336006422858,0.2993699920099384,0.0337122306227684,0.055875930935144424,0.8806818127632141,0.0025298548862338066
seismic-bumps,TabICL_GPU,1722,862,0.11078788419354972,0.2045871445897466,0.010213561356067657,0.018023798242211342,0.9338747262954712,0.0035473015159368515
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.044300403471292056,0.08078466432594565,0.0062352558597922325,0.007535038515925407,0.9722833037376404,0.004961070604622364
Amazon_employee_access,LimiX_GPU,21846,10923,0.08300240067650608,0.16028206235135567,0.0037710494361817837,0.004570774734020233,0.9479996562004089,0.011030437424778938
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19666240533504076,0.32157889752337815,0.006767329294234514,0.014394539408385754,0.8668266534805298,0.005170364864170551
Bioresponse,LimiX_GPU,2500,1251,0.27510360126064903,0.425286880240717,0.02464817464351654,0.0377749502658844,0.8001598715782166,0.0029239095747470856
E-CommereShippingData,LimiX_GPU,7332,3667,0.3542907597845348,0.49503731734756284,0.009211868047714233,0.0027338110376149416,0.6883010864257812,0.005785289220511913
Fitness_Club,LimiX_GPU,1000,500,0.3145970491605837,0.4787446318463367,0.01706789806485176,0.041901495307683945,0.7739999890327454,0.002556759864091873
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26849173757743877,0.4229049026900051,0.00920817255973816,0.01445766445249319,0.8033197522163391,0.007505664601922035
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18795561652183101,0.3220686234917859,0.010095993056893349,0.027272002771496773,0.886956512928009,0.0030016647651791573
Marketing_Campaign,LimiX_GPU,1493,747,0.13236281231100278,0.2136371388244085,0.013567226007580757,0.027200177311897278,0.904953122138977,0.002832045778632164
NATICUSdroid,LimiX_GPU,4994,2497,0.08436653814749014,0.1443394495236086,0.006971965543925762,0.01281904336065054,0.9435322284698486,0.003646428696811199
bank-marketing,LimiX_GPU,30140,15071,0.1716691573399836,0.2992321153484443,0.0057783182710409164,0.008829278871417046,0.8941676020622253,0.01539095863699913
blood-transfusion-service-center,LimiX_GPU,498,250,0.30576412894953375,0.48500118773659345,0.05058731138706207,0.07887797057628632,0.7919999957084656,0.0025287894532084465
churn,LimiX_GPU,3333,1667,0.0682570741833643,0.14200424591807012,0.016345646232366562,0.016367098316550255,0.9604079127311707,0.003650680184364319
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10485737923117044,0.19767692333796894,0.004300178959965706,0.003929187543690205,0.9404398202896118,0.005961203947663307
credit-g,LimiX_GPU,666,334,0.31139103251234296,0.47721945979757396,0.04019805043935776,0.06515251100063324,0.796407163143158,0.0023875078186392784
credit_card_clients_default,LimiX_GPU,20000,10000,0.26384695395403696,0.4212113782010886,0.0053080059587955475,0.008806517347693443,0.8219000101089478,0.01255542691797018
diabetes,LimiX_GPU,512,256,0.3105128754201383,0.4683367648934509,0.02739107608795166,0.06327392905950546,0.75390625,0.002363174222409725
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07259925283415711,0.12966220277971016,0.009394653141498566,0.029967593029141426,0.9549999833106995,0.0028510447591543198
heloc,LimiX_GPU,6972,3487,0.3628875285089189,0.5429365926218731,0.01785106211900711,0.024768730625510216,0.7332950830459595,0.004524244926869869
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35153218666725583,0.5295877032378079,0.012922070920467377,0.022784044966101646,0.7452696561813354,0.0051462482661008835
jm1,LimiX_GPU,7256,3629,0.26643071756868986,0.4217438765943033,0.009427257813513279,0.017249267548322678,0.8134472370147705,0.005972729064524174
online_shoppers_intention,LimiX_GPU,8220,4110,0.14263049627700194,0.22816218265961433,0.00638263113796711,0.014316522516310215,0.8978102207183838,0.005839620716869831
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05240524720778396,0.09245068607294203,0.004985325038433075,0.014450275339186192,0.965482234954834,0.004201557487249374
qsar-biodeg,LimiX_GPU,702,352,0.17280455910484804,0.30645042799277844,0.030857764184474945,0.05230823531746864,0.8948863744735718,0.0025952570140361786
seismic-bumps,LimiX_GPU,1722,862,0.10937890636507591,0.20426823052331747,0.011755077168345451,0.01335305254906416,0.9338747262954712,0.0027456702664494514
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04394900439980876,0.07999907550796719,0.0068673426285386086,0.008671357296407223,0.9718433618545532,0.004784941673278809
APSFailure,TabM_GPU,50666,25334,0.009032541056546804,0.016870392788431637,0.0011448758887127042,0.0017906555440276861,0.9940396547317505,0.02139409724622965
Amazon_employee_access,TabM_GPU,21846,10923,0.08919556418601389,0.1682336600851057,0.0063685402274131775,0.006420576013624668,0.9430559277534485,0.012220881879329681
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19594907180539828,0.3205922886491184,0.006855851970613003,0.017755359411239624,0.8662267327308655,0.005035248585045338
Bioresponse,TabM_GPU,2500,1251,0.2868345450926466,0.4474060386452937,0.028896808624267578,0.053189028054475784,0.7937650084495544,0.004308410920202732
Diabetes130US,TabM_GPU,47678,23840,0.15463730638237158,0.2817964289609855,0.003013426437973976,0.004520801827311516,0.9119966626167297,0.02884000912308693
E-CommereShippingData,TabM_GPU,7332,3667,0.3581744309998276,0.5003020590916797,0.023287907242774963,0.030211426317691803,0.6697573065757751,0.005872803740203381
Fitness_Club,TabM_GPU,1000,500,0.31495193725598436,0.48072910347381276,0.02117956057190895,0.057778455317020416,0.7760000228881836,0.0028974786400794983
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09687068598592752,0.1751235581610148,0.0012180483900010586,0.0031622606329619884,0.9387400150299072,0.04097866453230381
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.27103049697304993,0.4261710238411007,0.014409810304641724,0.02637438476085663,0.8003445267677307,0.008058234117925167
Is-this-a-good-customer,TabM_GPU,1148,575,0.19137999394613572,0.3285939760925343,0.012632468715310097,0.03287911415100098,0.8852173686027527,0.0032406821846961975
Marketing_Campaign,TabM_GPU,1493,747,0.14266640487231505,0.22603497944342588,0.01563754491508007,0.03415687754750252,0.8969210386276245,0.003116471692919731
NATICUSdroid,TabM_GPU,4994,2497,0.08442544833031274,0.14292216384188597,0.0074181873351335526,0.014007714577019215,0.9407289028167725,0.004056204110383987
bank-marketing,TabM_GPU,30140,15071,0.17197384272592073,0.29965976489315665,0.004239931702613831,0.007255753502249718,0.8942339420318604,0.01403802540153265
blood-transfusion-service-center,TabM_GPU,498,250,0.313607085622051,0.49703191083668063,0.05654742568731308,0.12079864740371704,0.7919999957084656,0.002412978559732437
churn,TabM_GPU,3333,1667,0.07017730603505586,0.15062745376334277,0.023134877905249596,0.03314847871661186,0.9634073376655579,0.0038145137950778008
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10588210021182023,0.20249571320364698,0.005692046135663986,0.008406117558479309,0.9404398202896118,0.005158759653568268
credit-g,TabM_GPU,666,334,0.327087997328424,0.49650330221288175,0.03321070969104767,0.040140651166439056,0.7664670944213867,0.002361227758228779
credit_card_clients_default,TabM_GPU,20000,10000,0.2634463572619002,0.42062616003454095,0.005711697041988373,0.009994039312005043,0.8230000138282776,0.010387696325778961
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.052454848420634054,0.08291454408957065,0.0009890804067254066,0.0024221823550760746,0.9625583291053772,0.03726090211421251
diabetes,TabM_GPU,512,256,0.32235405172350545,0.48626173260132133,0.027813278138637543,0.07207003235816956,0.7734375,0.002710331231355667
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.1062973406218444,0.17915760808258063,0.011641673743724823,0.023540237918496132,0.9225000143051147,0.003008968196809292
heloc,TabM_GPU,6972,3487,0.3658053860836369,0.545720999580175,0.01377030462026596,0.01928231306374073,0.7304273247718811,0.004281376488506794
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.3008612280965011,0.46291917707739616,0.014285653829574585,0.02414211444556713,0.785004734992981,0.005072814412415028
