dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
bank-marketing,TabPFN-v2.6,30140,15071,0.17189598781338145,0.2993971306757215,0.004319995176047087,0.009153231047093868,0.8937695026397705,0.04197419062256813
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3085310950414471,0.4882440804586921,0.043069638311862946,0.08644451200962067,0.7799999713897705,0.010179396718740463
churn,TabPFN-v2.6,3333,1667,0.05773116111620843,0.11992125497152978,0.004652936942875385,0.015724463388323784,0.9646070599555969,0.010927602648735046
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10554287434761452,0.19992027398209264,0.006173688918352127,0.0076422784477472305,0.9401344060897827,0.04148389399051666
credit-g,TabPFN-v2.6,666,334,0.3321239277939967,0.4993387238713872,0.03902462124824524,0.05427846312522888,0.7455089688301086,0.004160143435001373
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2624951062535409,0.41946965640282835,0.004637225065380335,0.010284979827702045,0.8235999941825867,0.0419798344373703
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05263361990116038,0.08405663048039738,0.0009914261754602194,0.0022407667711377144,0.9630433917045593,0.15242695808410645
diabetes,TabPFN-v2.6,512,256,0.30959250715736886,0.4667911664594778,0.023488549515604973,0.08302449434995651,0.76171875,0.010095886886119843
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06590522353780051,0.12165696124715328,0.014600875787436962,0.020422013476490974,0.9612500071525574,0.0068972148001194
heloc,TabPFN-v2.6,6972,3487,0.3632834167690776,0.5430453957573443,0.011686567217111588,0.016435515135526657,0.7324347496032715,0.03318537026643753
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.2981596154342257,0.46075685681040607,0.012785105034708977,0.020537739619612694,0.7894985675811768,0.016058791428804398
jm1,TabPFN-v2.6,7256,3629,0.2575308946712003,0.41311966565612557,0.010809637606143951,0.017485715448856354,0.8219895362854004,0.01428191363811493
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.033335818074918755,0.07523098568218177,0.0017284732311964035,0.0011184507748112082,0.9821803569793701,0.07247763872146606
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13890246365056455,0.22296107678920057,0.005945159588009119,0.011243567802011967,0.9031630158424377,0.015839289873838425
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.02547287308888441,0.05282663150564916,0.004785854369401932,0.006624091416597366,0.9842639565467834,0.007873494178056717
qsar-biodeg,TabPFN-v2.6,702,352,0.18510519557577576,0.317287771874005,0.024882540106773376,0.04379098489880562,0.8721590638160706,0.01011459156870842
seismic-bumps,TabPFN-v2.6,1722,862,0.11025441492741567,0.2036219507999096,0.009560056030750275,0.01180692296475172,0.9338747262954712,0.016984324902296066
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04317061484771635,0.07800762879143981,0.003983167931437492,0.010352723300457,0.9714034199714661,0.020858969539403915
APSFailure,TabICLv2,50666,25334,0.007902494670969106,0.0144885176509918,0.0005874681519344449,0.0009732195758260787,0.9947106838226318,0.08265236392617226
Amazon_employee_access,TabICLv2,21846,10923,0.08105363849240357,0.1555745267319124,0.0030171407852321863,0.004431338515132666,0.9488235712051392,0.07481857016682625
Bank_Customer_Churn,TabICLv2,6666,3334,0.19653911497162554,0.3214960474783929,0.00965209025889635,0.02733457460999489,0.8677264451980591,0.01345939189195633
