dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26417779695747495,0.42175016879653804,0.006256642285734415,0.011644941754639149,0.822700023651123,0.17887858301401138
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07088025601397943,0.11620085449819156,0.0017539238324388862,0.002606807043775916,0.949438750743866,0.6077616959810257
diabetes,BetaTabPFN_GPU,512,256,0.3156784385653103,0.4779323926857816,0.024613481014966965,0.07081039994955063,0.76953125,0.028827622532844543
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12597873437992177,0.2159427833576374,0.015047881752252579,0.022325262427330017,0.9200000166893005,0.03707415610551834
heloc,BetaTabPFN_GPU,6972,3487,0.36518296808486794,0.545765776420969,0.014121616259217262,0.025069018825888634,0.7315744161605835,0.09577864781022072
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.3212082428812063,0.49032599773669233,0.011449167504906654,0.021030688658356667,0.7665562629699707,0.1071634292602539
jm1,BetaTabPFN_GPU,7256,3629,0.2691636762784727,0.4263317888432801,0.00939716212451458,0.017709966748952866,0.811793863773346,0.09553379192948341
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03378721225088835,0.07856888060591112,0.001705386326648295,0.001679887413047254,0.9821803569793701,0.25260961428284645
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14197708725435132,0.2297658565709957,0.00887906551361084,0.009333929046988487,0.9004865884780884,0.10475541278719902
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.046892848938629446,0.08940946991953681,0.007037794217467308,0.012062761932611465,0.9736040830612183,0.060907620936632156
qsar-biodeg,BetaTabPFN_GPU,702,352,0.19988290729709737,0.3309868250863232,0.03390370309352875,0.05087636411190033,0.8664772510528564,0.027356982231140137
seismic-bumps,BetaTabPFN_GPU,1722,862,0.11071654797644373,0.20334593844148766,0.007860161364078522,0.011510996147990227,0.9338747262954712,0.038294341415166855
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04392301623515673,0.07934625653269303,0.004514108877629042,0.00909687951207161,0.9714034199714661,0.05944346636533737
APSFailure,ModernNCA_GPU,50666,25334,0.00948907097351254,0.017860466001361347,0.001994719263166189,0.0030673749279230833,0.9938027858734131,0.334325410425663
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08159617144240011,0.15691679199149686,0.012999631464481354,0.016558365896344185,0.9488235712051392,0.1877083107829094
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19967518784482188,0.3265975909456466,0.007735502440482378,0.018082065507769585,0.862327516078949,0.07596991956233978
Bioresponse,ModernNCA_GPU,2500,1251,0.2913220331881726,0.4549819917705435,0.022177210077643394,0.04623552784323692,0.7929656505584717,0.04967200756072998
Diabetes130US,ModernNCA_GPU,47678,23840,0.15472804834899523,0.2830062831107836,0.003563818521797657,0.004525530152022839,0.9119966626167297,0.3392377197742462
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3610344378342107,0.5053944971895235,0.026769906282424927,0.03533138707280159,0.6793018579483032,0.09565731883049011
Fitness_Club,ModernNCA_GPU,1000,500,0.3320299177459748,0.5057627313335291,0.029960624873638153,0.047967251390218735,0.7519999742507935,0.029237080365419388
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09699811457339275,0.17546845117169724,0.0014314325526356697,0.0027940550353378057,0.9387400150299072,0.6547056026756763
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.26971414063675314,0.4249976110808485,0.011036965996026993,0.020658645778894424,0.8025367856025696,0.1320674978196621
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19299514480429855,0.3308796781252695,0.02027139626443386,0.021874984726309776,0.8852173686027527,0.03373565524816513
Marketing_Campaign,ModernNCA_GPU,1493,747,0.13636519353185678,0.22166990550525548,0.02390950545668602,0.03700825572013855,0.9036144614219666,0.03527342528104782
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08803640078211233,0.15056436857336067,0.00827039871364832,0.013099507428705692,0.9411293268203735,0.06683289632201195
bank-marketing,ModernNCA_GPU,30140,15071,0.17235279334371628,0.30039515617786994,0.0032615363597869873,0.00559333385899663,0.8940349221229553,0.2373681366443634
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.30819828761318985,0.4941212458070945,0.03844314441084862,0.0658765360713005,0.7960000038146973,0.027654368430376053
churn,ModernNCA_GPU,3333,1667,0.06343545258558161,0.13162432158139464,0.013111138716340065,0.01847866177558899,0.9592081308364868,0.0503634549677372
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10831053878938633,0.20837183438874138,0.008980924263596535,0.015196172520518303,0.9404398202896118,0.08806236833333969
credit-g,ModernNCA_GPU,666,334,0.3423704771360579,0.5168516275216288,0.04144393280148506,0.06304757297039032,0.742514967918396,0.02812548726797104
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.26437451399149414,0.42224962947799616,0.007398133631795645,0.01090067159384489,0.8227999806404114,0.17232205718755722
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.05498648855020446,0.08826517008738677,0.0016227442538365722,0.0026683351024985313,0.9609183669090271,0.6021295934915543
diabetes,ModernNCA_GPU,512,256,0.3283781294631764,0.4986799170363805,0.031463295221328735,0.05729715898633003,0.76171875,0.026223033666610718
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08708978893909272,0.15732806056254145,0.014143399894237518,0.030107341706752777,0.9462500214576721,0.03968004509806633
heloc,ModernNCA_GPU,6972,3487,0.3638624461319024,0.5438293833940477,0.010420750826597214,0.015897877514362335,0.7307140827178955,0.09193047136068344
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.31586828032268177,0.4847491941905869,0.026290923357009888,0.04901622235774994,0.7741248607635498,0.10623053833842278
jm1,ModernNCA_GPU,7256,3629,0.2650837198568022,0.4208361294604791,0.008665919303894043,0.02235737070441246,0.8128961324691772,0.09086944907903671
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.033812782610518545,0.07793315602989767,0.0012387849856168032,0.001836353330872953,0.9821803569793701,0.2554994486272335
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14099787740360387,0.22886770160640862,0.006414653733372688,0.010800705291330814,0.9002432823181152,0.10822541266679764
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.03970646371526356,0.07903555115523497,0.008926945738494396,0.014543182216584682,0.9756345152854919,0.058776311576366425
qsar-biodeg,ModernNCA_GPU,702,352,0.19010571467862905,0.32034001158802816,0.0288810133934021,0.05376967787742615,0.8778409361839294,0.027206014841794968
seismic-bumps,ModernNCA_GPU,1722,862,0.11164590184877307,0.20793608056098004,0.011041859164834023,0.014191200025379658,0.9338747262954712,0.03946000337600708
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.044876925116478,0.08289446706183812,0.006087899673730135,0.006692335940897465,0.9700835943222046,0.06128723919391632
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19770439582762891,0.3230355029546663,0.011296114884316921,0.021584149450063705,0.8689262270927429,0.07903071865439415
E-CommereShippingData,Mitra_GPU,7332,3667,0.3558732274476897,0.497263656834536,0.015369363129138947,0.020223332569003105,0.6806653738021851,0.094945028424263
Fitness_Club,Mitra_GPU,1000,500,0.31148256216306086,0.475945051892135,0.02070605754852295,0.041696738451719284,0.7760000228881836,0.0296015702188015
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19326227566511567,0.32828946904746437,0.013207374140620232,0.017999880015850067,0.8782608509063721,0.030969124287366867
Marketing_Campaign,Mitra_GPU,1493,747,0.14209194703099703,0.22833164972513342,0.017725173383951187,0.030929584056138992,0.8929049372673035,0.0332987904548645
NATICUSdroid,Mitra_GPU,4994,2497,0.08619445368729325,0.14580712057249964,0.007454782724380493,0.01016932725906372,0.9399279356002808,0.06873691454529762
blood-transfusion-service-center,Mitra_GPU,498,250,0.30586419270430587,0.48695515306598874,0.04437517747282982,0.09173981100320816,0.8040000200271606,0.02647171914577484
churn,Mitra_GPU,3333,1667,0.041532268407505527,0.09637193116854659,0.010564780794084072,0.012186948210000992,0.976604700088501,0.04965316504240036
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10651720706129211,0.20280276865129357,0.00444558821618557,0.003501224098727107,0.9404398202896118,0.0861792042851448
credit-g,Mitra_GPU,666,334,0.33480660132537027,0.5172632862455137,0.04480801895260811,0.07128569483757019,0.7604790329933167,0.026587817817926407
diabetes,Mitra_GPU,512,256,0.316296561896575,0.47675321578832397,0.025005651637911797,0.05296322703361511,0.765625,0.025301363319158554
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.0848749050204757,0.14550635461691866,0.014039995148777962,0.017180034890770912,0.9424999952316284,0.03768230229616165
heloc,Mitra_GPU,6972,3487,0.36338361737823366,0.5435127915215969,0.012869354337453842,0.023285003378987312,0.735589325428009,0.09073879942297935
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.32261199812214464,0.49362032576937925,0.018635109066963196,0.03486039489507675,0.7698675394058228,0.10299403965473175
jm1,Mitra_GPU,7256,3629,0.26650735075336146,0.4235585992134099,0.007559791207313538,0.017670296132564545,0.8173050284385681,0.08861637115478516
online_shoppers_intention,Mitra_GPU,8220,4110,0.14121450155596232,0.22637319229535113,0.006810156628489494,0.015291297808289528,0.8999999761581421,0.10739408805966377
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04146655185863246,0.07830044599479888,0.010387321934103966,0.018548203632235527,0.9746192693710327,0.060251206159591675
qsar-biodeg,Mitra_GPU,702,352,0.18499238539897497,0.31173547411849134,0.030817443504929543,0.04030141606926918,0.8806818127632141,0.02868467941880226
seismic-bumps,Mitra_GPU,1722,862,0.11027026028041978,0.20460404697091364,0.008514340966939926,0.004961422644555569,0.9350348114967346,0.03537256643176079
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.04422095046902052,0.08053868650531319,0.0036247982643544674,0.006201399490237236,0.9705235362052917,0.061285559087991714
APSFailure,TabDPT_GPU,50666,25334,0.011431776489181816,0.02042503324930887,0.0006748298183083534,0.0011535239173099399,0.9923028349876404,0.3481856845319271
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08123184835887175,0.15751804298170213,0.003080412745475769,0.002718853298574686,0.9485489130020142,0.19079351425170898
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.1994469238593783,0.32703043966647344,0.006257226690649986,0.013034532777965069,0.8662267327308655,0.08158242329955101
Bioresponse,TabDPT_GPU,2500,1251,0.28128839215894963,0.4396421886192241,0.023767679929733276,0.03610573709011078,0.8017585873603821,0.04786866903305054
Diabetes130US,TabDPT_GPU,47678,23840,0.15577224436445516,0.28520643930375117,0.0031639747321605682,0.001966176088899374,0.9119966626167297,0.3456908166408539
E-CommereShippingData,TabDPT_GPU,7332,3667,0.35777600606154664,0.5011465225540046,0.019233338534832,0.02262972667813301,0.6891191601753235,0.096218291670084
Fitness_Club,TabDPT_GPU,1000,500,0.3163481690766063,0.48135098050214664,0.021148711442947388,0.03801002353429794,0.7680000066757202,0.03011728823184967
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09806466157005383,0.1771934233619655,0.002248595003038645,0.0018107406795024872,0.9373199939727783,0.6669339686632156
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.26982571477892675,0.42520678544832,0.010505974292755127,0.01900925673544407,0.8048856854438782,0.1272943876683712
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.19186351257356443,0.32496817864197186,0.014569267630577087,0.019120071083307266,0.8852173686027527,0.0331081859767437
Marketing_Campaign,TabDPT_GPU,1493,747,0.14261265665385334,0.22772103715048367,0.012558545917272568,0.0301330778747797,0.9036144614219666,0.039083678275346756
