dataset,model,cal_size,test_size,Platt_brier,Platt_logloss,Platt_kuiper,Platt_ece-15,Platt_accuracy,Platt_time
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04498857654090637,0.09025445723706692,0.009728150442242622,0.009914134629070759,0.9727232456207275,0.01655144989490509
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19909641069488185,0.33130525121071264,0.021361708641052246,0.0387839674949646,0.8695260882377625,0.018769899383187294
E-CommereShippingData,Mitra_GPU,7332,3667,0.3614183849244936,0.507330904844496,0.02671484649181366,0.04215513914823532,0.6648486256599426,0.01968804933130741
Fitness_Club,Mitra_GPU,1000,500,0.3174700732453832,0.48446611103191767,0.0334877111017704,0.06419830024242401,0.7820000052452087,0.008581659756600857
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19397196070680237,0.3308219265459249,0.02308081090450287,0.045152775943279266,0.8765217661857605,0.012199060060083866
Marketing_Campaign,Mitra_GPU,1493,747,0.13963957864237286,0.23668730807150518,0.03163878619670868,0.051161300390958786,0.8955823183059692,0.010936114937067032
NATICUSdroid,Mitra_GPU,4994,2497,0.08781626394248715,0.15710817847495798,0.012581350281834602,0.019810296595096588,0.9415298104286194,0.015246757306158543
blood-transfusion-service-center,Mitra_GPU,498,250,0.30034717364271385,0.4747865403538857,0.040172770619392395,0.08930233120918274,0.8040000200271606,0.008143606595695019
churn,Mitra_GPU,3333,1667,0.04113869747800424,0.09734036102161278,0.010011307895183563,0.01149092148989439,0.97780442237854,0.011295241303741932
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10719450984619518,0.20675900459483962,0.010304567404091358,0.01398465409874916,0.9404398202896118,0.0170566625893116
credit-g,Mitra_GPU,666,334,0.32834699508766707,0.5013709106396571,0.032852303236722946,0.0689069926738739,0.7604790329933167,0.009403509087860584
diabetes,Mitra_GPU,512,256,0.31222422413683176,0.473945987170816,0.028520433232188225,0.0665702149271965,0.75390625,0.011011183261871338
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.0864922628658142,0.15780147089126206,0.016433358192443848,0.02873014286160469,0.9437500238418579,0.01123474445194006
heloc,Mitra_GPU,6972,3487,0.3622899389073642,0.5422993236518934,0.01515546441078186,0.02276414819061756,0.7358760833740234,0.019396687857806683
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.32029178988111334,0.49080986175745656,0.011349275708198547,0.02288055792450905,0.7715231776237488,0.021813304163515568
jm1,Mitra_GPU,7256,3629,0.2678490280594276,0.42593281948638306,0.014960791915655136,0.03171148523688316,0.8195095062255859,0.030113955959677696
online_shoppers_intention,Mitra_GPU,8220,4110,0.14656489197853767,0.24638804433400538,0.0236734077334404,0.034444574266672134,0.9017031788825989,0.023188224993646145
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.03965848865115123,0.08136084688256544,0.012186890468001366,0.020058054476976395,0.9746192693710327,0.014907277189195156
qsar-biodeg,Mitra_GPU,702,352,0.18863996799538085,0.3168271815045873,0.03918419033288956,0.05251528322696686,0.8607954382896423,0.009381121024489403
seismic-bumps,Mitra_GPU,1722,862,0.10821880200771007,0.2037120728341198,0.010479720309376717,0.01845959760248661,0.9350348114967346,0.010760278441011906
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.045760312418671546,0.08994889190491026,0.010975620709359646,0.012371034361422062,0.9705235362052917,0.01426518801599741
APSFailure,TabDPT_GPU,50666,25334,0.01246961677763564,0.026621059985440433,0.003564404556527734,0.002878847997635603,0.9921844005584717,0.12446985486894846
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08486433298206199,0.16609863737826544,0.013104415498673916,0.014162050560116768,0.9486404657363892,0.04143643192946911
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.20859443137120806,0.3510595501499858,0.032341502606868744,0.02855888195335865,0.8668266534805298,0.01843444723635912
Bioresponse,TabDPT_GPU,2500,1251,0.2796732519931058,0.43869495067238773,0.025071382522583008,0.034244339913129807,0.7977617979049683,0.012012367136776447
Diabetes130US,TabDPT_GPU,47678,23840,0.1558963130919429,0.2856743333907347,0.005702110007405281,0.00902340468019247,0.9117449522018433,0.11308937706053257
E-CommereShippingData,TabDPT_GPU,7332,3667,0.37325205363968594,0.5284703251488385,0.047046221792697906,0.07069505006074905,0.6640305519104004,0.02021961100399494
Fitness_Club,TabDPT_GPU,1000,500,0.3363137039053259,0.5156102901645205,0.055643871426582336,0.04007351025938988,0.777999997138977,0.010613723658025265
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.10078192887409226,0.18743869783059616,0.013740015216171741,0.016263587400317192,0.9367600083351135,0.14392549078911543
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.27307676509576223,0.4298235498469058,0.018790237605571747,0.030847422778606415,0.7968994379043579,0.03288123104721308
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.19958381627336425,0.34162458906363613,0.028985504060983658,0.022824358195066452,0.8765217661857605,0.009647203609347343
