dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
Bioresponse,BetaTabPFN_GPU,2500,1251,0.31524052762450255,0.48029141756399896,0.02889162302017212,0.04167059063911438,0.7641886472702026,0.09625176107510924
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.1550501185487635,0.28348767555090043,0.005993682891130447,0.005887157749384642,0.9119966626167297,0.9158503608778119
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3552695967741911,0.49723925295927623,0.021907061338424683,0.01811029575765133,0.6918461918830872,0.2324333069846034
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31445619655307694,0.4820804352921708,0.01763371005654335,0.0478643923997879,0.7820000052452087,0.05715656420215964
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09735190022966901,0.1761161277791357,0.0016738027334213257,0.00392540218308568,0.9380199909210205,2.2914817328564823
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2725424284648768,0.4287097322343606,0.011610079556703568,0.018168741837143898,0.8033197522163391,0.29405447700992227
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18866320050902088,0.32265703510657623,0.012969020754098892,0.029933040961623192,0.8852173686027527,0.049365181010216475
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13836840815503046,0.22412628884748467,0.017560699954628944,0.03123975731432438,0.9062918424606323,0.07274530874565244
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08571477868833412,0.1483819045089766,0.005898689851164818,0.01196946669369936,0.9435322284698486,0.1823667073622346
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17251618363791907,0.30069827793338655,0.005627300590276718,0.007960078306496143,0.8932386636734009,0.6362433820031583
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3196452931634017,0.5171220210465534,0.04653392732143402,0.08476857095956802,0.8119999766349792,0.043354107066988945
churn,BetaTabPFN_GPU,3333,1667,0.05987880592338208,0.12614671458357246,0.009067272767424583,0.016224727034568787,0.9640071988105774,0.12484631780534983
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10590084533370636,0.2034789953016637,0.004896867088973522,0.0035280671436339617,0.9404398202896118,0.16930274572223425
credit-g,BetaTabPFN_GPU,666,334,0.3439142791618868,0.5150093361653946,0.042412593960762024,0.07232315838336945,0.7455089688301086,0.047600784339010715
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.2639051733330719,0.4213337169499234,0.006738405674695969,0.010922306217253208,0.8227999806404114,0.48673087591305375
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07074388715402624,0.1159514066520442,0.0019233636558055878,0.00330766080878675,0.949508011341095,2.159224458038807
diabetes,BetaTabPFN_GPU,512,256,0.3221922051666236,0.48883609615006807,0.024491602554917336,0.06566014140844345,0.75390625,0.04741743905469775
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12650431479244673,0.21868124987948342,0.01565632037818432,0.03204913064837456,0.9200000166893005,0.08311139373108745
heloc,BetaTabPFN_GPU,6972,3487,0.36501691543140313,0.5454320847888037,0.01306343823671341,0.022213134914636612,0.7312876582145691,0.18662230670452118
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.3211988679241967,0.4900493512960905,0.012388646602630615,0.02215908281505108,0.768684983253479,0.24869586993008852
jm1,BetaTabPFN_GPU,7256,3629,0.2693198706083206,0.42721861651990983,0.00828966498374939,0.013401695527136326,0.811793863773346,0.20139268273487687
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03377513100998488,0.07828000686722658,0.002113274298608303,0.0008531060884706676,0.9821803569793701,0.6481174859218299
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14196279616232085,0.23072800472731697,0.00635905098170042,0.00860956683754921,0.9004865884780884,0.2689840509556234
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.046877461900646115,0.09038039663213221,0.008130963891744614,0.013583941385149956,0.9730964303016663,0.13692807219922543
qsar-biodeg,BetaTabPFN_GPU,702,352,0.20205433317454516,0.33655634399293366,0.03215653821825981,0.04734900966286659,0.8636363744735718,0.049957394134253263
seismic-bumps,BetaTabPFN_GPU,1722,862,0.11043363715892379,0.2032372530245833,0.010932954028248787,0.01563934236764908,0.9338747262954712,0.06810054974630475
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04411664749599775,0.08048439879847004,0.005138006526976824,0.008799287490546703,0.9714034199714661,0.13600286468863487
APSFailure,ModernNCA_GPU,50666,25334,0.009402888218894134,0.01785563787812742,0.0021720428485423326,0.003288720501586795,0.9940791130065918,1.1873667370527983
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08164014463679457,0.15699430525142702,0.013757908716797829,0.01696428284049034,0.9487320184707642,0.5147913759574294
