dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
heloc,TabICLv2,6972,3487,0.36290955543518066,0.5424647331237793,0.01199190691113472,0.02735750749707222,0.7338686585426331,0.9548517800867558
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3113915026187897,0.4774782061576843,0.009002583101391792,0.0217960886657238,0.7800378203392029,1.7069769161753356
jm1,TabICLv2,7256,3629,0.2600474953651428,0.4108434021472931,0.007618602365255356,0.01622532680630684,0.8197850584983826,1.050652528181672
kddcup09_appetency,TabICLv2,33333,16667,0.03429742902517319,0.08193907886743546,0.00946214608848095,0.008168166503310204,0.9821803569793701,6.31070212693885
online_shoppers_intention,TabICLv2,8220,4110,0.14209312200546265,0.23047229647636414,0.018270330503582954,0.022824404761195183,0.9002432823181152,1.788447740022093
polish_companies_bankruptcy,TabICLv2,3940,1970,0.02945571392774582,0.061407268047332764,0.007311031688004732,0.009768333286046982,0.9817258715629578,0.33445614809170365
qsar-biodeg,TabICLv2,702,352,0.17290130257606506,0.30074214935302734,0.040235504508018494,0.04790071025490761,0.8892045617103577,0.011417139321565628
seismic-bumps,TabICLv2,1722,862,0.11322998255491257,0.2109566479921341,0.023149440065026283,0.016533493995666504,0.9338747262954712,0.05512179061770439
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04330221191048622,0.08407271653413773,0.01187815424054861,0.011588004417717457,0.9709634780883789,0.40643380396068096
APSFailure,RealTabPFN-v2.5,50666,25334,0.008832050487399101,0.017960190773010254,0.0017816429026424885,0.001671707141213119,0.9943948984146118,10.529274530243129
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08405359834432602,0.16543465852737427,0.01305012684315443,0.009326756000518799,0.9474503397941589,5.055104756262153
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.19585874676704407,0.3220789432525635,0.021892273798584938,0.025648489594459534,0.8707258701324463,0.9083198681473732
Bioresponse,RealTabPFN-v2.5,2500,1251,0.27153465151786804,0.4239698648452759,0.025837868452072144,0.044654637575149536,0.808952808380127,0.1227852888405323
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.1557278335094452,0.2859106659889221,0.01683369092643261,0.022428376600146294,0.9119547009468079,9.837236675899476
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.354330450296402,0.4953051507472992,0.007534652948379517,0.004474650137126446,0.6872102618217468,1.4564462443813682
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3182387948036194,0.4851786196231842,0.04293523356318474,0.06033863499760628,0.777999997138977,0.021001226734369993
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09805911779403687,0.17887790501117706,0.013409385457634926,0.011249574832618237,0.9372400045394897,21.42096363194287
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.26837992668151855,0.4247114360332489,0.015624701976776123,0.010524166747927666,0.8078609704971313,3.1302212523296475
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.19746576249599457,0.33981403708457947,0.03750182315707207,0.041217487305402756,0.8799999952316284,0.02815169980749488
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.135696679353714,0.2190660834312439,0.031223751604557037,0.0301685594022274,0.898259699344635,0.04203798295930028
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.0849672481417656,0.14688357710838318,0.007857930846512318,0.01470161136239767,0.9407289028167725,0.8393584326840937
bank-marketing,RealTabPFN-v2.5,30140,15071,0.17165987193584442,0.2994345426559448,0.009754331782460213,0.013035949319601059,0.8942339420318604,7.212384742684662
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.30988526344299316,0.48480433225631714,0.06965114176273346,0.07187522947788239,0.7799999713897705,0.006101440172642469
churn,RealTabPFN-v2.5,3333,1667,0.04985864832997322,0.1060982346534729,0.006645601242780685,0.01324844267219305,0.9682063460350037,0.2452574921771884
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.11183629930019379,0.2237345576286316,0.02705840766429901,0.014562027528882027,0.9404398202896118,0.8319914257153869
credit-g,RealTabPFN-v2.5,666,334,0.33048367500305176,0.500017523765564,0.020076774060726166,0.04984613507986069,0.7544910311698914,0.008983703795820475
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.2639915645122528,0.42186957597732544,0.017715105786919594,0.01867961511015892,0.8227999806404114,5.310351958032697
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05418732017278671,0.09016993641853333,0.003144366666674614,0.006093449424952269,0.9626045227050781,38.043222619686276
diabetes,RealTabPFN-v2.5,512,256,0.30868643522262573,0.4660159945487976,0.021279454231262207,0.05368734896183014,0.765625,0.005352779291570187
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06734741479158401,0.13097356259822845,0.016609784215688705,0.021508188918232918,0.9574999809265137,0.08931992901489139
heloc,RealTabPFN-v2.5,6972,3487,0.36369189620018005,0.5437808632850647,0.01193288341164589,0.020992666482925415,0.7332950830459595,0.9223107569850981
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.30831053853034973,0.47406846284866333,0.017996765673160553,0.03281942754983902,0.7831125855445862,1.3480151370167732
jm1,RealTabPFN-v2.5,7256,3629,0.26313257217407227,0.41711780428886414,0.026706110686063766,0.03844783082604408,0.8162028193473816,0.9977031089365482
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.03404201567173004,0.08071722090244293,0.009481990709900856,0.008369538001716137,0.9821803569793701,6.289139298256487
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.14204274117946625,0.23526324331760406,0.022199319675564766,0.02619253471493721,0.9029197096824646,1.8703576168045402
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022509083151817322,0.05003107711672783,0.009416352957487106,0.009943094104528427,0.9888324737548828,0.3098460491746664
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18974603712558746,0.33351004123687744,0.04739196226000786,0.05655880272388458,0.8806818127632141,0.016158777754753828
seismic-bumps,RealTabPFN-v2.5,1722,862,0.1163269504904747,0.22207963466644287,0.03129734843969345,0.020611172541975975,0.9338747262954712,0.052032697945833206
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04498976469039917,0.0926058366894722,0.013849121518433094,0.01250044908374548,0.9722833037376404,0.4198544998653233
APSFailure,TabICL_GPU,50666,25334,0.008789864368736744,0.018915431573987007,0.0017923573032021523,0.0024627421516925097,0.9944738149642944,10.569118940271437
Amazon_employee_access,TabICL_GPU,21846,10923,0.08166871964931488,0.15910302102565765,0.011691869236528873,0.010393078438937664,0.9481827616691589,4.7511951378546655
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.2010318487882614,0.3308255672454834,0.01991056464612484,0.02919374220073223,0.8647270798683167,1.0245148190297186
Diabetes130US,TabICL_GPU,47678,23840,0.15828479826450348,0.2910671830177307,0.01844499260187149,0.021305402740836143,0.9119966626167297,9.879926854744554
E-CommereShippingData,TabICL_GPU,7332,3667,0.3548974394798279,0.4974585473537445,0.008524090051651001,0.006307606119662523,0.6893918514251709,1.4155625691637397
Fitness_Club,TabICL_GPU,1000,500,0.31620362401008606,0.4826158583164215,0.03792446479201317,0.0527166947722435,0.7760000228881836,0.019975191447883844
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09931865334510803,0.18131868541240692,0.016397850587964058,0.014477121643722057,0.9362999796867371,21.57153414422646
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2690303921699524,0.4250311255455017,0.01644989848136902,0.010484718717634678,0.8067647814750671,3.090206288266927
Is-this-a-good-customer,TabICL_GPU,1148,575,0.19111473858356476,0.327703058719635,0.03311832994222641,0.033559419214725494,0.8852173686027527,0.023655611090362072
Marketing_Campaign,TabICL_GPU,1493,747,0.14730516076087952,0.23569872975349426,0.02993837557733059,0.044334884732961655,0.9036144614219666,0.040718614123761654
NATICUSdroid,TabICL_GPU,4994,2497,0.07996959239244461,0.14332354068756104,0.008015170693397522,0.019452765583992004,0.9467360973358154,0.8492704518139362
bank-marketing,TabICL_GPU,30140,15071,0.1734338253736496,0.30323925614356995,0.017807720229029655,0.019942760467529297,0.8935704231262207,6.501420525833964
blood-transfusion-service-center,TabICL_GPU,498,250,0.3182661235332489,0.49652010202407837,0.04619798809289932,0.08995306491851807,0.7680000066757202,0.005520710255950689
churn,TabICL_GPU,3333,1667,0.06724882125854492,0.13698920607566833,0.0069636935368180275,0.015324637293815613,0.9598080515861511,0.28470255015417933
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10686278343200684,0.20687523484230042,0.017726100981235504,0.01445461343973875,0.9404398202896118,0.8100819042883813
credit-g,TabICL_GPU,666,334,0.33610764145851135,0.5079633593559265,0.02826930582523346,0.07707894593477249,0.7634730339050293,0.008854594081640244
credit_card_clients_default,TabICL_GPU,20000,10000,0.264898419380188,0.4232485294342041,0.017183322459459305,0.018622945994138718,0.8223999738693237,4.791065021883696
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.0575399324297905,0.09616688638925552,0.004402392078191042,0.006385503802448511,0.9596018195152283,37.99701300915331
diabetes,TabICL_GPU,512,256,0.3131829500198364,0.4728468060493469,0.03045918233692646,0.0605849027633667,0.76953125,0.005384922027587891
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06580867618322372,0.12313287705183029,0.013829503208398819,0.025447864085435867,0.9574999809265137,0.08542388398200274
heloc,TabICL_GPU,6972,3487,0.3651002049446106,0.5451088547706604,0.01068510115146637,0.019008450210094452,0.7310008406639099,0.9672656119801104
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.30727139115333557,0.4719669818878174,0.007949072867631912,0.02482498809695244,0.7783822417259216,1.6460947678424418
jm1,TabICL_GPU,7256,3629,0.2572743892669678,0.4084663391113281,0.019572701305150986,0.020915618166327477,0.8225406408309937,1.0646926411427557
kddcup09_appetency,TabICL_GPU,33333,16667,0.03482820838689804,0.08611497282981873,0.010011505335569382,0.007296951487660408,0.9821803569793701,6.404113704804331
online_shoppers_intention,TabICL_GPU,8220,4110,0.14290031790733337,0.23233838379383087,0.018853936344385147,0.02451612614095211,0.8992700576782227,1.8502893061377108
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.042303416877985,0.09272944182157516,0.008641018532216549,0.016114825382828712,0.9746192693710327,0.3394221719354391
qsar-biodeg,TabICL_GPU,702,352,0.17662248015403748,0.2974991500377655,0.0450231209397316,0.05744526907801628,0.8778409361839294,0.010854194406419992
seismic-bumps,TabICL_GPU,1722,862,0.11557632684707642,0.21478372812271118,0.026138098910450935,0.01907769963145256,0.9338747262954712,0.0538131189532578
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.045175716280937195,0.08625444769859314,0.011377173475921154,0.010963249951601028,0.9714034199714661,0.41196208260953426
Amazon_employee_access,LimiX_GPU,21846,10923,0.08414257317781448,0.1637425422668457,0.013212709687650204,0.011787987314164639,0.9483658075332642,4.59918694710359
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19842462241649628,0.326698899269104,0.02210952527821064,0.024817222729325294,0.86652672290802,1.04673776589334
Bioresponse,LimiX_GPU,2500,1251,0.275468111038208,0.4276314377784729,0.02442452311515808,0.03495580330491066,0.7977617979049683,0.12137884600088
E-CommereShippingData,LimiX_GPU,7332,3667,0.3544783592224121,0.49665528535842896,0.006824567914009094,0.00634352583438158,0.6883010864257812,1.4360098280012608
Fitness_Club,LimiX_GPU,1000,500,0.3162838816642761,0.4822779893875122,0.035200417041778564,0.055618926882743835,0.7699999809265137,0.018302390817552805
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26875951886177063,0.42447158694267273,0.015306085348129272,0.011543241329491138,0.8083307147026062,3.1259310450404882
Is-this-a-good-customer,LimiX_GPU,1148,575,0.19044806063175201,0.32710787653923035,0.03306102007627487,0.02572682313621044,0.8852173686027527,0.023640618193894625
Marketing_Campaign,LimiX_GPU,1493,747,0.13471181690692902,0.21726423501968384,0.02792363613843918,0.03072105534374714,0.9062918424606323,0.04278388200327754
NATICUSdroid,LimiX_GPU,4994,2497,0.0853491872549057,0.15046326816082,0.01031457632780075,0.019543524831533432,0.9419302940368652,0.8453466361388564
bank-marketing,LimiX_GPU,30140,15071,0.17381364107131958,0.3047181963920593,0.020284412428736687,0.028336908668279648,0.8941012620925903,6.728304605931044
blood-transfusion-service-center,LimiX_GPU,498,250,0.3082815408706665,0.48290956020355225,0.05179109424352646,0.08156180381774902,0.7720000147819519,0.005038547329604626
churn,LimiX_GPU,3333,1667,0.06581961363554001,0.13480526208877563,0.006248126737773418,0.014831546694040298,0.9604079127311707,0.27366406517103314
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1061340793967247,0.20198319852352142,0.016160685569047928,0.013871777802705765,0.9404398202896118,0.8352827369235456
credit-g,LimiX_GPU,666,334,0.3121374845504761,0.47941428422927856,0.029452502727508545,0.07968813180923462,0.78143709897995,0.00936134485527873
credit_card_clients_default,LimiX_GPU,20000,10000,0.2651708722114563,0.4236631393432617,0.015315895900130272,0.020094919949769974,0.8220999836921692,4.887488009408116
diabetes,LimiX_GPU,512,256,0.3135721981525421,0.47250720858573914,0.03303239122033119,0.07139846682548523,0.75390625,0.005284168757498264
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07218959927558899,0.12896689772605896,0.014996495097875595,0.020100971683859825,0.9537500143051147,0.0820810329169035
heloc,LimiX_GPU,6972,3487,0.36267268657684326,0.5426363348960876,0.016852859407663345,0.023038478568196297,0.7358760833740234,0.9681650968268514
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3521018922328949,0.5299139618873596,0.016049442812800407,0.027559129521250725,0.7417218685150146,1.3866342408582568
jm1,LimiX_GPU,7256,3629,0.2671883702278137,0.4228684604167938,0.01828763820230961,0.025922104716300964,0.8164783716201782,1.0301199788227677
online_shoppers_intention,LimiX_GPU,8220,4110,0.14440983533859253,0.23578345775604248,0.01974347047507763,0.026610838249325752,0.899756669998169,1.8304845206439495
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05395049229264259,0.10117733478546143,0.014932379126548767,0.017359530553221703,0.9649746417999268,0.32711854623630643
qsar-biodeg,LimiX_GPU,702,352,0.1744479387998581,0.2990185022354126,0.041447773575782776,0.047226760536432266,0.8835227489471436,0.01116093760356307
seismic-bumps,LimiX_GPU,1722,862,0.11311353743076324,0.21130947768688202,0.02575346827507019,0.019226592034101486,0.9338747262954712,0.05418099695816636
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.044258955866098404,0.0832577645778656,0.008437931537628174,0.010136814787983894,0.9714034199714661,0.42512824293226004
APSFailure,TabM_GPU,50666,25334,0.009061289019882679,0.01869693212211132,0.0015225232345983386,0.002000700682401657,0.9940396547317505,10.809628182090819
Amazon_employee_access,TabM_GPU,21846,10923,0.09148627519607544,0.17202609777450562,0.01738947629928589,0.015468423254787922,0.9429643750190735,4.47815230069682
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19726306200027466,0.3241635859012604,0.021181244403123856,0.023066086694598198,0.8671265840530396,1.0094097540713847
Bioresponse,TabM_GPU,2500,1251,0.28401979804039,0.44319793581962585,0.018413692712783813,0.03188127279281616,0.7913669347763062,0.16361035592854023
Diabetes130US,TabM_GPU,47678,23840,0.15767121315002441,0.28928497433662415,0.018236935138702393,0.017173252999782562,0.9119966626167297,10.04977824119851
E-CommereShippingData,TabM_GPU,7332,3667,0.3549017012119293,0.4963661730289459,0.012306548655033112,0.008355706930160522,0.6888464689254761,1.4773308858275414
Fitness_Club,TabM_GPU,1000,500,0.3193778693675995,0.4878091812133789,0.03498726710677147,0.04085368290543556,0.7760000228881836,0.01947498694062233
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09756577759981155,0.17814095318317413,0.011684490367770195,0.010918951593339443,0.9382799863815308,21.443477990105748
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.26986387372016907,0.4256267845630646,0.015966814011335373,0.011286302469670773,0.8051988482475281,3.135846738703549
Is-this-a-good-customer,TabM_GPU,1148,575,0.19302360713481903,0.33289238810539246,0.032611604779958725,0.036097001284360886,0.8852173686027527,0.02488754130899906
Marketing_Campaign,TabM_GPU,1493,747,0.14692680537700653,0.23311343789100647,0.03381957486271858,0.030922291800379753,0.8955823183059692,0.043534908909350634
NATICUSdroid,TabM_GPU,4994,2497,0.08534359931945801,0.14763636887073517,0.009628873318433762,0.019290948286652565,0.9411293268203735,0.8590692919678986
bank-marketing,TabM_GPU,30140,15071,0.17294640839099884,0.3021249771118164,0.015340020880103111,0.02059043198823929,0.8937031626701355,6.572949339170009
blood-transfusion-service-center,TabM_GPU,498,250,0.3174143433570862,0.4960481822490692,0.049432314932346344,0.11689478904008865,0.7599999904632568,0.005467659793794155
churn,TabM_GPU,3333,1667,0.06435337662696838,0.13442246615886688,0.006160146091133356,0.00998234935104847,0.9610077738761902,0.25407092180103064
coil2000_insurance_policies,TabM_GPU,6548,3274,0.1064249724149704,0.2049698680639267,0.014201818034052849,0.01130965817719698,0.9404398202896118,0.8358643101528287
credit-g,TabM_GPU,666,334,0.33079078793525696,0.5022605657577515,0.027377404272556305,0.06180630996823311,0.7664670944213867,0.00930004008114338
credit_card_clients_default,TabM_GPU,20000,10000,0.2647034525871277,0.42274922132492065,0.012530552223324776,0.02114519290626049,0.8222000002861023,4.810037845745683
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05280977115035057,0.08612900972366333,0.003807881847023964,0.005483207292854786,0.9624659419059753,38.005690523888916
diabetes,TabM_GPU,512,256,0.3297320008277893,0.4967889189720154,0.04552668333053589,0.0650821402668953,0.75,0.005543629173189402
