dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31219337330688907,0.4773495261472499,0.018374264240264893,0.03404289856553078,0.7820000052452087,0.4225581018254161
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09727988602431221,0.1759510042217643,0.0015345364809036255,0.003185700625181198,0.9381399750709534,13.108969376888126
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2717222295361661,0.4274121087667984,0.010035771876573563,0.016717687249183655,0.8036329746246338,2.6700367662124336
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18909885616109684,0.3220128177421784,0.018291786313056946,0.03676172345876694,0.8852173686027527,0.4892621827311814
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13565981360370144,0.2199785226564311,0.01763013005256653,0.03749972954392433,0.9062918424606323,0.638326090760529
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08568300346370875,0.1471804643031615,0.0049574896693229675,0.014337563887238503,0.9411293268203735,1.0011532879434526
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17238047937471365,0.300377491643646,0.004448172636330128,0.007474343758076429,0.8932386636734009,6.40049340063706
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3117890445433302,0.501692935561474,0.0671251118183136,0.1038895696401596,0.8119999766349792,0.4429232319816947
churn,BetaTabPFN_GPU,3333,1667,0.05853330215141824,0.12462700204388555,0.013071052730083466,0.015598285011947155,0.9634073376655579,0.8177783950231969
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10570413670808153,0.2022211891766452,0.00496706273406744,0.003023863537237048,0.9404398202896118,1.0550442719832063
credit-g,BetaTabPFN_GPU,666,334,0.3452173825809483,0.5170205516457311,0.0548054575920105,0.07826933264732361,0.7305389046669006,0.4932255716994405
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.2638150649978705,0.42128283978497955,0.0064207520335912704,0.009974061511456966,0.8226000070571899,3.542384261265397
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07071772631676672,0.11581760264489556,0.001720983418636024,0.0026791677810251713,0.949438750743866,16.66598914610222
diabetes,BetaTabPFN_GPU,512,256,0.3157401020768055,0.4780575643435063,0.02193700522184372,0.06290189921855927,0.7734375,0.4703648230060935
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.1244257471848202,0.21280782527325598,0.01454958040267229,0.0291494969278574,0.918749988079071,0.548502785153687
heloc,BetaTabPFN_GPU,6972,3487,0.3641914794879781,0.5441178255725918,0.013741038739681244,0.018048103898763657,0.7327215075492859,1.0944359912537038
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.320019866754005,0.4885874386417164,0.010534845292568207,0.023597387596964836,0.768684983253479,1.5597910303622484
jm1,BetaTabPFN_GPU,7256,3629,0.2686991676403173,0.42560485336129716,0.008346115238964558,0.020795779302716255,0.8115183115005493,1.1637480519711971
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.033712826075037214,0.07777310376207255,0.0016285902820527554,0.0006589278345927596,0.9821803569793701,6.86406330531463
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14182750867559865,0.2291210422077616,0.0070033324882388115,0.00956104975193739,0.899756669998169,1.2395762279629707
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.04626040347605065,0.08866790674545065,0.008737413212656975,0.014725466258823872,0.9730964303016663,0.8687458727508783
qsar-biodeg,BetaTabPFN_GPU,702,352,0.1984467446851018,0.3284927944635929,0.03066570870578289,0.04611076042056084,0.8693181872367859,0.4238354121334851
seismic-bumps,BetaTabPFN_GPU,1722,862,0.10979812396537102,0.20260912923664934,0.009608984924852848,0.013732729479670525,0.9338747262954712,0.6827511182054877
